Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,13.43,13.44,13.26,13.29,11.620906,6353900
2014-01-03,13.32,13.44,13.26,13.32,11.647138,5570800
2014-01-06,13.4,13.62,13.4,13.44,11.752069,12965900
2014-01-07,13.54,13.67,13.45,13.54,11.839511,11581100
2014-01-08,13.49,13.68,13.41,13.63,11.918205,12565700
2014-01-09,13.64,13.84,13.64,13.76,12.031878,16899600
2014-01-10,13.74,13.75,13.53,13.63,11.918205,9479500
2014-01-13,13.64,13.65,13.41,13.47,11.778302,6563800
2014-01-14,13.56,13.65,13.51,13.57,11.865739999999999,11503900
2014-01-15,13.63,13.75,13.61,13.68,11.961926,7548500
2014-01-16,13.68,13.69,13.47,13.53,11.830764,7824800
2014-01-17,13.56,13.73,13.52,13.54,11.839511,7584700
2014-01-21,13.68,14.01,13.66,14.01,12.250481,16871000
2014-01-22,14.06,14.14,13.91,14.14,12.364155,13922600
2014-01-23,13.85,14.0,13.39,13.68,11.961926,25810600
2014-01-24,13.61,13.61,12.9,12.93,11.306121000000001,29808300
2014-01-27,12.98,13.1,12.76,12.86,11.244912,18336900
2014-01-28,12.85,13.03,12.81,12.96,11.332352,13179200
2014-01-29,12.85,13.02,12.79,12.87,11.253654,13728100
2014-01-30,12.97,13.0,12.73,12.97,11.341096,11891500
2014-01-31,12.75,12.9,12.71,12.76,11.15747,11633200
2014-02-03,12.75,12.78,12.28,12.31,10.763987,12920300
2014-02-04,12.39,12.57,12.25,12.48,10.912635,9689600
2014-02-05,12.4,12.47,12.28,12.38,10.825192,13708300
2014-02-06,12.41,12.66,12.41,12.65,11.061283999999999,7244400
2014-02-07,12.72,12.87,12.62,12.74,11.139982,9321200
2014-02-10,12.76,12.81,12.56,12.67,11.078772,8234000
2014-02-11,12.69,12.84,12.56,12.81,11.201189999999999,11112100
2014-02-12,12.8,13.18,12.8,12.91,11.28863,9327600
2014-02-13,12.78,12.9,12.66,12.88,11.262399,8505300
2014-02-14,12.89,13.04,12.86,12.92,11.297374000000001,8688300
2014-02-18,12.95,12.99,12.79,12.92,11.297374000000001,9199900
