Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,70.110001,70.230003,69.480003,69.889999,64.430992,1148400
2014-01-03,1,69.889999,70.209999,69.809998,69.940002,64.477097,1101300
2014-01-06,2,70.339996,70.540001,69.349998,69.690002,64.246613,1301400
2014-01-07,3,69.820000,70.919998,69.820000,70.449997,64.947266,1531600
2014-01-08,4,70.330002,71.410004,70.279999,71.139999,65.583366,2084000
2014-01-09,5,71.449997,71.919998,71.099998,71.379997,65.804604,1610000
2014-01-10,6,71.489998,71.550003,71.040001,71.339996,65.767738,1582600
2014-01-13,7,71.419998,71.750000,70.379997,70.610001,65.094765,1806500
2014-01-14,8,70.660004,70.959999,69.610001,70.540001,65.030228,2427300
2014-01-15,9,70.739998,70.739998,70.029999,70.550003,65.039436,1251500
2014-01-16,10,70.599998,70.680000,70.260002,70.500000,64.993332,1082200
2014-01-17,11,70.680000,70.940002,70.320000,70.529999,65.020996,1545100
2014-01-21,12,70.879997,71.169998,70.269997,70.519997,65.011765,1368000
2014-01-22,13,70.800003,70.870003,69.800003,70.279999,64.790527,1845400
2014-01-23,14,70.000000,70.879997,69.220001,69.639999,64.200531,2110900
2014-01-24,15,69.269997,69.830002,67.250000,67.250000,61.997200,3513300
2014-01-27,16,67.040001,67.510002,66.639999,66.809998,61.591564,2836200
2014-01-28,17,66.739998,67.889999,66.690002,67.720001,62.430504,1897300
2014-01-29,18,66.669998,67.919998,66.669998,67.260002,62.006420,1906900
2014-01-30,19,67.650002,68.150002,67.650002,67.769997,62.476601,1437200
2014-01-31,20,66.599998,67.489998,66.129997,67.220001,61.969551,3733500
2014-02-03,21,67.129997,67.129997,65.099998,65.169998,60.079662,3542200
2014-02-04,22,65.379997,65.680000,64.860001,65.010002,59.932159,1865000
2014-02-05,23,64.820000,65.120003,64.279999,64.720001,59.664818,2421400
2014-02-06,24,64.860001,65.610001,64.400002,65.510002,60.393116,1553900
2014-02-07,25,65.879997,66.589996,65.699997,66.540001,61.342663,1551300
2014-02-10,26,66.459999,66.480003,65.720001,66.370003,61.185947,2913600
2014-02-11,27,66.230003,67.889999,66.190002,67.559998,62.282978,2487800
2014-02-12,28,67.809998,68.820000,67.580002,67.739998,62.448940,1965400
2014-02-13,29,67.370003,68.190002,66.879997,67.889999,62.805099,1286200
2014-02-14,30,67.730003,68.360001,67.599998,68.000000,62.906857,1110500
2014-02-18,31,68.059998,68.959999,67.989998,68.500000,63.369408,1544800
2014-02-19,32,68.120003,69.019997,67.980003,68.110001,63.008606,1937400
2014-02-20,33,68.400002,68.650002,67.570000,68.389999,63.267643,1469800
2014-02-21,34,68.419998,69.150002,68.160004,68.400002,63.276882,1113100
2014-02-24,35,68.309998,69.220001,68.309998,68.580002,63.443424,1363100
2014-02-25,36,68.389999,68.989998,68.239998,68.720001,63.572937,1497200
2014-02-26,37,68.870003,69.169998,67.959999,68.260002,63.147385,1539100
2014-02-27,38,68.010002,68.309998,67.650002,68.010002,62.916119,1401600
2014-02-28,39,68.169998,68.379997,67.470001,67.849998,62.768093,1681800
2014-03-03,40,67.110001,67.690002,66.970001,67.500000,62.444309,1389800
2014-03-04,41,68.029999,68.940002,67.970001,68.760002,63.609932,2309100
2014-03-05,42,69.000000,69.150002,68.699997,68.889999,63.730186,1426900
2014-03-06,43,69.000000,69.449997,68.750000,68.750000,63.600681,1495300
2014-03-07,44,69.250000,69.269997,68.559998,68.940002,63.776455,1783400
2014-03-10,45,68.910004,69.650002,68.750000,69.099998,63.924469,1232100
2014-03-11,46,69.110001,69.470001,68.169998,68.339996,63.221382,1562700
2014-03-12,47,67.760002,67.849998,66.970001,67.680000,62.610825,1944500
2014-03-13,48,68.010002,68.209999,67.550003,67.790001,62.712582,1897100
2014-03-14,49,67.660004,67.949997,67.400002,67.570000,62.509068,1672800
2014-03-17,50,67.730003,68.180000,67.639999,68.080002,62.980873,1444600
2014-03-18,51,68.080002,68.430000,67.779999,67.849998,62.768093,1604600
2014-03-19,52,68.050003,68.099998,66.589996,66.870003,61.861492,1337700
2014-03-20,53,66.739998,66.900002,66.260002,66.480003,61.500710,1526300
2014-03-21,54,66.550003,66.629997,64.559998,64.820000,59.965038,3534800
2014-03-24,55,65.290001,65.489998,63.529999,64.320000,59.502495,2792900
2014-03-25,56,64.610001,65.309998,63.980000,64.559998,59.724510,1948600
2014-03-26,57,64.919998,65.589996,64.779999,64.849998,59.992786,2186700
2014-03-27,58,64.809998,64.820000,63.720001,64.110001,59.308208,2184400
2014-03-28,59,64.250000,65.029999,64.199997,64.820000,59.965038,1672000
2014-03-31,60,65.300003,65.639999,65.059998,65.589996,60.677364,1479300
2014-04-01,61,65.599998,65.919998,65.320000,65.910004,60.973412,1747300
2014-04-02,62,65.750000,66.370003,65.550003,65.580002,60.668114,1836200
2014-04-03,63,65.809998,65.910004,65.379997,65.800003,60.871643,2173400
2014-04-04,64,65.989998,66.339996,64.849998,65.050003,60.177818,1965800
2014-04-07,65,64.940002,65.080002,63.610001,64.180000,59.372974,3037900
2014-04-08,66,64.139999,64.480003,63.400002,64.169998,59.363716,1907300
2014-04-09,67,64.769997,65.709999,64.639999,65.639999,60.723618,2409100
2014-04-10,68,65.910004,66.180000,64.739998,65.000000,60.131550,2105700
2014-04-11,69,64.529999,65.250000,63.860001,64.169998,59.363716,2587400
2014-04-14,70,64.440002,64.680000,63.849998,64.510002,59.678261,1432200
2014-04-15,71,64.559998,64.910004,63.230000,64.220001,59.409966,2011100
2014-04-16,72,64.870003,65.139999,64.300003,64.949997,60.085289,1392900
2014-04-17,73,64.750000,65.089996,64.480003,64.680000,59.835510,1049600
2014-04-21,74,64.209999,65.150002,64.209999,64.800003,59.946537,1224700
2014-04-22,75,64.800003,65.489998,64.660004,64.680000,59.835510,1602800
2014-04-23,76,64.800003,65.190002,64.500000,64.839996,59.983536,1399800
2014-04-24,77,66.000000,66.809998,63.759998,64.889999,60.029785,3612700
2014-04-25,78,64.529999,64.790001,62.549999,62.830002,58.124088,2935500
2014-04-28,79,63.250000,63.680000,62.689999,63.450001,58.697643,1667000
2014-04-29,80,63.700001,64.300003,63.560001,63.990002,59.197201,1758500
2014-04-30,81,63.750000,65.290001,63.590000,65.180000,60.298073,3099900
2014-05-01,82,64.760002,65.169998,63.849998,64.870003,60.011288,2151100
2014-05-02,83,64.889999,64.889999,64.150002,64.269997,59.456230,1797000
2014-05-05,84,64.000000,65.300003,63.880001,65.099998,60.224075,1767300
2014-05-06,85,64.709999,65.000000,64.570000,64.769997,59.918777,1445800
2014-05-07,86,64.870003,64.959999,64.260002,64.540001,59.706005,1946700
2014-05-08,87,64.389999,65.260002,64.190002,64.400002,59.576488,1586500
2014-05-09,88,64.519997,65.750000,64.019997,65.580002,60.668114,2715800
2014-05-12,89,65.980003,66.720001,65.870003,66.669998,61.676476,1719600
2014-05-13,90,66.550003,67.000000,66.050003,66.849998,61.842979,2622500
2014-05-14,91,66.860001,67.419998,66.699997,67.300003,62.259277,1976800
2014-05-15,92,66.889999,67.510002,66.690002,67.500000,62.663116,1934900
2014-05-16,93,67.360001,68.339996,67.309998,68.309998,63.415070,2558300
