Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,49.991619,50.293377,49.413242,49.807209,45.866379,891100
2014-01-03,1,49.907795,50.192791,49.513832,49.681477,45.750591,1063900
2014-01-06,2,50.134117,50.176025,49.329422,49.689857,45.758308,1564600
2014-01-07,3,50.075439,50.762783,49.807209,50.578373,46.576523,3674600
2014-01-08,4,50.670578,51.207043,50.469406,50.930428,46.900723,3478700
2014-01-09,5,50.980721,51.282482,50.326908,50.813076,46.792648,2162300
2014-01-10,6,51.114838,51.626152,51.056160,51.525566,47.448776,2205700
2014-01-13,7,51.248951,51.802181,50.276615,50.461021,46.468460,1592700
2014-01-14,8,51.031013,52.003353,50.243084,51.953060,47.842442,2787800
2014-01-15,9,52.145851,52.791283,51.533947,52.313496,48.174366,3619300
2014-01-16,10,52.154232,52.422466,51.777031,52.154232,48.027691,1348800
2014-01-17,11,52.221291,52.665550,52.129086,52.556580,48.398224,3238200
2014-01-21,12,52.875103,53.093044,52.514668,52.808048,48.629787,3877300
2014-01-22,13,52.917015,53.160099,52.514668,53.017601,48.822762,2567800
2014-01-23,14,52.598492,52.749371,51.852474,52.221291,48.089451,2185400
2014-01-24,15,52.028500,52.229671,50.125732,50.226318,46.252331,2105600
2014-01-27,16,50.452641,50.586758,49.580887,49.949707,45.997608,1859600
2014-01-28,17,50.243084,50.519699,49.865883,50.326908,46.344959,2277400
2014-01-29,18,50.033527,50.435875,49.932941,50.150879,46.182854,2619400
2014-01-30,19,50.595139,51.416595,50.410728,51.114838,47.070549,3232700
2014-01-31,20,50.217937,51.282482,50.108971,51.039398,47.001072,2133500
2014-02-03,21,51.190277,51.240570,49.421627,49.564125,45.642529,3644900
2014-02-04,22,49.664711,50.536461,48.801342,50.301762,46.321800,2756100
2014-02-05,23,49.924561,51.156746,49.907795,51.106453,47.062820,4328300
2014-02-06,24,51.290863,51.818943,50.997486,51.592625,47.510532,2857100
2014-02-07,25,51.785416,52.330261,51.626152,52.313496,48.174366,1598500
2014-02-10,26,52.187763,52.539814,51.986588,52.455994,48.305580,1160000
2014-02-11,27,52.564960,52.950546,52.372169,52.782902,48.606628,2287900
2014-02-12,28,53.193630,53.897736,53.084660,53.721710,49.471153,2662100
2014-02-13,29,53.260689,53.973175,53.067898,53.788769,49.764492,2474200
2014-02-14,30,53.637886,53.914501,53.436714,53.746857,49.725719,1768100
2014-02-18,31,54.006706,54.694050,53.579212,54.467728,50.392651,2336700
2014-02-19,32,54.383907,55.004192,54.291702,54.610226,50.524498,2927700
2014-02-20,33,54.601845,55.264042,54.492874,55.079632,50.958778,3000100
2014-02-21,34,55.339481,55.465214,55.079632,55.247276,51.113884,2389300
2014-02-24,35,55.305950,55.976528,55.230511,55.750210,51.579189,2311600
2014-02-25,36,55.624477,56.144173,55.448448,55.691532,51.524906,4927400
2014-02-26,37,55.875942,56.295055,55.616093,56.010059,51.819595,1715800
