Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,42.009998,42.090000,41.500000,41.580002,36.803669,788800
2014-01-03,1,41.540001,41.639999,41.160000,41.459999,36.697445,819600
2014-01-06,2,41.480000,41.610001,41.240002,41.299999,36.555820,670400
2014-01-07,3,41.380001,41.750000,41.369999,41.709999,36.918728,769900
2014-01-08,4,41.700001,41.860001,41.450001,41.700001,36.909863,726900
2014-01-09,5,41.799999,41.830002,41.470001,41.599998,36.821362,697700
2014-01-10,6,41.680000,42.410000,41.619999,41.990002,37.166561,941400
2014-01-13,7,41.939999,42.070000,41.529999,41.590000,36.812515,530700
2014-01-14,8,41.650002,41.910000,41.340000,41.509998,36.741699,450100
2014-01-15,9,41.599998,41.599998,41.180000,41.279999,36.538109,633400
2014-01-16,10,41.259998,41.540001,41.200001,41.509998,36.741699,777200
2014-01-17,11,41.680000,41.680000,41.230000,41.529999,36.759399,932000
2014-01-21,12,41.110001,41.930000,41.110001,41.860001,37.051498,710200
2014-01-22,13,41.820000,42.189999,41.820000,42.110001,37.272766,519800
2014-01-23,14,41.959999,42.169998,41.820000,42.160000,37.317032,622200
2014-01-24,15,42.000000,42.150002,41.740002,41.830002,37.024940,717200
2014-01-27,16,41.840000,42.049999,41.650002,41.650002,36.865627,646700
2014-01-28,17,41.660000,42.020000,41.660000,41.790001,36.989544,730100
2014-01-29,18,41.669998,42.009998,41.660000,41.959999,37.140003,841300
2014-01-30,19,42.000000,42.560001,41.750000,42.500000,37.870693,942700
2014-01-31,20,42.230000,42.680000,42.070000,42.570000,37.933064,1076400
2014-02-03,21,42.500000,42.970001,41.980000,42.310001,37.701382,1134700
2014-02-04,22,42.490002,42.490002,41.610001,41.759998,37.211296,1303300
2014-02-05,23,41.669998,41.750000,41.160000,41.160000,36.676651,976900
2014-02-06,24,41.189999,41.799999,41.070000,41.700001,37.157825,591500
2014-02-07,25,41.860001,42.310001,41.770000,42.279999,37.674644,612300
2014-02-10,26,42.349998,42.450001,41.910000,42.340000,37.728115,557600
2014-02-11,27,42.270000,42.750000,42.200001,42.709999,38.057816,1009700
2014-02-12,28,42.750000,43.080002,42.549999,42.900002,38.227116,576400
2014-02-13,29,42.720001,43.570000,42.590000,43.570000,38.824139,695200
2014-02-14,30,43.599998,43.689999,43.330002,43.599998,38.850868,494400
2014-02-18,31,43.720001,43.880001,43.419998,43.669998,38.913239,558800
2014-02-19,32,43.520000,43.990002,43.470001,43.630001,38.877609,607800
2014-02-20,33,43.590000,44.070000,43.410000,44.060001,39.260773,504000
2014-02-21,34,44.029999,44.450001,43.880001,44.270000,39.447887,650000
2014-02-24,35,44.360001,44.500000,43.849998,43.869999,39.091469,593300
2014-02-25,36,43.730000,44.500000,43.709999,43.950001,39.162754,785900
2014-02-26,37,44.130001,44.270000,43.810001,43.869999,39.091469,491300
2014-02-27,38,43.750000,44.290001,43.369999,44.020000,39.225132,538800
2014-02-28,39,44.200001,45.150002,44.060001,44.840000,39.955811,957900
2014-03-03,40,44.660000,44.689999,44.080002,44.150002,39.340969,978000
2014-03-04,41,44.500000,44.730000,44.310001,44.470001,39.626110,717100
2014-03-05,42,44.419998,44.549999,44.040001,44.349998,39.519173,822900
2014-03-06,43,44.500000,44.650002,44.259998,44.360001,39.528088,784800
2014-03-07,44,44.410000,44.500000,44.049999,44.349998,39.519173,722600
2014-03-10,45,44.349998,44.560001,44.139999,44.430000,39.590462,840300
2014-03-11,46,44.259998,44.330002,43.630001,43.849998,39.073635,884400
2014-03-12,47,43.740002,44.279999,43.689999,44.270000,39.447887,584800
2014-03-13,48,44.439999,45.049999,44.259998,44.990002,40.089466,878800
2014-03-14,49,45.040001,45.860001,44.990002,45.560001,40.597385,1101900
2014-03-17,50,45.630001,45.630001,44.990002,45.130001,40.214218,645400
2014-03-18,51,45.240002,45.720001,45.150002,45.490002,40.535004,788100
2014-03-19,52,45.540001,45.759998,44.820000,44.910000,40.018177,525500
2014-03-20,53,44.759998,44.939999,44.549999,44.660000,39.795414,733400
2014-03-21,54,44.930000,45.529999,44.709999,45.060001,40.151840,1120500
2014-03-24,55,45.259998,45.480000,44.959999,45.169998,40.249863,567200
2014-03-25,56,45.369999,45.369999,44.939999,45.049999,40.142925,454700
2014-03-26,57,45.049999,45.200001,44.419998,44.439999,39.599369,668500
2014-03-27,58,44.560001,44.980000,44.259998,44.959999,40.062737,567000
2014-03-28,59,45.009998,45.290001,44.980000,45.130001,40.214218,640100
2014-03-31,60,45.279999,45.740002,44.970001,45.400002,40.454807,1052600
2014-04-01,61,45.380001,45.439999,44.860001,45.160000,40.240948,887900
2014-04-02,62,45.150002,45.639999,44.889999,45.520000,40.561737,589000
2014-04-03,63,45.549999,45.830002,45.430000,45.529999,40.570648,618200
2014-04-04,64,45.680000,46.230000,45.500000,45.790001,40.802330,786400
2014-04-07,65,45.740002,46.020000,45.439999,45.470001,40.517189,664700
2014-04-08,66,45.419998,45.560001,44.959999,45.480000,40.526089,1072700
2014-04-09,67,45.599998,45.700001,45.099998,45.669998,40.695393,690800
2014-04-10,68,45.610001,46.040001,45.340000,45.529999,40.570648,956200
2014-04-11,69,45.520000,45.730000,45.369999,45.500000,40.543919,876800
2014-04-14,70,45.770000,45.980000,45.400002,45.750000,40.766682,801200
2014-04-15,71,45.560001,45.810001,45.110001,45.660000,40.686485,859800
2014-04-16,72,45.770000,45.970001,45.419998,45.970001,40.962723,900800
2014-04-17,73,45.990002,46.209999,45.560001,45.669998,40.695393,578000
2014-04-21,74,45.900002,46.130001,45.570000,45.790001,40.802330,515800
2014-04-22,75,45.880001,46.160000,45.630001,46.009998,40.998360,614500
2014-04-23,76,46.110001,46.279999,45.790001,45.860001,40.864697,783600
2014-04-24,77,45.880001,46.209999,45.599998,46.000000,40.989452,602300
2014-04-25,78,45.959999,46.130001,45.750000,46.119999,41.096386,662900
2014-04-28,79,46.209999,46.580002,45.939999,46.450001,41.390442,1105000
2014-04-29,80,46.500000,46.630001,45.849998,45.889999,40.891441,691700
2014-04-30,81,45.970001,46.150002,45.490002,45.529999,40.570648,758100
2014-05-01,82,45.660000,46.220001,45.430000,46.220001,41.185493,671100
2014-05-02,83,46.169998,46.650002,45.820000,46.169998,41.140926,812900
