Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,15.690000,16.160000,15.680000,16.100000,14.953111,148709900
2014-01-03,1,16.270000,16.500000,16.230000,16.410000,15.241025,129921800
2014-01-06,2,16.629999,16.730000,16.559999,16.660000,15.473216,114431300
2014-01-07,3,16.770000,16.790001,16.450001,16.500000,15.324618,110605100
2014-01-08,4,16.670000,16.690001,16.520000,16.580000,15.398914,101036400
2014-01-09,5,16.670000,16.930000,16.610001,16.830000,15.631108,100947200
2014-01-10,6,16.750000,16.790001,16.610001,16.770000,15.575381,87454100
2014-01-13,7,16.790001,16.799999,16.400000,16.430000,15.259604,90025400
2014-01-14,8,16.540001,16.770000,16.530001,16.770000,15.575381,97786600
2014-01-15,9,17.230000,17.420000,17.110001,17.150000,15.928317,329333100
2014-01-16,10,17.090000,17.139999,16.990000,17.080000,15.863296,163613100
2014-01-17,11,17.200001,17.219999,16.990000,17.010000,15.798285,96232200
2014-01-21,12,17.080000,17.160000,16.870001,17.010000,15.798285,118269200
2014-01-22,13,17.080000,17.150000,17.000000,17.150000,15.928317,68114400
2014-01-23,14,17.070000,17.090000,16.740000,16.860001,15.658973,123765900
2014-01-24,15,16.670000,16.719999,16.450001,16.450001,15.278178,112899300
2014-01-27,16,16.370001,16.540001,16.059999,16.309999,15.148150,134872600
2014-01-28,17,16.450001,16.760000,16.370001,16.730000,15.538231,92891300
2014-01-29,18,16.549999,16.850000,16.490000,16.680000,15.491791,130026900
2014-01-30,19,16.809999,16.990000,16.770000,16.930000,15.723983,91028200
2014-01-31,20,16.719999,16.980000,16.610001,16.750000,15.556805,139432100
2014-02-03,21,16.770000,16.879999,16.299999,16.350000,15.185300,159981200
2014-02-04,22,16.490000,16.559999,16.260000,16.350000,15.185300,125337000
2014-02-05,23,16.309999,16.450001,16.150000,16.400000,15.231736,110576200
2014-02-06,24,16.450001,16.730000,16.440001,16.690001,15.501081,110029100
2014-02-07,25,16.820000,16.879999,16.629999,16.820000,15.621820,122571100
2014-02-10,26,16.709999,16.730000,16.600000,16.719999,15.528942,95792500
2014-02-11,27,16.730000,16.920000,16.639999,16.879999,15.677547,92617500
2014-02-12,28,16.870001,16.910000,16.650000,16.750000,15.556805,96948900
2014-02-13,29,16.650000,16.820000,16.629999,16.750000,15.556805,95756900
2014-02-14,30,16.740000,16.760000,16.650000,16.700001,15.510368,100684300
2014-02-18,31,16.700001,16.740000,16.469999,16.469999,15.296752,121778600
2014-02-19,32,16.379999,16.450001,16.180000,16.200001,15.045986,137734500
2014-02-20,33,16.219999,16.360001,16.180000,16.299999,15.138861,107425900
