Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,57.360001,57.560001,56.410000,56.720001,51.254932,1092100
2014-01-03,1,56.740002,57.590000,56.720001,57.080002,51.580254,1155200
2014-01-06,2,57.630001,57.980000,57.060001,57.299999,51.779041,1409400
2014-01-07,3,57.540001,57.830002,56.970001,56.990002,51.498917,2258900
2014-01-08,4,57.310001,57.349998,56.549999,56.750000,51.282047,1756600
2014-01-09,5,57.000000,57.290001,56.660000,57.020000,51.526016,2245800
2014-01-10,6,56.820000,57.869999,56.630001,57.799999,52.230873,2166700
2014-01-13,7,57.660000,57.939999,56.639999,56.779999,51.309143,2063900
2014-01-14,8,57.119999,58.099998,57.060001,58.000000,52.411602,2258700
2014-01-15,9,58.099998,58.160000,57.090000,58.150002,52.547153,2282000
2014-01-16,10,57.980000,58.509998,57.810001,58.279999,52.664623,1420500
2014-01-17,11,58.310001,58.750000,58.090000,58.509998,52.872456,2355300
2014-01-21,12,58.700001,58.869999,58.099998,58.320000,52.700771,1829000
2014-01-22,13,58.419998,58.619999,57.709999,58.070000,52.474854,1818400
2014-01-23,14,57.779999,57.939999,55.900002,56.180000,50.766968,2992100
2014-01-24,15,55.549999,55.599998,53.570000,53.599998,48.435555,3453800
2014-01-27,16,53.689999,54.029999,52.680000,52.950001,47.848186,2866100
2014-01-28,17,53.279999,53.919998,53.099998,53.689999,48.516876,1933600
2014-01-29,18,52.919998,53.830002,52.349998,52.650002,47.577091,3862700
2014-01-30,19,53.509998,54.709999,52.639999,52.779999,47.694553,2897600
2014-01-31,20,51.689999,52.330002,50.650002,52.009998,46.998745,4677100
2014-02-03,21,51.939999,52.099998,50.150002,50.200001,45.363144,4060100
2014-02-04,22,50.680000,51.160000,50.259998,50.820000,45.923405,2482400
2014-02-05,23,50.689999,50.730000,49.919998,50.570000,45.697498,1881200
2014-02-06,24,50.540001,51.500000,50.410000,51.220001,46.284870,3254100
2014-02-07,25,51.610001,52.250000,51.500000,52.150002,47.125252,4029200
2014-02-10,26,52.119999,53.139999,52.060001,52.849998,47.757813,3362900
2014-02-11,27,52.529999,53.310001,52.060001,52.810001,47.721668,4191200
2014-02-12,28,52.820000,53.700001,52.820000,53.150002,48.028912,2588800
2014-02-13,29,52.580002,53.389999,52.509998,53.130001,48.010841,2987400
2014-02-14,30,52.970001,53.009998,52.419998,52.810001,47.721668,2438200
2014-02-18,31,53.160000,53.730000,52.939999,53.669998,48.498798,2377900
2014-02-19,32,53.369999,54.680000,52.790001,52.860001,47.766838,2480800
2014-02-20,33,52.990002,53.230000,52.509998,52.540001,47.477684,1968500
2014-02-21,34,52.610001,52.919998,52.279999,52.480000,47.423454,2041500
2014-02-24,35,52.439999,53.799999,52.389999,53.520000,48.363258,2674800
2014-02-25,36,53.320000,53.500000,52.450001,52.779999,47.694553,2122500
2014-02-26,37,52.910000,53.139999,52.040001,52.160000,47.134293,2886400
