Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,52.520000,53.160000,52.139999,52.270000,45.893841,5647500
2014-01-03,1,52.410000,53.180000,52.369999,52.849998,46.403080,4485000
2014-01-06,2,53.070000,53.099998,52.430000,52.639999,46.218697,7741700
2014-01-07,3,52.599998,53.459999,52.500000,52.560001,46.148453,8960800
2014-01-08,4,52.480000,53.439999,52.299999,53.419998,46.903545,6431400
2014-01-09,5,53.689999,55.090000,53.639999,55.029999,48.317150,10347500
2014-01-10,6,55.820000,56.279999,55.419998,56.180000,49.326870,14480200
2014-01-13,7,55.959999,56.830002,55.310001,55.419998,48.659584,12153100
2014-01-14,8,55.490002,55.980000,54.830002,55.680000,48.887856,9995100
2014-01-15,9,55.700001,55.720001,54.299999,54.500000,47.851803,10135400
2014-01-16,10,54.250000,55.070000,54.139999,54.799999,48.115219,9356000
2014-01-17,11,54.919998,55.070000,54.259998,54.360001,47.728886,8914500
2014-01-21,12,54.430000,55.180000,54.220001,54.590000,47.930824,7880000
2014-01-22,13,54.740002,55.180000,54.590000,54.810001,48.123989,6548700
2014-01-23,14,54.310001,54.310001,52.709999,53.950001,47.368900,14121100
2014-01-24,15,54.599998,55.470001,50.310001,50.939999,44.726070,29291200
2014-01-27,16,51.080002,51.090000,49.450001,49.720001,43.654884,19683300
2014-01-28,17,49.919998,51.500000,49.910000,51.070000,44.840218,13141200
2014-01-29,18,50.720001,51.230000,49.849998,50.220001,44.093903,11328500
2014-01-30,19,50.610001,51.060001,50.169998,50.490002,44.330963,7528200
2014-01-31,20,50.040001,50.470001,49.759998,49.970001,43.874397,7725400
2014-02-03,21,50.130001,50.290001,48.540001,48.639999,42.706642,10149600
2014-02-04,22,48.779999,49.380001,48.509998,48.939999,42.970047,7643300
2014-02-05,23,48.580002,49.000000,47.520000,48.540001,42.618843,12439600
2014-02-06,24,48.810001,49.180000,48.599998,48.980000,43.005169,8135800
2014-02-07,25,48.980000,50.369999,48.959999,50.330002,44.190479,8543300
2014-02-10,26,50.900002,52.169998,50.619999,52.119999,45.762138,11130500
2014-02-11,27,51.660000,52.980000,51.380001,52.619999,46.201138,10454000
2014-02-12,28,52.619999,53.330002,52.540001,52.849998,46.403080,8098300
2014-02-13,29,52.599998,53.500000,52.509998,53.490002,46.965012,6062500
2014-02-14,30,53.410000,54.470001,53.400002,54.369999,47.737659,8203900
2014-02-18,31,54.240002,54.959999,54.209999,54.630001,47.965946,7657600
2014-02-19,32,54.230000,54.619999,53.419998,53.459999,46.938671,8397400
2014-02-20,33,53.639999,53.900002,53.439999,53.849998,47.281097,12437500
2014-02-21,34,53.410000,54.570000,53.380001,54.139999,47.535717,7107300
2014-02-24,35,54.240002,54.770000,54.230000,54.310001,47.684986,6620900
2014-02-25,36,54.330002,54.529999,53.630001,53.680000,47.131836,7250300
2014-02-26,37,53.639999,54.040001,53.450001,53.570000,47.035248,5892400
2014-02-27,38,53.560001,54.099998,53.500000,53.950001,47.368900,6487400
2014-02-28,39,53.910000,54.919998,53.400002,53.770000,47.210850,7802600
2014-03-03,40,53.169998,53.680000,52.910000,53.490002,46.965012,5198500
2014-03-04,41,53.980000,56.740002,53.980000,56.419998,49.537590,11911600
2014-03-05,42,56.220001,57.060001,55.520000,56.610001,49.704414,8941300
2014-03-06,43,56.430000,57.490002,55.540001,55.560001,48.782513,8018000
2014-03-07,44,55.730000,55.910000,54.869999,55.830002,49.019573,5138400
2014-03-10,45,55.880001,56.160000,55.209999,56.139999,49.291740,4327400
2014-03-11,46,55.990002,56.310001,55.730000,55.830002,49.019573,4736000
2014-03-12,47,55.290001,55.349998,54.869999,55.240002,48.501537,7807300
2014-03-13,48,55.320000,55.520000,54.130001,54.180000,47.570839,8184300
2014-03-14,49,54.160000,54.439999,53.880001,54.000000,47.412804,8054500
2014-03-17,50,54.480000,54.900002,54.180000,54.720001,48.044971,7305600
2014-03-18,51,54.680000,54.930000,54.279999,54.730000,48.053741,5307000
2014-03-19,52,54.900002,55.470001,54.570000,54.740002,48.062534,6698000
2014-03-20,53,54.580002,54.580002,53.500000,53.779999,47.219635,10382300
2014-03-21,54,54.310001,54.970001,52.060001,52.060001,45.709450,17004800
2014-03-24,55,52.209999,52.240002,50.160000,51.040001,44.813869,19823900
2014-03-25,56,51.439999,51.570000,50.580002,51.040001,44.813869,8380700
2014-03-26,57,51.270000,52.930000,51.240002,52.660000,46.236256,16144700
2014-03-27,58,52.560001,52.570000,51.509998,52.330002,45.946518,8062300
2014-03-28,59,52.709999,53.020000,51.470001,51.820000,45.498722,6318800
2014-03-31,60,52.150002,52.299999,51.700001,51.950001,45.612862,6768900
2014-04-01,61,52.230000,52.389999,51.230000,51.869999,45.542633,7330100
2014-04-02,62,51.570000,51.910000,51.410000,51.590000,45.613361,7908100
2014-04-03,63,51.549999,51.799999,50.700001,50.869999,44.976772,7853200
2014-04-04,64,51.279999,51.709999,49.889999,49.889999,44.110294,8435800
2014-04-07,65,49.770000,50.889999,49.770000,50.279999,44.455128,7978700
2014-04-08,66,50.770000,50.770000,49.009998,49.060001,43.376461,11008400
2014-04-09,67,49.299999,50.619999,49.060001,50.570000,44.711521,9238200
2014-04-10,68,50.150002,50.560001,49.009998,49.290001,43.579815,9566600
2014-04-11,69,49.080002,49.480000,48.750000,48.830002,43.173100,8079200
2014-04-14,70,49.290001,49.290001,47.419998,47.959999,42.403885,10249400
2014-04-15,71,48.290001,48.480000,47.480000,48.169998,42.589554,13265000
2014-04-16,72,48.419998,49.209999,48.410000,49.110001,43.420662,7649900
2014-04-17,73,49.040001,49.680000,48.950001,49.459999,43.730114,6670700
2014-04-21,74,49.660000,50.599998,49.580002,50.509998,44.658470,5414400
2014-04-22,75,50.470001,51.490002,50.320000,50.990002,45.082863,7609300
2014-04-23,76,51.160000,51.160000,50.689999,50.950001,45.047508,6516400
2014-04-24,77,51.029999,51.029999,50.310001,50.709999,44.835300,5500000
2014-04-25,78,50.580002,50.880001,50.310001,50.500000,44.649628,5581600
2014-04-28,79,50.889999,51.220001,49.400002,50.360001,44.525856,7700900
2014-04-29,80,48.560001,49.849998,48.259998,49.320000,43.606335,12541100
