Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,51.889999,51.980000,50.759998,50.980000,47.617859,522100
2014-01-03,1,51.290001,51.900002,51.060001,51.660000,48.253014,648600
2014-01-06,2,51.730000,51.919998,50.930000,50.930000,47.571156,550900
2014-01-07,3,51.180000,51.389999,50.369999,50.689999,47.346985,515200
2014-01-08,4,50.680000,50.910000,49.810001,50.020000,46.721172,624800
2014-01-09,5,50.029999,50.400002,49.480000,49.759998,46.478313,610400
2014-01-10,6,49.669998,50.029999,49.400002,49.849998,46.562389,493900
2014-01-13,7,50.000000,50.000000,48.220001,48.470001,45.273399,526300
2014-01-14,8,48.490002,50.119999,48.450001,49.740002,46.459641,925000
2014-01-15,9,49.740002,50.020000,49.169998,49.830002,46.543697,470100
2014-01-16,10,49.680000,49.799999,48.990002,49.049999,45.815144,480800
2014-01-17,11,48.900002,50.340000,48.750000,49.880001,46.590405,1331600
2014-01-21,12,50.880001,50.980000,49.840000,49.869999,46.581078,648200
2014-01-22,13,50.060001,50.970001,49.950001,50.750000,47.403034,568200
2014-01-23,14,50.709999,50.970001,50.110001,50.730000,47.384346,829100
2014-01-24,15,50.660000,50.740002,49.810001,50.029999,46.730515,678500
2014-01-27,16,50.240002,50.459999,48.919998,49.020000,45.787125,752800
2014-01-28,17,49.310001,50.270000,49.119999,50.189999,46.879963,726500
2014-01-29,18,49.990002,50.400002,49.709999,49.720001,46.440948,681500
2014-01-30,19,50.369999,51.639999,50.049999,51.400002,48.010162,786900
2014-01-31,20,50.750000,52.450001,50.700001,52.020000,48.589275,790300
2014-02-03,21,52.099998,52.310001,49.000000,49.130001,45.889862,1283300
2014-02-04,22,49.990002,51.360001,49.540001,51.000000,47.636536,1053100
2014-02-05,23,51.000000,51.270000,50.150002,50.720001,47.375015,475000
2014-02-06,24,51.000000,51.709999,50.860001,51.680000,48.271694,664900
2014-02-07,25,52.000000,53.599998,51.509998,53.419998,49.896942,705800
2014-02-10,26,53.930000,54.500000,53.419998,54.369999,50.784294,922300
2014-02-11,27,54.369999,55.509998,54.369999,54.740002,51.129883,934700
2014-02-12,28,54.869999,56.060001,54.700001,56.049999,52.353504,720600
