Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,14.000000,14.080000,13.920000,14.010000,14.010000,3118200
2014-01-03,1,14.450000,14.450000,14.160000,14.170000,14.170000,4180700
2014-01-06,2,14.150000,14.350000,14.090000,14.270000,14.270000,2557000
2014-01-07,3,14.280000,14.380000,14.190000,14.340000,14.340000,2169300
2014-01-08,4,14.280000,14.500000,14.140000,14.420000,14.420000,3487500
2014-01-09,5,14.460000,14.470000,14.220000,14.320000,14.320000,1849000
2014-01-10,6,14.350000,14.500000,14.270000,14.490000,14.490000,1824700
2014-01-13,7,14.480000,14.480000,14.230000,14.270000,14.270000,1771300
2014-01-14,8,14.270000,14.520000,14.270000,14.460000,14.460000,1553300
2014-01-15,9,14.480000,14.890000,14.390000,14.830000,14.830000,5554400
2014-01-16,10,14.820000,14.820000,14.390000,14.460000,14.460000,2473200
2014-01-17,11,14.420000,14.510000,14.330000,14.470000,14.470000,1473500
2014-01-21,12,14.530000,14.630000,14.400000,14.550000,14.550000,1655200
2014-01-22,13,14.590000,14.590000,14.290000,14.300000,14.300000,2329400
2014-01-23,14,14.230000,14.270000,13.980000,14.090000,14.090000,4513200
2014-01-24,15,14.250000,14.380000,14.080000,14.160000,14.160000,6080300
2014-01-27,16,14.170000,14.330000,13.730000,14.000000,14.000000,6328500
2014-01-28,17,14.000000,14.120000,13.890000,14.010000,14.010000,3284200
2014-01-29,18,13.950000,14.140000,13.850000,14.080000,14.080000,3633000
2014-01-30,19,14.320000,14.650000,14.030000,14.300000,14.300000,3386000
2014-01-31,20,14.050000,14.430000,14.050000,14.120000,14.120000,3552500
2014-02-03,21,14.060000,14.170000,13.720000,13.760000,13.760000,5546300
2014-02-04,22,13.770000,13.950000,13.670000,13.810000,13.810000,2812000
2014-02-05,23,13.840000,13.900000,13.590000,13.740000,13.740000,2446900
2014-02-06,24,13.660000,13.840000,13.650000,13.730000,13.730000,2862800
2014-02-07,25,13.820000,14.080000,13.680000,14.010000,14.010000,3792800
2014-02-10,26,13.960000,14.390000,13.950000,14.230000,14.230000,3819400
2014-02-11,27,14.240000,14.490000,14.190000,14.420000,14.420000,2378200
2014-02-12,28,14.410000,14.750000,14.410000,14.580000,14.580000,3273900
2014-02-13,29,14.500000,14.620000,14.460000,14.570000,14.570000,1788000
2014-02-14,30,14.580000,14.720000,14.500000,14.680000,14.680000,2295500
2014-02-18,31,14.700000,14.750000,14.610000,14.690000,14.690000,1734200
2014-02-19,32,14.510000,14.880000,14.510000,14.770000,14.770000,2953900
2014-02-20,33,14.770000,14.960000,14.650000,14.940000,14.940000,3889000
2014-02-21,34,14.930000,15.200000,14.840000,15.140000,15.140000,4957400
2014-02-24,35,15.090000,15.290000,15.070000,15.140000,15.140000,2776300
2014-02-25,36,15.100000,15.240000,14.810000,15.100000,15.100000,2603300
2014-02-26,37,15.080000,15.250000,14.940000,15.240000,15.240000,3528300
2014-02-27,38,15.230000,15.380000,15.140000,15.350000,15.350000,1934100
2014-02-28,39,15.390000,15.460000,15.240000,15.330000,15.330000,2311600
2014-03-03,40,15.170000,15.390000,15.000000,15.300000,15.300000,2043200
2014-03-04,41,15.400000,15.590000,15.240000,15.520000,15.520000,2171900
2014-03-05,42,15.500000,15.500000,15.350000,15.450000,15.450000,1445200
2014-03-06,43,15.930000,16.020000,15.440000,15.960000,15.960000,6533100
2014-03-07,44,15.970000,16.070000,15.850000,15.910000,15.910000,5214100
2014-03-10,45,15.840000,15.970000,15.700000,15.810000,15.810000,3956500
2014-03-11,46,15.830000,15.920000,15.530000,15.610000,15.610000,2170400
2014-03-12,47,15.530000,15.600000,15.360000,15.520000,15.520000,2540800
2014-03-13,48,15.520000,15.580000,15.240000,15.380000,15.380000,2341400
2014-03-14,49,15.320000,15.470000,15.150000,15.270000,15.270000,1768200
2014-03-17,50,15.470000,15.720000,15.390000,15.580000,15.580000,2401800
2014-03-18,51,15.580000,15.770000,15.510000,15.700000,15.700000,1071400
2014-03-19,52,15.750000,15.760000,15.590000,15.640000,15.640000,1889700
2014-03-20,53,15.580000,15.740000,15.510000,15.740000,15.740000,2314400
2014-03-21,54,15.780000,16.200001,15.680000,16.120001,16.120001,9197800
2014-03-24,55,16.200001,16.250000,15.770000,15.900000,15.900000,3657100
2014-03-25,56,15.930000,16.040001,15.560000,15.580000,15.580000,3948100
2014-03-26,57,15.620000,15.700000,15.280000,15.350000,15.350000,4195700
2014-03-27,58,15.350000,15.490000,15.050000,15.070000,15.070000,5289200
2014-03-28,59,15.180000,15.480000,15.020000,15.400000,15.400000,3340200
2014-03-31,60,15.450000,15.620000,15.370000,15.540000,15.540000,2781300
2014-04-01,61,15.600000,15.710000,15.420000,15.490000,15.490000,2306400
2014-04-02,62,15.540000,15.590000,15.280000,15.400000,15.400000,2346700
2014-04-03,63,15.400000,15.500000,15.190000,15.190000,15.190000,2754000
2014-04-04,64,15.340000,15.340000,14.780000,14.840000,14.840000,4471400
