Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,58.209999,58.480000,57.610001,57.820000,50.939682,1501000
2014-01-03,1,58.009998,58.049999,57.070000,57.279999,50.463940,1319600
2014-01-06,2,57.650002,57.759998,56.520000,56.610001,49.873665,2063900
2014-01-07,3,56.639999,57.000000,56.389999,56.680000,49.935345,1309800
2014-01-08,4,56.689999,56.740002,56.099998,56.270000,49.574123,1516900
2014-01-09,5,56.470001,56.700001,56.119999,56.549999,49.820801,1133300
2014-01-10,6,56.619999,58.270000,56.599998,57.700001,50.833961,2561500
2014-01-13,7,57.450001,58.139999,57.349998,57.450001,50.613716,1771000
2014-01-14,8,57.669998,57.990002,57.029999,57.740002,50.869205,1013300
2014-01-15,9,57.970001,59.450001,57.740002,59.340000,52.278812,3266200
2014-01-16,10,58.349998,59.689999,58.349998,59.520000,52.437382,1567000
2014-01-17,11,59.110001,59.490002,58.740002,59.130001,52.093796,1448900
2014-01-21,12,59.490002,59.700001,58.799999,59.660000,52.560730,1728600
2014-01-22,13,59.840000,60.310001,59.730000,60.230000,53.062908,1738200
2014-01-23,14,59.270000,59.730000,58.209999,59.049999,52.023315,2290000
2014-01-24,15,58.869999,58.919998,57.180000,57.209999,50.402267,2039400
2014-01-27,16,57.360001,57.860001,56.520000,57.000000,50.217258,1431900
2014-01-28,17,56.919998,57.490002,56.840000,57.450001,50.613716,1784500
2014-01-29,18,56.959999,58.430000,56.869999,57.630001,50.772285,2240800
2014-01-30,19,57.939999,58.680000,57.689999,58.279999,51.344944,1655100
2014-01-31,20,57.529999,58.910000,57.529999,58.540001,51.574005,2069000
2014-02-03,21,57.910000,58.540001,57.110001,57.730000,50.860378,2807400
2014-02-04,22,58.110001,58.880001,57.459999,58.639999,51.662106,3252400
2014-02-05,23,53.470001,54.500000,52.500000,53.160000,46.834206,10199900
2014-02-06,24,53.060001,53.150002,52.040001,52.480000,46.235115,3896100
2014-02-07,25,52.910000,53.150002,52.009998,52.389999,46.155830,2922600
2014-02-10,26,52.380001,53.430000,52.299999,52.930000,46.631565,2233700
2014-02-11,27,52.840000,54.009998,52.730000,53.869999,47.459713,2225300
2014-02-12,28,53.939999,54.540001,53.669998,53.790001,47.389240,1666000
2014-02-13,29,53.590000,54.080002,53.500000,54.029999,47.600677,1572800
2014-02-14,30,53.889999,54.680000,53.840000,54.639999,48.138088,1366400
2014-02-18,31,54.720001,55.169998,54.330002,54.419998,47.944271,1736000
2014-02-19,32,54.400002,54.860001,53.689999,53.770000,47.371616,1640400
2014-02-20,33,53.720001,54.360001,53.450001,54.160000,47.715210,1463600
2014-02-21,34,54.270000,54.669998,54.099998,54.119999,47.679966,1539300
2014-02-24,35,54.189999,54.480000,53.330002,53.340000,46.992786,1957500
2014-02-25,36,53.110001,53.529999,52.200001,52.419998,46.182259,2602900
2014-02-26,37,52.470001,52.770000,52.250000,52.520000,46.270363,1460500
2014-02-27,38,52.410000,52.549999,52.040001,52.360001,46.129398,1491300
2014-02-28,39,52.369999,52.400002,51.619999,51.860001,45.688900,1823100
2014-03-03,40,51.669998,51.990002,51.320000,51.750000,45.591991,1867700
2014-03-04,41,52.099998,52.430000,51.970001,52.180000,45.970814,1612900
2014-03-05,42,51.689999,51.919998,51.389999,51.759998,45.908733,1620500
2014-03-06,43,52.040001,52.540001,51.770000,52.450001,46.520733,1408100
2014-03-07,44,52.669998,52.810001,52.080002,52.270000,46.361076,1244700
2014-03-10,45,52.349998,52.669998,52.040001,52.570000,46.627167,1005000
2014-03-11,46,52.650002,52.740002,52.189999,52.380001,46.458652,1189000
2014-03-12,47,52.240002,52.540001,51.950001,52.450001,46.520733,1804500
2014-03-13,48,52.709999,52.810001,51.860001,52.080002,46.192551,1799300
2014-03-14,49,51.849998,52.220001,51.020000,51.139999,45.358814,2377900
2014-03-17,50,51.490002,51.560001,50.980000,51.070000,45.296738,1727500
2014-03-18,51,51.340000,51.340000,50.900002,50.959999,45.199173,1752500
2014-03-19,52,50.830002,50.900002,50.220001,50.540001,44.826645,2590800
2014-03-20,53,50.470001,50.709999,50.209999,50.630001,44.906475,1260300
2014-03-21,54,50.330002,51.160000,50.330002,51.029999,45.261261,3075200
2014-03-24,55,51.070000,51.349998,50.389999,50.900002,45.145962,1429900
2014-03-25,56,51.220001,51.549999,51.070000,51.099998,45.323345,1480100
2014-03-26,57,51.259998,51.400002,50.639999,50.650002,44.924217,1213600
2014-03-27,58,50.619999,51.080002,50.380001,51.000000,45.234646,1835400
2014-03-28,59,51.130001,51.590000,50.750000,50.889999,45.137085,1439100
2014-03-31,60,51.750000,52.709999,51.410000,52.389999,46.467514,2681000
2014-04-01,61,52.709999,52.720001,51.099998,52.160000,46.263519,2969900
2014-04-02,62,52.139999,53.029999,52.070000,52.970001,46.981941,1702300
2014-04-03,63,52.990002,53.310001,52.820000,53.029999,47.035156,1721900
2014-04-04,64,53.250000,53.270000,52.290001,52.410000,46.485252,1190000
2014-04-07,65,52.450001,52.590000,52.020000,52.040001,46.157074,1231300
2014-04-08,66,52.000000,52.410000,51.790001,52.189999,46.290127,1279100
2014-04-09,67,52.470001,53.000000,52.400002,52.950001,46.964211,1447300
2014-04-10,68,53.020000,54.320000,53.000000,53.799999,47.718121,3486200
2014-04-11,69,54.400002,55.130001,53.919998,54.869999,48.667152,4514200
