Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,92.750000,92.750000,90.650002,91.160004,79.037811,1353300
2014-01-03,1,91.720001,91.750000,90.809998,91.489998,79.323921,837000
2014-01-06,2,91.879997,92.169998,90.730003,91.110001,78.994431,907900
2014-01-07,3,91.540001,91.760002,90.290001,90.489998,78.456902,1658100
2014-01-08,4,89.550003,89.720001,88.699997,88.989998,77.156342,2797100
2014-01-09,5,89.290001,89.790001,88.879997,89.129997,77.277740,1777000
2014-01-10,6,89.349998,89.739998,89.089996,89.279999,77.407791,1107700
2014-01-13,7,89.250000,90.029999,88.610001,89.099998,77.251740,1577200
2014-01-14,8,89.519997,89.709999,88.599998,89.669998,77.745926,1188500
2014-01-15,9,89.669998,89.989998,89.120003,89.680000,77.754608,1273300
2014-01-16,10,89.470001,90.239998,89.099998,90.120003,78.136101,1395600
2014-01-17,11,90.000000,90.190002,89.410004,89.970001,78.006050,2565700
2014-01-21,12,90.589996,91.019997,89.800003,90.110001,78.127449,1391700
2014-01-22,13,90.260002,90.720001,89.330002,89.900002,77.945335,1075400
2014-01-23,14,89.279999,89.650002,88.779999,89.250000,77.381790,870600
2014-01-24,15,89.440002,91.410004,88.599998,88.830002,77.017632,2419500
2014-01-27,16,88.169998,88.389999,87.360001,87.449997,76.432030,1553400
2014-01-28,17,87.449997,88.900002,87.309998,88.400002,77.262375,1030800
2014-01-29,18,87.599998,87.620003,86.339996,87.080002,76.108665,1589400
2014-01-30,19,88.120003,88.139999,87.360001,87.470001,76.449532,1076200
2014-01-31,20,86.629997,88.570000,86.410004,88.269997,77.148735,1814500
2014-02-03,21,88.510002,88.660004,86.070000,86.360001,75.479385,2652800
2014-02-04,22,86.309998,86.900002,84.389999,85.809998,74.998695,2844400
2014-02-05,23,84.620003,85.129997,83.699997,84.559998,73.906158,2126800
2014-02-06,24,84.580002,85.150002,84.169998,85.059998,74.343170,1110900
2014-02-07,25,85.330002,85.680000,85.040001,85.629997,74.841339,1014700
2014-02-10,26,85.440002,86.120003,85.120003,86.120003,75.269615,1190700
2014-02-11,27,86.230003,87.089996,85.949997,86.830002,75.890160,1194200
2014-02-12,28,86.919998,87.220001,86.339996,86.540001,75.636696,786900
2014-02-13,29,86.070000,87.290001,86.070000,86.959999,76.003784,761100
2014-02-14,30,86.940002,88.570000,86.779999,88.110001,77.008881,1010700
2014-02-18,31,88.070000,88.120003,86.980003,87.349998,76.344650,1065100
2014-02-19,32,87.099998,87.570000,86.660004,86.870003,75.925125,798400
2014-02-20,33,86.989998,87.830002,86.830002,86.949997,75.995049,1260200
2014-02-21,34,87.279999,87.790001,86.980003,87.010002,76.047470,879800
2014-02-24,35,86.830002,87.760002,86.750000,87.059998,76.091194,970200
2014-02-25,36,87.239998,87.599998,86.699997,86.809998,75.872688,1231200
2014-02-26,37,87.279999,87.400002,86.300003,86.470001,75.575531,1059900
2014-02-27,38,86.209999,86.910004,85.889999,86.769997,75.837715,980100
2014-02-28,39,86.800003,87.720001,86.500000,87.279999,76.283470,1036000
2014-03-03,40,86.610001,86.720001,86.059998,86.660004,75.741577,1136200
2014-03-04,41,86.980003,87.650002,86.690002,87.559998,76.528183,1390500
2014-03-05,42,87.269997,87.410004,86.410004,86.559998,75.654175,949500
2014-03-06,43,86.540001,87.129997,86.410004,86.629997,75.715370,785000
2014-03-07,44,86.739998,86.949997,86.129997,86.440002,75.549309,844800
2014-03-10,45,86.419998,86.870003,86.320000,86.709999,75.785263,670500
2014-03-11,46,86.940002,87.230003,86.480003,86.580002,75.671669,604000
2014-03-12,47,86.129997,86.910004,86.120003,86.790001,75.855209,702600
2014-03-13,48,86.980003,87.940002,86.769997,86.820000,75.881416,1076500
2014-03-14,49,86.739998,87.489998,86.629997,87.370003,76.362137,1008800
2014-03-17,50,87.580002,88.040001,87.510002,87.830002,76.764183,578400
2014-03-18,51,87.839996,88.550003,87.809998,88.230003,77.113770,614300
2014-03-19,52,88.180000,88.480003,86.980003,87.279999,76.283470,582000
2014-03-20,53,87.250000,87.650002,87.029999,87.370003,76.362137,562400
2014-03-21,54,87.940002,88.570000,87.470001,87.540001,76.510704,1533000
2014-03-24,55,87.940002,88.559998,87.620003,88.029999,76.938972,963600
2014-03-25,56,88.360001,88.379997,87.169998,87.250000,76.257233,1228300
2014-03-26,57,87.550003,88.199997,87.309998,87.900002,76.825340,1277400
2014-03-27,58,87.980003,90.400002,87.800003,88.050003,76.956436,1700800
2014-03-28,59,88.330002,88.370003,87.860001,88.089996,76.991425,904700
2014-03-31,60,88.309998,88.489998,87.260002,88.010002,76.921494,1406500
2014-04-01,61,87.980003,87.980003,86.940002,87.910004,76.834106,1036100
2014-04-02,62,87.720001,88.519997,87.430000,87.889999,76.816620,904200
2014-04-03,63,88.160004,88.339996,87.629997,88.250000,77.131248,1048500
2014-04-04,64,88.580002,89.099998,88.320000,88.489998,77.341019,1037200
2014-04-07,65,88.599998,90.099998,88.599998,88.790001,77.603218,1999000
2014-04-08,66,88.739998,89.779999,88.389999,89.739998,78.433533,1204200
2014-04-09,67,89.930000,90.430000,89.129997,89.260002,78.014015,1486500
2014-04-10,68,89.320000,90.300003,88.849998,88.870003,77.673141,1462100
2014-04-11,69,88.739998,89.529999,88.120003,88.239998,77.122505,1101500
2014-04-14,70,88.540001,89.139999,88.489998,88.919998,77.716850,883900
2014-04-15,71,89.199997,90.050003,89.019997,89.879997,78.555901,1175800
2014-04-16,72,90.080002,90.879997,89.889999,90.510002,79.106522,918100
2014-04-17,73,90.290001,90.910004,89.970001,90.839996,79.394928,996000
2014-04-21,74,90.040001,90.379997,89.550003,90.019997,79.298035,951400
2014-04-22,75,89.940002,90.089996,88.849998,88.970001,78.373108,1278300
2014-04-23,76,89.000000,89.389999,88.750000,88.989998,78.390709,842100
2014-04-24,77,89.129997,89.529999,88.910004,89.120003,78.505241,908100
2014-04-25,78,89.000000,90.160004,88.980003,90.029999,79.306839,1070400
2014-04-28,79,90.169998,91.800003,90.169998,91.570000,80.663414,1654700
2014-04-29,80,91.739998,92.419998,90.940002,91.129997,80.275833,1084300
2014-04-30,81,91.160004,91.559998,90.519997,90.699997,79.897049,1837900
2014-05-01,82,88.690002,89.989998,87.500000,89.400002,78.751892,2376000
2014-05-02,83,89.339996,90.320000,88.339996,89.580002,78.910431,1864200
2014-05-05,84,88.690002,88.839996,87.000000,87.309998,76.910812,3502100
2014-05-06,85,87.309998,88.000000,86.559998,87.349998,76.946060,2246100
2014-05-07,86,87.480003,88.269997,87.360001,87.870003,77.404129,1358400
2014-05-08,87,87.739998,88.110001,87.459999,88.010002,77.527451,1254600
2014-05-09,88,88.180000,88.620003,87.930000,88.510002,77.967888,1051500
2014-05-12,89,88.639999,88.639999,87.760002,88.199997,77.694801,1422000
2014-05-13,90,88.449997,88.959999,88.139999,88.930000,78.337868,1023100
2014-05-14,91,88.820000,89.790001,88.820000,89.129997,78.514046,1275600
2014-05-15,92,88.830002,89.169998,88.239998,88.349998,77.826950,866100
2014-05-16,93,88.449997,88.870003,88.190002,88.650002,78.091209,659400
2014-05-19,94,88.400002,88.620003,88.080002,88.360001,77.835747,623700
2014-05-20,95,88.360001,88.919998,87.930000,88.360001,77.835747,787300
2014-05-21,96,88.510002,88.699997,87.970001,88.589996,78.038338,565900
2014-05-22,97,88.360001,88.639999,87.839996,88.059998,77.571510,729900
2014-05-23,98,88.279999,88.620003,88.070000,88.330002,77.809326,687400
2014-05-27,99,88.410004,88.500000,88.019997,88.239998,77.730034,535100
2014-05-28,100,88.389999,88.800003,88.139999,88.470001,77.932648,688000
2014-05-29,101,88.610001,89.519997,88.500000,89.480003,78.822365,819300
2014-05-30,102,89.239998,89.830002,89.239998,89.620003,78.945694,921100
2014-06-02,103,89.470001,89.699997,88.620003,88.860001,78.276199,815400
2014-06-03,104,88.930000,88.980003,88.120003,88.500000,77.959091,962200
2014-06-04,105,88.440002,89.000000,88.250000,88.970001,78.373108,995700
2014-06-05,106,89.309998,89.449997,88.779999,89.430000,78.778320,636000
2014-06-06,107,89.379997,89.699997,89.180000,89.500000,78.839981,536100
2014-06-09,108,89.230003,93.050003,89.190002,92.660004,81.623596,4837200
2014-06-10,109,92.849998,93.430000,91.209999,91.690002,80.769135,2105900
2014-06-11,110,91.589996,91.760002,90.430000,91.230003,80.363914,1044800
2014-06-12,111,91.150002,91.209999,89.959999,90.400002,79.632774,1053500
2014-06-13,112,90.400002,90.730003,89.900002,90.070000,79.342079,823200
2014-06-16,113,89.849998,90.599998,89.849998,90.139999,79.403740,740500
2014-06-17,114,90.250000,90.669998,89.900002,90.570000,79.782532,907200
2014-06-18,115,90.129997,91.330002,90.029999,91.279999,80.407990,715900
2014-06-19,116,91.430000,92.150002,91.360001,92.110001,81.139091,754600
2014-06-20,117,92.160004,92.230003,91.599998,91.709999,80.786736,854500
2014-06-23,118,91.849998,91.989998,91.139999,91.339996,80.460815,719200
2014-06-24,119,91.230003,91.730003,91.010002,91.480003,80.584152,600800
2014-06-25,120,91.150002,91.529999,90.930000,91.279999,80.407990,606300
2014-06-26,121,91.230003,91.330002,90.529999,91.120003,80.267029,758900
2014-06-27,122,91.000000,91.839996,90.839996,91.699997,80.777939,651900
2014-06-30,123,91.510002,92.250000,91.199997,91.400002,80.513680,710400
2014-07-01,124,91.160004,91.500000,90.080002,91.260002,80.390350,954200
2014-07-02,125,91.349998,91.760002,91.260002,91.709999,80.786736,615200
2014-07-03,126,91.830002,92.250000,91.599998,91.900002,80.954140,551400
2014-07-07,127,91.779999,92.290001,91.690002,92.120003,81.147919,522600
2014-07-08,128,92.250000,92.739998,92.010002,92.070000,81.103867,800700
2014-07-09,129,92.239998,92.949997,92.070000,92.809998,81.755745,621800
2014-07-10,130,92.339996,93.309998,92.220001,93.029999,81.949532,746100
2014-07-11,131,92.889999,93.089996,92.599998,92.769997,81.720490,563600
2014-07-14,132,93.059998,93.480003,92.750000,93.129997,82.037613,644800
2014-07-15,133,93.150002,93.339996,92.269997,92.489998,81.473839,1191000
2014-07-16,134,92.709999,92.930000,92.459999,92.629997,81.597176,710300
2014-07-17,135,92.639999,92.739998,92.029999,92.040001,81.077446,659500
2014-07-18,136,92.000000,92.269997,91.570000,92.250000,81.262444,1094200
2014-07-21,137,91.099998,91.160004,90.470001,90.910004,80.729622,1132500
2014-07-22,138,90.860001,90.959999,90.279999,90.339996,80.223450,862000
2014-07-23,139,90.220001,90.489998,89.870003,90.180000,80.081345,753200
2014-07-24,140,90.470001,90.660004,90.260002,90.540001,80.401047,738000
2014-07-25,141,90.370003,90.559998,89.339996,89.480003,79.459770,735200
2014-07-28,142,89.419998,89.930000,89.029999,89.379997,79.370949,711800
2014-07-29,143,89.620003,89.879997,88.639999,88.669998,78.740471,923200
2014-07-30,144,88.900002,89.190002,87.809998,88.050003,78.189888,1170700
2014-07-31,145,87.750000,88.089996,86.610001,86.870003,77.142044,1487800
