Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,71.160004,71.370003,70.180000,70.400002,62.966423,4485800
2014-01-03,1,70.550003,70.779999,70.260002,70.550003,63.100594,3885500
2014-01-06,2,70.750000,70.830002,69.300003,69.309998,61.991508,6345100
2014-01-07,3,69.529999,69.750000,69.220001,69.669998,62.313515,4524200
2014-01-08,4,69.779999,69.930000,69.150002,69.769997,62.402939,5067700
2014-01-09,5,70.449997,70.589996,69.330002,69.919998,62.537113,4960900
2014-01-10,6,69.809998,70.000000,68.830002,69.510002,62.170406,6859100
2014-01-13,7,69.330002,69.680000,68.430000,68.550003,61.311779,3638100
2014-01-14,8,68.620003,68.839996,68.139999,68.489998,61.258091,5835700
2014-01-15,9,68.629997,69.000000,67.879997,68.290001,61.079239,5842200
2014-01-16,10,68.190002,68.279999,67.760002,68.129997,60.936123,5865400
2014-01-17,11,68.209999,68.260002,67.820000,67.970001,61.039413,4551300
2014-01-21,12,68.610001,68.620003,68.059998,68.320000,61.602940,6548600
2014-01-22,13,68.650002,69.660004,68.599998,69.169998,62.369366,6294500
2014-01-23,14,68.709999,68.779999,68.099998,68.470001,61.738209,5633800
2014-01-24,15,68.370003,68.430000,67.629997,67.629997,60.980785,5717100
2014-01-27,16,67.660004,67.949997,67.070000,67.529999,60.890633,7289100
2014-01-28,17,67.660004,68.779999,67.660004,68.519997,61.783279,5159100
2014-01-29,18,68.000000,68.059998,67.160004,67.349998,60.728313,8339300
2014-01-30,19,67.790001,68.239998,67.330002,67.650002,60.998825,5060500
2014-01-31,20,66.790001,68.070000,66.070000,67.720001,61.061935,7388500
2014-02-03,21,67.519997,67.669998,65.680000,65.790001,59.321690,7016400
2014-02-04,22,66.449997,66.769997,65.709999,66.110001,59.610229,6137800
2014-02-05,23,65.059998,66.000000,64.949997,65.440002,59.006100,10092700
2014-02-06,24,65.470001,66.139999,65.309998,66.110001,59.610229,5927800
2014-02-07,25,66.010002,66.980003,65.959999,66.440002,59.907784,6206000
2014-02-10,26,66.419998,67.000000,66.360001,66.940002,60.358631,8584200
2014-02-11,27,69.709999,69.709999,68.209999,68.769997,62.008686,13618000
2014-02-12,28,68.650002,69.099998,68.389999,68.540001,61.801323,5947700
2014-02-13,29,68.199997,69.570000,68.089996,69.480003,62.648911,6027800
2014-02-14,30,69.349998,70.190002,69.120003,69.900002,63.027588,5127000
2014-02-18,31,70.480003,70.550003,70.040001,70.320000,63.406326,6868500
