Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,177.630005,177.630005,171.910004,174.759995,147.222275,823200
2014-01-03,1,174.910004,175.410004,172.649994,173.419998,146.093399,419600
2014-01-06,2,174.000000,174.789993,172.559998,174.179993,146.733688,573000
2014-01-07,3,174.800003,182.020004,173.570007,179.589996,151.291214,1347800
2014-01-08,4,179.679993,180.970001,178.369995,180.289993,151.880859,1091400
2014-01-09,5,180.080002,180.679993,176.009995,177.490005,149.522095,532300
2014-01-10,6,177.940002,179.130005,176.520004,179.009995,150.802582,599600
2014-01-13,7,179.820007,179.940002,174.729996,174.919998,147.357056,931900
2014-01-14,8,175.410004,179.279999,175.110001,178.740005,150.575165,710200
2014-01-15,9,178.570007,181.009995,178.330002,179.529999,151.240631,763000
2014-01-16,10,179.300003,180.970001,178.429993,179.479996,151.198532,735100
2014-01-17,11,178.919998,180.429993,175.009995,175.869995,148.157379,777500
2014-01-21,12,177.529999,179.940002,176.050003,179.289993,151.038437,1021200
2014-01-22,13,179.600006,179.979996,177.330002,178.970001,150.768890,1430800
2014-01-23,14,178.279999,183.000000,177.279999,182.639999,153.860611,2325500
2014-01-24,15,181.139999,187.669998,180.149994,183.880005,154.905197,2153300
2014-01-27,16,184.139999,184.429993,179.360001,181.070007,152.538010,1215400
2014-01-28,17,181.070007,182.820007,179.100006,182.600006,153.826904,736000
2014-01-29,18,182.460007,183.779999,180.020004,182.639999,153.860611,704400
2014-01-30,19,183.320007,185.669998,182.759995,184.339996,155.292725,762800
2014-01-31,20,182.199997,186.500000,181.570007,185.199997,156.017181,766500
2014-02-03,21,185.779999,185.919998,179.050003,179.139999,150.912079,1977500
2014-02-04,22,180.679993,184.539993,178.580002,183.990005,154.997833,1103300
2014-02-05,23,182.919998,183.990005,180.179993,181.009995,152.487442,730600
2014-02-06,24,181.270004,183.600006,180.949997,183.059998,154.214401,712800
2014-02-07,25,184.089996,186.830002,182.360001,186.309998,156.952286,970200
2014-02-10,26,186.240005,190.130005,184.690002,189.929993,160.001862,989900
2014-02-11,27,188.979996,191.699997,188.729996,190.740005,160.684219,770800
2014-02-12,28,190.020004,191.070007,188.699997,190.750000,160.692642,1158800
2014-02-13,29,189.990005,192.690002,188.800003,191.850006,161.619354,569800
2014-02-14,30,191.139999,193.410004,188.889999,193.240005,162.790314,804700
2014-02-18,31,192.119995,194.380005,192.059998,194.020004,163.447418,959400
2014-02-19,32,194.750000,194.800003,190.639999,192.619995,162.268021,1125700
2014-02-20,33,191.690002,196.199997,186.000000,187.949997,158.333878,2197200
2014-02-21,34,189.210007,190.020004,187.789993,189.429993,159.580658,1009800
