Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,27.459999,27.580000,27.160000,27.170000,22.219366,4981900
2014-01-03,1,26.900000,26.969999,26.450001,26.620001,21.769583,10155900
2014-01-06,2,26.610001,26.860001,26.549999,26.790001,21.908604,7416700
2014-01-07,3,26.969999,27.000000,26.690001,26.930000,22.023100,7045500
2014-01-08,4,26.990000,27.090000,26.760000,26.870001,21.974030,5820200
2014-01-09,5,26.879999,27.100000,26.799999,27.030001,22.104876,5646400
2014-01-10,6,27.160000,27.590000,27.100000,27.170000,22.219366,5591900
2014-01-13,7,27.139999,27.180000,26.879999,26.980000,22.063984,4403100
2014-01-14,8,26.990000,27.240000,26.850000,26.889999,21.990385,5425400
2014-01-15,9,26.889999,27.080000,26.719999,26.770000,21.892250,4730800
2014-01-16,10,26.870001,27.440001,26.809999,27.410000,22.415636,5250000
2014-01-17,11,27.480000,27.549999,27.059999,27.200001,22.243900,4560900
2014-01-21,12,27.270000,27.780001,27.240000,27.770000,22.710045,7407300
2014-01-22,13,27.700001,28.170000,27.660000,28.129999,23.004450,7702700
2014-01-23,14,27.980000,28.400000,27.920000,28.320000,23.159828,8749000
2014-01-24,15,28.209999,29.160000,28.200001,28.270000,23.118940,13769700
2014-01-27,16,28.450001,28.450001,28.080000,28.200001,23.061691,8275000
2014-01-28,17,28.389999,28.420000,27.900000,28.100000,22.979912,5937900
2014-01-29,18,28.059999,28.260000,27.950001,28.190001,23.053514,6105400
2014-01-30,19,28.299999,29.080000,28.240000,28.990000,23.707743,9974500
2014-01-31,20,28.799999,29.309999,28.780001,29.000000,23.715927,10412300
2014-02-03,21,29.120001,29.400000,28.700001,28.969999,23.691391,14382800
2014-02-04,22,29.209999,29.250000,28.820000,28.910000,23.642324,9383600
2014-02-05,23,28.770000,29.080000,28.570000,28.860001,23.601433,9930800
2014-02-06,24,28.809999,29.879999,28.809999,29.490000,24.116638,13763200
2014-02-07,25,29.700001,29.700001,29.080000,29.440001,24.075752,8783500
2014-02-10,26,29.350000,29.549999,29.230000,29.400000,24.043041,7130200
2014-02-11,27,29.330000,29.620001,29.139999,29.469999,24.100288,7608300
2014-02-12,28,29.160000,29.170000,28.790001,28.940001,23.918457,5453900
2014-02-13,29,28.879999,29.590000,28.850000,29.400000,24.298643,9758900
2014-02-14,30,29.340000,29.799999,29.260000,29.740000,24.579651,7124200
2014-02-18,31,29.760000,30.180000,29.639999,30.049999,24.835855,8591300
2014-02-19,32,29.959999,30.330000,29.750000,29.959999,24.761471,7017500
2014-02-20,33,29.940001,30.280001,29.730000,30.230000,24.984621,6189200
2014-02-21,34,30.260000,30.709999,30.100000,30.420000,25.141655,8383400
2014-02-24,35,30.420000,30.950001,30.370001,30.389999,25.116861,10331900
2014-02-25,36,30.360001,30.740000,30.190001,30.360001,25.092068,5710400
2014-02-26,37,30.440001,30.650000,30.340000,30.420000,25.141655,3632200
2014-02-27,38,30.360001,30.480000,29.959999,30.170000,24.935034,6059700
2014-02-28,39,30.290001,30.580000,30.250000,30.410000,25.133387,4556400
2014-03-03,40,30.240000,30.340000,30.020000,30.030001,24.819324,3731100
2014-03-04,41,30.270000,30.500000,30.030001,30.400000,25.125128,5405800
2014-03-05,42,30.410000,30.500000,30.190001,30.280001,25.025948,3923200
2014-03-06,43,30.200001,30.389999,29.610001,29.809999,24.637497,7124700
2014-03-07,44,29.680000,29.830000,29.139999,29.820000,24.645763,8027800
2014-03-10,45,29.809999,29.959999,29.600000,29.879999,24.695351,4319100
2014-03-11,46,30.139999,30.139999,29.680000,29.840000,24.662296,3017000
2014-03-12,47,29.750000,30.190001,29.680000,30.180000,24.943300,3311800
2014-03-13,48,30.170000,30.680000,30.150000,30.510000,25.216040,4760400
2014-03-14,49,30.430000,30.870001,30.340000,30.639999,25.323479,5138000
2014-03-17,50,30.730000,31.059999,30.520000,31.020000,25.637541,5664300
2014-03-18,51,31.090000,31.260000,30.910000,31.150000,25.744995,4165300
2014-03-19,52,31.190001,31.530001,30.900000,31.059999,25.670603,8728500
2014-03-20,53,30.930000,31.440001,30.580000,31.370001,25.926813,7417700
2014-03-21,54,32.599998,32.869999,31.930000,32.549999,26.902067,14184900
2014-03-24,55,32.560001,32.970001,32.520000,32.930000,27.216133,9380000
2014-03-25,56,32.910000,33.029999,32.470001,32.930000,27.216133,6480600
2014-03-26,57,32.930000,33.000000,32.060001,32.439999,26.811155,10412000
2014-03-27,58,32.459999,32.910000,32.150002,32.820000,27.125217,6203800
2014-03-28,59,32.759998,33.330002,32.630001,33.290001,27.513668,7200800
2014-03-31,60,33.400002,33.939999,33.320000,33.560001,27.736818,7783300
2014-04-01,61,33.599998,33.669998,33.110001,33.490002,27.678965,4374000
2014-04-02,62,33.500000,33.759998,33.230000,33.509998,27.695494,7751600
2014-04-03,63,33.570000,33.869999,33.400002,33.779999,27.918646,5372900
2014-04-04,64,33.830002,34.880001,33.779999,34.470001,28.488918,12336200
2014-04-07,65,34.450001,35.029999,34.450001,34.689999,28.670742,8272000
2014-04-08,66,34.520000,35.549999,34.340000,35.540001,29.373249,11128600
2014-04-09,67,35.580002,35.750000,34.849998,35.290001,29.166632,10072800
2014-04-10,68,35.349998,35.650002,34.959999,35.090000,29.001333,6041500
2014-04-11,69,35.040001,35.320000,34.990002,35.160000,29.059189,6017700
2014-04-14,70,35.150002,35.330002,35.060001,35.290001,29.166632,7474200
2014-04-15,71,35.439999,36.000000,35.389999,36.000000,29.753443,7257600
2014-04-16,72,35.910000,36.250000,35.770000,36.240002,29.951796,3607100
2014-04-17,73,36.119999,36.320000,35.799999,36.060001,29.803030,6481400
2014-04-21,74,35.990002,36.410000,35.759998,35.939999,29.703848,4115900
2014-04-22,75,35.889999,36.099998,35.650002,35.889999,29.662527,4297300
2014-04-23,76,35.990002,36.439999,35.830002,35.900002,29.670792,4688800
2014-04-24,77,36.040001,36.230000,35.700001,36.009998,29.761707,5935400
2014-04-25,78,36.009998,36.299999,35.900002,36.259998,29.968321,5107100
2014-04-28,79,36.310001,36.599998,36.230000,36.509998,30.174946,4933500
2014-04-29,80,36.439999,36.549999,35.980000,36.180000,29.902205,7561500
2014-04-30,81,34.220001,35.360001,34.220001,35.029999,28.951746,22499100
2014-05-01,82,35.450001,36.200001,35.360001,35.990002,29.745174,14724500
2014-05-02,83,35.980000,36.290001,35.360001,35.840000,29.621204,10116700
2014-05-05,84,35.770000,36.380001,35.669998,36.240002,29.951796,6138200
2014-05-06,85,36.570000,36.590000,35.980000,36.040001,29.786505,8674500
2014-05-07,86,35.980000,36.840000,35.980000,36.759998,30.381559,7082400
2014-05-08,87,36.660000,36.689999,36.150002,36.480000,30.150150,5039600
2014-05-09,88,36.470001,36.720001,36.189999,36.200001,29.918734,6544400
2014-05-12,89,36.250000,36.400002,35.340000,35.400002,29.257549,7377600
2014-05-13,90,35.560001,35.759998,35.369999,35.630001,29.447636,6628900
2014-05-14,91,35.400002,35.490002,34.730000,34.799999,29.014093,8136500
2014-05-15,92,34.820000,34.919998,34.520000,34.549999,28.805656,6663800
2014-05-16,93,34.529999,34.590000,34.259998,34.369999,28.655588,9026600
2014-05-19,94,34.330002,34.509998,33.900002,33.970001,28.322096,7399200
2014-05-20,95,33.930000,34.209999,33.770000,33.889999,28.255390,6647900
2014-05-21,96,33.930000,33.959999,33.500000,33.900002,28.263731,7732400
2014-05-22,97,33.830002,34.369999,33.759998,34.200001,28.513849,5910800
2014-05-23,98,34.070000,34.430000,34.040001,34.150002,28.472164,5391300
2014-05-27,99,34.669998,35.950001,34.660000,35.380001,29.497663,13649700
2014-05-28,100,35.139999,36.080002,35.130001,35.990002,30.006245,11226300
2014-05-29,101,36.090000,36.599998,35.889999,36.060001,30.064610,13233500
2014-05-30,102,36.119999,36.849998,36.060001,36.830002,30.706593,8227400
2014-06-02,103,36.619999,36.720001,36.320000,36.599998,30.514818,5888600
2014-06-03,104,36.630001,37.250000,36.500000,37.189999,31.006733,7579800
2014-06-04,105,37.080002,37.290001,36.900002,37.270000,31.073433,5338800
2014-06-05,106,37.099998,37.560001,37.090000,37.459999,31.231840,11936100
2014-06-06,107,37.509998,37.730000,37.340000,37.410000,31.190151,5092100
2014-06-09,108,37.259998,37.450001,37.029999,37.080002,30.915024,5265900
2014-06-10,109,37.180000,37.400002,37.060001,37.160000,30.981712,4505300
2014-06-11,110,36.090000,36.939999,35.720001,35.750000,29.806147,15362000
2014-06-12,111,35.029999,35.340000,34.810001,35.070000,29.239204,44407700
2014-06-13,112,35.080002,35.840000,34.869999,35.720001,29.781136,16372600
2014-06-16,113,35.919998,36.490002,35.840000,36.110001,30.106304,16125600
2014-06-17,114,36.230000,36.500000,36.150002,36.290001,30.256363,11725700
2014-06-18,115,36.240002,36.919998,36.240002,36.849998,30.723261,9111900
2014-06-19,116,36.939999,37.270000,36.900002,37.169998,30.990055,8169900
2014-06-20,117,37.200001,37.230000,36.639999,36.759998,30.648218,7978100
2014-06-23,118,36.950001,37.070000,35.950001,36.279999,30.248026,7060200
