Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,42.090000,42.150002,41.480000,41.790001,34.678074,491100
2014-01-03,1,41.770000,42.189999,41.549999,42.090000,34.927006,604400
2014-01-06,2,42.080002,42.310001,41.799999,42.270000,35.076374,759200
2014-01-07,3,42.279999,42.490002,41.849998,42.139999,34.968498,620300
2014-01-08,4,42.110001,42.230000,41.660000,41.970001,34.827438,693000
2014-01-09,5,42.139999,42.540001,41.990002,42.490002,35.258942,742100
2014-01-10,6,42.750000,43.580002,42.340000,43.570000,36.155140,955800
2014-01-13,7,43.540001,43.680000,43.200001,43.299999,35.931084,827500
2014-01-14,8,43.400002,43.990002,43.320000,43.970001,36.487064,627400
2014-01-15,9,44.660000,44.810001,44.349998,44.650002,37.051342,1243800
2014-01-16,10,44.540001,44.689999,44.220001,44.380001,36.827290,542800
2014-01-17,11,44.270000,44.369999,43.959999,43.980000,36.495369,732500
2014-01-21,12,44.250000,44.570000,43.840000,44.119999,36.611538,1136400
2014-01-22,13,44.279999,44.459999,43.880001,43.910000,36.437283,381600
2014-01-23,14,43.599998,44.160000,43.509998,44.029999,36.536858,715800
2014-01-24,15,43.660000,43.849998,43.330002,43.599998,36.180035,734300
2014-01-27,16,43.700001,43.980000,43.529999,43.650002,36.221523,758500
2014-01-28,17,43.820000,44.700001,43.820000,44.650002,37.051342,960200
2014-01-29,18,44.439999,44.700001,44.340000,44.639999,37.043045,927800
2014-01-30,19,44.849998,45.419998,44.849998,45.349998,37.632206,787600
2014-01-31,20,44.840000,45.889999,44.740002,45.660000,37.889458,1040200
2014-02-03,21,45.689999,45.830002,44.310001,44.389999,36.835583,1366300
2014-02-04,22,44.430000,45.669998,44.310001,45.380001,37.657112,1662200
2014-02-05,23,45.299999,45.439999,44.980000,45.290001,37.582417,591200
2014-02-06,24,45.369999,45.860001,45.160000,45.590000,37.831379,564100
2014-02-07,25,45.849998,46.060001,45.500000,46.020000,38.188183,742500
2014-02-10,26,46.029999,46.980000,45.910000,46.910000,38.926727,591800
2014-02-11,27,46.790001,47.259998,46.770000,47.130001,39.109295,565200
2014-02-12,28,47.099998,47.240002,46.689999,47.130001,39.109295,728400
2014-02-13,29,46.900002,47.500000,46.779999,47.380001,39.316742,915300
2014-02-14,30,47.340000,47.490002,46.939999,47.200001,39.167370,609400
2014-02-18,31,47.450001,47.529999,46.970001,47.490002,39.408020,476000
2014-02-19,32,47.360001,47.900002,47.360001,47.500000,39.416328,936100
2014-02-20,33,47.529999,47.830002,46.900002,47.450001,39.374832,959400
2014-02-21,34,47.389999,48.389999,46.360001,47.610001,39.507603,1715900
2014-02-24,35,47.259998,47.810001,47.259998,47.549999,39.457813,1106900
2014-02-25,36,47.700001,48.189999,47.410000,47.770000,39.640373,1248700
2014-02-26,37,48.009998,48.459999,47.869999,48.320000,40.096771,1025000
2014-02-27,38,48.349998,48.700001,47.900002,48.020000,39.847839,574700
2014-02-28,39,48.000000,49.230000,48.000000,49.099998,40.744030,1180200
2014-03-03,40,48.759998,48.959999,48.150002,48.730000,40.436989,550800
2014-03-04,41,49.189999,49.639999,49.060001,49.610001,41.167244,642600
2014-03-05,42,49.720001,50.099998,49.389999,49.619999,41.175529,851300
2014-03-06,43,49.750000,49.759998,49.049999,49.150002,40.785530,539700
2014-03-07,44,49.369999,49.380001,48.009998,48.230000,40.022087,1217800
2014-03-10,45,48.250000,48.400002,48.000000,48.259998,40.046982,944500
2014-03-11,46,48.330002,49.270000,48.200001,49.250000,40.868507,1359300
2014-03-12,47,48.779999,49.230000,48.619999,49.220001,41.178047,1179800
2014-03-13,48,49.430000,49.430000,49.009998,49.119999,41.094376,727000
2014-03-14,49,48.990002,49.669998,48.990002,49.259998,41.211514,491300
2014-03-17,50,49.110001,49.320000,48.389999,48.490002,40.567326,614600
