Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,52.630001,53.580002,49.549999,51.160000,50.942326,714300
2014-01-03,1,51.230000,52.299999,48.009998,49.180000,48.970753,1258300
2014-01-06,2,49.000000,49.250000,47.040001,48.570000,48.363350,1434000
2014-01-07,3,48.799999,50.040001,47.919998,48.389999,48.184113,727600
2014-01-08,4,48.389999,48.730000,46.910000,47.610001,47.407429,534800
2014-01-09,5,47.660000,48.070000,44.849998,45.520000,45.326321,1103300
2014-01-10,6,45.430000,47.200001,45.250000,46.970001,46.770157,1066600
2014-01-13,7,46.029999,47.139999,44.049999,44.430000,44.240963,817400
2014-01-14,8,44.549999,47.119999,44.020000,47.009998,46.809978,908300
2014-01-15,9,47.270000,48.759998,47.209999,48.020000,47.815685,925800
2014-01-16,10,48.020000,48.880001,47.250000,48.610001,48.403175,503600
2014-01-17,11,48.900002,49.439999,47.630001,48.509998,48.303596,747300
2014-01-21,12,48.610001,49.580002,47.689999,49.080002,48.871178,717600
2014-01-22,13,49.200001,51.630001,49.000000,51.220001,51.002071,773300
2014-01-23,14,51.110001,51.369999,49.520000,50.439999,50.225388,978600
2014-01-24,15,49.889999,50.400002,48.009998,48.869999,48.662071,836800
2014-01-27,16,48.750000,49.799999,47.259998,47.540001,47.337730,596900
2014-01-28,17,47.730000,50.450001,47.730000,49.799999,49.588108,591900
2014-01-29,18,49.090000,50.360001,48.299999,48.590000,48.383263,764900
2014-01-30,19,49.139999,51.549999,49.139999,51.369999,51.151432,1053200
2014-01-31,20,50.669998,53.320000,50.099998,51.980000,51.758835,827100
2014-02-03,21,51.980000,52.560001,49.540001,50.080002,49.866924,1003600
2014-02-04,22,50.320000,52.619999,50.320000,51.639999,51.420284,429500
2014-02-05,23,51.540001,53.049999,50.400002,52.959999,52.734669,723300
2014-02-06,24,53.099998,55.410000,53.099998,53.770000,53.541225,1109300
2014-02-07,25,57.200001,59.000000,55.009998,56.720001,56.478668,1298000
2014-02-10,26,57.230000,58.650002,56.000000,57.520000,57.275265,914600
2014-02-11,27,57.450001,59.220001,56.070000,58.910000,58.659348,717100
2014-02-12,28,58.970001,59.840000,57.799999,57.970001,57.723351,795400
2014-02-13,29,57.520000,59.320000,56.660000,58.889999,58.639439,842900
2014-02-14,30,58.970001,59.830002,58.000000,59.650002,59.396206,876300
2014-02-18,31,59.669998,61.869999,58.439999,61.020000,60.760376,1333600
2014-02-19,32,61.490002,62.540001,60.400002,61.040001,60.780293,764900
2014-02-20,33,60.900002,62.889999,60.230000,62.669998,62.403355,1073300
2014-02-21,34,63.980000,64.419998,62.930000,63.990002,63.717739,3257700
2014-02-24,35,64.339996,68.000000,64.309998,64.800003,64.524300,1941000
2014-02-25,36,65.580002,65.580002,62.830002,63.740002,63.468803,1470100
2014-02-26,37,63.900002,65.120003,61.910000,64.540001,64.265404,884300
2014-02-27,38,64.440002,65.349998,63.619999,63.889999,63.618160,742900
2014-02-28,39,64.139999,64.709999,63.680000,64.330002,64.056290,1029700
