Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,142.899994,144.389999,139.570007,139.770004,133.937531,3360000
2014-01-03,1,140.330002,141.149994,139.910004,140.050003,134.205841,2779600
2014-01-06,2,142.699997,143.000000,138.259995,138.720001,132.931320,2995000
2014-01-07,3,139.339996,140.979996,138.990005,140.639999,134.771240,1702000
2014-01-08,4,141.039993,141.380005,139.990005,140.369995,134.512466,1632800
2014-01-09,5,140.509995,141.770004,139.949997,141.509995,135.604889,1451600
2014-01-10,6,141.199997,142.740005,140.410004,142.630005,136.678192,1714700
2014-01-13,7,141.350006,142.750000,140.240005,140.490005,134.627487,1565200
2014-01-14,8,140.949997,142.830002,139.729996,142.699997,136.745255,2344500
2014-01-15,9,142.779999,143.139999,141.940002,142.550003,136.601532,2692200
2014-01-16,10,141.919998,142.500000,140.949997,141.809998,135.892410,1928100
2014-01-17,11,140.610001,141.869995,140.089996,140.509995,134.646637,2293000
2014-01-21,12,141.710007,142.619995,140.800003,142.149994,136.218201,2509000
2014-01-22,13,142.750000,142.839996,141.630005,142.300003,136.361938,1337100
2014-01-23,14,141.610001,141.990005,139.350006,140.240005,134.387909,1836300
2014-01-24,15,139.160004,139.389999,134.570007,134.580002,128.964127,3089300
2014-01-27,16,134.690002,135.779999,131.080002,131.949997,126.443832,4738700
2014-01-28,17,131.990005,134.639999,131.990005,134.339996,128.734085,3169700
2014-01-29,18,132.830002,134.000000,131.550003,131.850006,126.347984,2647600
2014-01-30,19,133.089996,134.830002,133.059998,133.770004,128.187912,1935900
2014-01-31,20,131.850006,134.960007,131.789993,133.320007,127.756721,1588500
2014-02-03,21,132.929993,135.059998,129.029999,129.440002,124.038567,3184000
2014-02-04,22,129.479996,130.929993,128.169998,130.419998,124.977692,2387000
2014-02-05,23,129.850006,130.919998,129.190002,129.970001,124.546463,2009200
2014-02-06,24,130.139999,131.860001,130.059998,130.839996,125.380142,1908400
2014-02-07,25,131.919998,133.070007,130.869995,131.759995,126.261772,2390500
2014-02-10,26,131.369995,132.059998,129.339996,129.880005,124.460213,3602500
2014-02-11,27,130.410004,133.779999,130.130005,133.149994,127.593742,3256000
2014-02-12,28,133.160004,133.809998,131.750000,133.000000,127.449997,1895700
2014-02-13,29,131.919998,133.339996,131.000000,133.070007,127.517090,1780700
2014-02-14,30,132.979996,134.550003,132.869995,133.919998,128.331619,1436200
2014-02-18,31,134.320007,134.770004,132.330002,132.789993,127.248802,2360500
2014-02-19,32,132.339996,133.509995,131.009995,131.350006,125.868858,2780900
2014-02-20,33,131.690002,133.509995,131.059998,132.990005,127.440460,1787000
2014-02-21,34,133.179993,135.210007,133.110001,134.899994,129.270706,1969400
2014-02-24,35,135.089996,136.979996,134.500000,134.869995,129.241959,2243200
2014-02-25,36,134.850006,134.869995,132.320007,132.839996,127.296707,2588900
2014-02-26,37,132.630005,133.970001,131.949997,132.369995,126.846313,1588100
2014-02-27,38,132.039993,133.839996,131.949997,133.550003,127.977058,1736100
2014-02-28,39,133.190002,134.429993,132.339996,133.330002,127.766228,1904700
2014-03-03,40,132.050003,134.289993,132.050003,133.380005,127.814148,1614300
2014-03-04,41,134.839996,137.649994,134.740005,137.089996,131.369308,2250100
2014-03-05,42,137.240005,137.600006,136.509995,136.910004,131.196854,1292200
2014-03-06,43,137.250000,137.639999,136.190002,137.289993,131.561005,1581300
2014-03-07,44,137.919998,138.600006,136.960007,137.429993,131.839203,1353800
2014-03-10,45,137.029999,138.389999,136.809998,137.860001,132.251724,1720700
2014-03-11,46,137.740005,138.070007,136.710007,137.289993,131.704880,1483500
2014-03-12,47,136.800003,138.139999,136.000000,137.789993,132.184601,1275600
2014-03-13,48,138.360001,139.289993,135.880005,136.679993,131.119720,2286000
2014-03-14,49,136.380005,137.750000,136.020004,136.759995,131.196411,2629200
2014-03-17,50,137.710007,138.610001,137.110001,137.580002,131.983109,3855000
2014-03-18,51,137.589996,139.190002,137.350006,138.570007,132.932846,2578900
2014-03-19,52,138.110001,141.169998,137.139999,138.380005,132.750519,3110400
2014-03-20,53,137.029999,137.729996,135.240005,136.500000,130.947021,3377700
2014-03-21,54,137.509995,138.000000,136.020004,136.789993,131.225235,5017900
2014-03-24,55,137.149994,137.199997,134.869995,134.949997,129.460083,3206900
2014-03-25,56,134.880005,135.679993,132.520004,134.160004,128.702209,4336800
2014-03-26,57,134.479996,135.309998,132.089996,132.119995,126.745193,2870700
2014-03-27,58,132.000000,132.639999,131.300003,132.110001,126.735657,3042800
2014-03-28,59,132.440002,133.399994,132.009995,132.009995,126.639709,5019100
2014-03-31,60,132.520004,133.240005,131.869995,132.559998,127.167267,4368000
2014-04-01,61,133.000000,134.110001,132.779999,134.110001,128.654266,2513800
2014-04-02,62,134.100006,135.199997,133.940002,134.759995,129.277802,1747800
2014-04-03,63,134.699997,136.119995,134.699997,135.300003,129.795868,1987600
2014-04-04,64,135.789993,136.600006,133.860001,134.350006,128.884491,1586500
2014-04-07,65,134.360001,135.009995,132.669998,132.979996,127.570236,2007500
2014-04-08,66,133.039993,133.399994,131.809998,132.910004,127.503067,2016100
2014-04-09,67,133.309998,134.490005,132.949997,134.000000,128.548706,1640400
2014-04-10,68,134.080002,134.309998,131.860001,132.059998,126.687630,2528300
2014-04-11,69,130.970001,132.759995,130.679993,131.229996,125.891418,1927200
2014-04-14,70,132.110001,132.860001,131.160004,132.000000,126.630081,2115200
2014-04-15,71,132.330002,132.990005,130.639999,132.169998,126.793190,2518400
2014-04-16,72,132.550003,134.039993,132.009995,133.750000,128.308899,2696500
2014-04-17,73,133.619995,135.970001,133.619995,135.550003,130.035706,2152300
2014-04-21,74,135.610001,136.779999,135.259995,136.270004,130.726395,2755300
2014-04-22,75,136.539993,137.770004,136.520004,137.029999,131.455490,2173900
2014-04-23,76,137.000000,137.149994,135.929993,136.330002,130.783920,1793300
2014-04-24,77,136.399994,137.089996,135.619995,136.080002,130.544128,1926700
2014-04-25,78,136.020004,136.039993,133.949997,134.210007,128.750198,1118500
2014-04-28,79,134.389999,136.020004,133.520004,134.529999,129.057175,1812300
2014-04-29,80,134.809998,135.720001,133.899994,135.470001,129.958923,1161200
2014-04-30,81,135.550003,136.809998,134.850006,136.250000,130.707184,1810000
2014-05-01,82,136.360001,137.000000,135.389999,136.240005,130.697586,813000
2014-05-02,83,136.110001,137.729996,136.110001,136.949997,131.378708,966700
2014-05-05,84,136.070007,136.460007,135.009995,135.850006,130.323486,959100
2014-05-06,85,135.289993,136.990005,135.050003,135.490005,129.978119,1411000
2014-05-07,86,136.210007,138.669998,136.009995,138.539993,132.904037,1874300
2014-05-08,87,135.809998,137.660004,135.800003,136.699997,131.138870,2394900
2014-05-09,88,136.000000,137.889999,135.210007,137.520004,131.925522,2138500
2014-05-12,89,138.029999,140.339996,137.919998,140.149994,134.448547,1726700
2014-05-13,90,140.289993,140.839996,139.889999,140.139999,134.438980,1085700
2014-05-14,91,140.000000,140.000000,138.910004,139.330002,133.661911,1682000
2014-05-15,92,139.279999,139.339996,137.550003,138.679993,133.038361,1260700
2014-05-16,93,138.820007,139.770004,137.910004,138.229996,132.606674,2067000
2014-05-19,94,138.100006,139.220001,137.839996,139.000000,133.345337,3897200
2014-05-20,95,139.080002,139.470001,136.970001,137.460007,131.867981,1968400
