Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,41.360001,41.520000,40.590000,40.779999,36.556789,1559200
2014-01-03,1,40.590000,41.450001,40.590000,41.250000,36.978115,1567500
2014-01-06,2,41.310001,41.730000,41.180000,41.250000,36.978115,1444400
2014-01-07,3,41.340000,41.619999,41.090000,41.250000,36.978115,1597500
2014-01-08,4,41.169998,41.240002,40.570000,41.110001,36.852615,1576200
2014-01-09,5,41.410000,41.410000,40.740002,41.049999,36.798820,1543800
2014-01-10,6,41.080002,41.340000,40.680000,41.259998,36.987083,1536700
2014-01-13,7,41.209999,41.209999,40.400002,40.619999,36.413372,1505500
2014-01-14,8,40.630001,41.150002,40.419998,40.860001,36.628502,1341400
2014-01-15,9,40.860001,40.980000,40.130001,40.180000,36.196095,1618500
2014-01-16,10,40.279999,40.279999,39.360001,39.490002,35.574520,1772100
2014-01-17,11,39.660000,39.660000,38.790001,38.889999,35.034008,2266500
2014-01-21,12,38.930000,39.270000,38.169998,38.709999,34.871853,2974700
2014-01-22,13,38.810001,39.009998,38.490002,38.590000,34.763756,1705800
2014-01-23,14,38.480000,38.480000,37.910000,38.209999,34.421425,1326500
2014-01-24,15,37.959999,37.980000,37.459999,37.470001,33.754799,1867000
2014-01-27,16,38.099998,38.830002,38.000000,38.009998,34.241264,2477700
2014-01-28,17,38.080002,38.730000,37.840000,38.180000,34.394405,2046300
2014-01-29,18,37.919998,38.330002,37.590000,37.630001,33.898937,1714700
2014-01-30,19,37.990002,38.869999,37.889999,38.759998,34.916885,1836500
2014-01-31,20,38.320000,38.910000,38.070000,38.599998,34.772751,1334900
2014-02-03,21,38.470001,38.560001,36.650002,36.730000,33.088169,2570100
2014-02-04,22,37.000000,37.630001,36.650002,37.540001,33.817863,2518400
2014-02-05,23,37.430000,38.119999,37.250000,37.950001,34.187214,1537200
2014-02-06,24,38.020000,38.910000,37.849998,38.349998,34.547554,1042400
2014-02-07,25,38.660000,39.209999,38.389999,38.669998,34.835815,866900
