Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,69.190002,69.250000,68.419998,68.559998,59.461922,1022500
2014-01-03,1,68.629997,69.239998,68.489998,68.910004,59.765491,656400
2014-01-06,2,69.279999,69.750000,68.449997,68.629997,59.522633,650600
2014-01-07,3,68.779999,69.230003,68.699997,69.019997,59.860874,482100
2014-01-08,4,69.019997,69.860001,68.970001,69.849998,60.580746,758700
2014-01-09,5,69.849998,70.040001,68.809998,69.190002,60.008331,842900
2014-01-10,6,69.379997,69.629997,69.110001,69.620003,60.381264,611800
2014-01-13,7,69.070000,69.070000,67.010002,67.190002,58.273727,1548900
2014-01-14,8,67.500000,68.050003,67.320000,68.000000,58.976246,1969900
2014-01-15,9,68.190002,68.730003,67.930000,68.650002,59.539974,1015300
2014-01-16,10,68.599998,68.739998,67.989998,68.099998,59.062969,849500
2014-01-17,11,68.180000,68.440002,67.519997,67.580002,58.611973,989500
2014-01-21,12,67.860001,68.419998,67.320000,67.510002,58.551266,1034700
2014-01-22,13,67.430000,67.639999,66.480003,66.870003,57.996185,1809900
2014-01-23,14,66.599998,66.599998,65.699997,65.889999,57.146252,1657800
2014-01-24,15,65.290001,65.660004,63.880001,64.019997,55.524387,1488700
2014-01-27,16,64.269997,65.019997,63.270000,64.220001,55.697853,1637100
2014-01-28,17,64.430000,65.230003,64.209999,64.910004,56.296291,1022100
2014-01-29,18,64.099998,65.050003,63.740002,64.040001,55.541737,2142200
2014-01-30,19,66.309998,66.690002,62.209999,63.189999,54.804546,2822000
2014-01-31,20,62.340000,62.650002,61.570000,61.689999,53.503590,2548400
2014-02-03,21,61.810001,62.020000,60.549999,61.230000,53.104637,2374000
2014-02-04,22,61.439999,62.470001,61.169998,62.330002,54.058662,2030000
2014-02-05,23,61.869999,62.490002,61.270000,62.150002,53.902546,1473200
2014-02-06,24,62.700001,64.800003,62.700001,64.519997,55.958035,2247700
2014-02-07,25,64.720001,65.139999,64.220001,64.980003,56.357006,1238700
2014-02-10,26,64.989998,65.309998,64.150002,64.589996,56.018749,993400
2014-02-11,27,64.709999,64.930000,64.129997,64.690002,56.105492,1037900
2014-02-12,28,64.669998,65.620003,64.620003,65.169998,56.521786,1910600
2014-02-13,29,64.809998,64.970001,64.330002,64.760002,56.166191,1115300
2014-02-14,30,64.639999,65.000000,64.209999,64.980003,56.597343,1011800
2014-02-18,31,64.610001,64.699997,63.349998,63.759998,55.534721,1415900
2014-02-19,32,63.650002,64.139999,63.049999,63.099998,54.959866,954200
2014-02-20,33,63.189999,64.370003,62.740002,64.309998,56.013767,1544500
2014-02-21,34,64.150002,64.779999,64.070000,64.320000,56.022476,1137100
