Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,77.169998,77.290001,76.260002,76.599998,72.719666,538600
2014-01-03,1,76.870003,77.430000,76.599998,77.290001,73.374718,526800
2014-01-06,2,77.669998,77.930000,76.459999,76.620003,72.738670,634100
2014-01-07,3,77.190002,77.720001,76.809998,77.300003,73.384232,448200
2014-01-08,4,77.279999,77.500000,76.570000,77.150002,73.241806,481800
2014-01-09,5,77.129997,77.500000,76.730003,77.480003,73.555092,1069600
2014-01-10,6,77.830002,79.260002,77.570000,79.230003,75.216454,875700
2014-01-13,7,79.169998,79.269997,77.699997,77.800003,73.858894,753100
2014-01-14,8,78.150002,78.750000,78.010002,78.400002,74.428490,626000
2014-01-15,9,78.419998,79.510002,78.199997,79.180000,75.168976,532500
2014-01-16,10,78.980003,79.000000,78.209999,78.510002,74.532921,459100
2014-01-17,11,77.449997,77.790001,76.949997,77.589996,73.659523,875600
2014-01-21,12,79.089996,79.570000,78.459999,79.059998,75.055061,1318600
2014-01-22,13,79.889999,79.889999,78.680000,79.290001,75.273415,896200
2014-01-23,14,78.110001,79.169998,77.599998,78.489998,74.513939,1099500
2014-01-24,15,78.250000,78.400002,76.300003,76.300003,72.434891,891700
2014-01-27,16,76.419998,76.440002,74.559998,74.750000,70.963379,1090800
2014-01-28,17,74.470001,75.879997,74.099998,74.730003,70.944405,693200
2014-01-29,18,74.250000,74.919998,73.669998,74.279999,70.517189,1024300
2014-01-30,19,74.949997,75.989998,74.510002,75.510002,71.684883,552500
2014-01-31,20,74.660004,75.580002,74.250000,75.050003,71.248192,537800
2014-02-03,21,75.260002,75.599998,72.279999,72.400002,68.732445,1102800
2014-02-04,22,72.739998,73.269997,72.120003,73.089996,69.387474,755600
2014-02-05,23,72.750000,73.690002,72.389999,73.480003,69.757736,965200
2014-02-06,24,73.610001,74.589996,73.190002,74.129997,70.374794,555700
2014-02-07,25,74.129997,74.570000,73.629997,73.919998,70.175423,582200
2014-02-10,26,72.919998,73.650002,72.879997,73.220001,69.510887,698700
2014-02-11,27,72.930000,73.730003,72.559998,73.239998,69.720322,745000
2014-02-12,28,73.290001,73.580002,72.269997,73.250000,69.729836,1049800
2014-02-13,29,72.820000,73.639999,72.680000,73.430000,69.901184,551400
2014-02-14,30,73.209999,73.610001,72.709999,72.779999,69.282433,853900
2014-02-18,31,72.660004,73.110001,71.980003,72.309998,68.835030,958400
2014-02-19,32,73.570000,73.570000,71.360001,71.419998,67.987778,717900
2014-02-20,33,71.500000,71.849998,70.730003,71.650002,68.206749,624600
2014-02-21,34,71.629997,72.449997,71.540001,72.000000,68.539902,737400
2014-02-24,35,72.000000,72.680000,71.650002,71.650002,68.206749,591800
2014-02-25,36,71.779999,72.080002,70.970001,71.830002,68.378098,633100
2014-02-26,37,72.150002,72.389999,71.050003,71.110001,67.692688,1202200
2014-02-27,38,71.129997,71.449997,70.790001,71.129997,67.711723,948300
2014-02-28,39,71.019997,72.510002,71.010002,71.870003,68.416168,1218700
2014-03-03,40,71.320000,71.559998,70.879997,71.160004,67.740273,822600
2014-03-04,41,72.010002,72.790001,71.889999,72.300003,68.825493,794700
2014-03-05,42,72.489998,72.849998,72.169998,72.709999,69.215805,869500
2014-03-06,43,72.570000,73.870003,72.370003,73.839996,70.291481,691300
2014-03-07,44,74.190002,74.809998,73.889999,74.389999,70.815063,919600
2014-03-10,45,74.040001,74.790001,73.879997,74.180000,70.615166,1066700
2014-03-11,46,74.160004,74.379997,73.010002,73.080002,69.568016,735400
2014-03-12,47,72.779999,73.209999,72.519997,72.750000,69.253868,611900
2014-03-13,48,72.839996,73.269997,71.550003,71.900002,68.444725,703900
2014-03-14,49,71.809998,72.360001,71.349998,71.449997,68.016350,886900
2014-03-17,50,71.959999,72.410004,71.290001,71.500000,68.063957,631500
2014-03-18,51,71.519997,71.860001,70.940002,70.980003,67.568947,1090200
2014-03-19,52,70.739998,71.400002,70.639999,70.989998,67.578438,874500
2014-03-20,53,70.690002,70.820000,69.940002,70.199997,66.826416,1347700
2014-03-21,54,70.330002,71.169998,70.029999,70.110001,66.740730,1393500
2014-03-24,55,70.220001,70.519997,69.500000,69.970001,66.607468,1318200
2014-03-25,56,70.430000,70.870003,69.330002,69.800003,66.445641,1574100
2014-03-26,57,69.870003,70.779999,69.559998,69.750000,66.398041,1429700
2014-03-27,58,69.529999,70.080002,69.510002,69.970001,66.607468,779000
2014-03-28,59,69.889999,70.519997,69.849998,69.970001,66.607468,789200
2014-03-31,60,70.290001,72.010002,70.260002,71.919998,68.463753,1863300
2014-04-01,61,72.099998,73.050003,72.000000,73.029999,69.520393,1357500
2014-04-02,62,72.790001,74.199997,72.720001,74.180000,70.615166,1402900
2014-04-03,63,73.699997,74.129997,73.550003,73.800003,70.253418,907600
2014-04-04,64,74.050003,74.250000,73.269997,73.349998,69.825043,1068300
2014-04-07,65,72.940002,73.330002,71.940002,72.040001,68.577988,1521500
2014-04-08,66,71.820000,72.339996,71.760002,72.300003,68.825493,983600
2014-04-09,67,72.529999,72.870003,72.059998,72.820000,69.320503,895400
2014-04-10,68,72.839996,73.070000,71.760002,71.959999,68.501846,1179300
2014-04-11,69,71.750000,72.379997,71.449997,71.510002,68.073456,1435900
