Date,index,Open,High,Low,Close,Adj Close,Volume
2018-01-11,0,null,null,null,null,null,null
2018-01-12,1,null,null,null,null,null,null
2018-01-16,2,28.080000,28.170000,27.450001,27.549999,26.842800,1322300
2018-01-17,3,27.700001,27.889999,27.420000,27.820000,27.105869,1143100
2018-01-18,4,27.770000,27.799999,27.440001,27.629999,26.920748,958800
2018-01-19,5,27.780001,28.110001,27.740000,28.010000,27.290993,1236700
2018-01-22,6,27.799999,28.010000,27.670000,27.910000,27.193562,1102000
2018-01-23,7,27.889999,27.950001,27.610001,27.639999,26.930489,1199600
2018-01-24,8,27.870001,27.920000,27.540001,27.540001,26.833057,1380100
2018-01-25,9,27.629999,27.660000,27.340000,27.430000,26.725882,755100
2018-01-26,10,27.549999,27.650000,27.360001,27.629999,26.920748,1026700
2018-01-29,11,27.510000,27.700001,27.170000,27.180000,26.482298,986100
2018-01-30,12,27.049999,27.209999,26.950001,27.090000,26.394609,1237700
2018-01-31,13,27.100000,27.240000,26.930000,27.070000,26.375124,1395600
2018-02-01,14,27.030001,27.110001,26.780001,27.030001,26.336151,1287100
2018-02-02,15,26.920000,27.020000,26.219999,26.290001,25.615145,1645300
2018-02-05,16,26.000000,26.309999,24.760000,24.770000,24.134163,2441000
2018-02-06,17,24.219999,25.070000,23.900000,24.730000,24.095192,4662400
2018-02-07,18,24.580000,25.420000,24.580000,25.010000,24.368004,2243100
2018-02-08,19,25.010000,25.010000,23.860001,23.860001,23.247524,2288200
2018-02-09,20,24.180000,24.450001,23.459999,24.250000,23.627510,2004400
2018-02-12,21,24.450001,25.100000,24.350000,24.840000,24.202366,2251800
2018-02-13,22,24.620001,24.780001,24.549999,24.600000,23.968527,1478100
2018-02-14,23,24.410000,25.230000,24.400000,25.219999,24.572611,1302400
2018-02-15,24,25.299999,25.400000,24.730000,24.930000,24.290056,1859600
2018-02-16,25,24.830000,25.150000,24.820000,24.969999,24.329029,2044100
2018-02-20,26,24.920000,25.299999,24.910000,25.100000,24.455690,1657700
2018-02-21,27,25.049999,25.420000,24.959999,24.980000,24.338772,1473200
2018-02-22,28,25.100000,25.110001,24.440001,24.480000,23.851604,1413900
2018-02-23,29,24.580000,25.000000,24.459999,24.969999,24.329029,1747600
2018-02-26,30,25.090000,25.230000,24.860001,25.020000,24.377745,1164700
2018-02-27,31,25.139999,25.450001,24.549999,24.559999,23.929550,1343900
2018-02-28,32,24.680000,24.719999,23.980000,23.990000,23.374184,2193000
2018-03-01,33,23.930000,24.260000,23.559999,23.639999,23.033165,2122800
2018-03-02,34,23.450001,23.870001,23.129999,23.809999,23.198805,1601600
2018-03-05,35,23.610001,24.129999,23.459999,23.920000,23.305981,1704600
2018-03-06,36,24.090000,24.200001,23.770000,24.070000,23.452131,2705800
2018-03-07,37,23.820000,24.040001,23.670000,24.000000,23.383928,1599200
2018-03-08,38,24.040001,24.100000,23.629999,23.980000,23.364441,2424300
2018-03-09,39,24.219999,24.719999,24.129999,24.500000,23.871094,1694500
2018-03-12,40,24.469999,24.610001,24.410000,24.500000,23.871094,1797300
2018-03-13,41,24.650000,24.650000,24.230000,24.299999,23.676226,2063600
2018-03-14,42,24.389999,24.520000,24.190001,24.299999,23.676226,2750600
2018-03-15,43,24.400000,24.580000,24.280001,24.410000,23.783403,3203700
2018-03-16,44,24.410000,24.719999,24.350000,24.650000,24.116039,3007500
2018-03-19,45,24.600000,24.629999,23.760000,24.000000,23.480120,2743500
2018-03-20,46,24.090000,24.100000,23.190001,23.190001,22.687666,2791000
2018-03-21,47,23.160000,23.389999,23.080000,23.160000,22.658314,2202500
2018-03-22,48,22.930000,23.139999,22.350000,22.360001,21.875647,2150000
2018-03-23,49,22.420000,22.510000,21.719999,21.850000,21.376692,2876100
2018-03-26,50,22.209999,22.520000,22.080000,22.480000,21.993046,2028900
2018-03-27,51,22.549999,22.610001,22.030001,22.150000,21.670191,2724900
2018-03-28,52,22.150000,22.500000,22.080000,22.450001,21.963697,2469600
2018-03-29,53,22.620001,22.920000,22.559999,22.730000,22.237629,2260500
2018-04-02,54,22.580000,22.719999,21.790001,22.100000,21.621279,2232400
2018-04-03,55,22.260000,22.340000,21.959999,22.280001,21.797379,1984800
2018-04-04,56,21.879999,22.330000,21.879999,22.250000,21.768026,3841000
2018-04-05,57,22.370001,22.650000,22.260000,22.480000,21.993046,2717500
2018-04-06,58,22.290001,22.350000,21.610001,21.770000,21.298424,3098300
2018-04-09,59,23.600000,24.750000,23.260000,24.290001,23.763838,7752600
2018-04-10,60,24.450001,24.870001,24.370001,24.379999,23.851887,4875200
2018-04-11,61,24.139999,24.370001,24.040001,24.309999,23.783401,2995300
2018-04-12,62,24.370001,24.620001,24.340000,24.360001,23.832321,5342100
2018-04-13,63,24.500000,24.620001,24.250000,24.299999,23.773619,3280400
2018-04-16,64,24.480000,24.740000,24.360001,24.629999,24.096472,3120700
2018-04-17,65,24.790001,24.820000,24.440001,24.530001,23.998638,3624400
2018-04-18,66,24.559999,24.559999,24.139999,24.320000,23.793188,3322600
2018-04-19,67,24.350000,24.629999,24.110001,24.110001,23.587738,2767100
2018-04-20,68,24.250000,24.370001,24.010000,24.020000,23.499683,3490200
2018-04-23,69,24.150000,24.500000,24.100000,24.420000,23.891022,3006500
2018-04-24,70,24.469999,24.650000,24.129999,24.240000,23.714922,3362300
2018-04-25,71,24.200001,24.700001,24.030001,24.459999,23.930155,2628600
2018-04-26,72,24.450001,24.580000,24.170000,24.309999,23.783401,2876500
2018-04-27,73,24.209999,24.510000,23.790001,24.040001,23.519253,2532600
2018-04-30,74,24.160000,24.270000,24.040001,24.040001,23.519253,2206300
2018-05-01,75,23.990000,24.110001,23.639999,24.059999,23.538820,3557500
2018-05-02,76,24.049999,24.370001,23.969999,24.280001,23.754053,4296600
2018-05-03,77,24.129999,24.320000,23.770000,23.990000,23.470335,7235100
2018-05-04,78,23.910000,24.520000,23.740000,24.450001,23.920372,3290100
2018-05-07,79,24.440001,24.770000,24.160000,24.639999,24.106255,2858900
2018-05-08,80,24.620001,24.770000,24.420000,24.440001,23.910589,4993100
2018-05-09,81,24.490000,24.719999,24.350000,24.639999,24.106255,2537600
2018-05-10,82,24.629999,24.889999,24.549999,24.790001,24.253008,2901800
2018-05-11,83,24.730000,24.910000,24.530001,24.559999,24.027987,2719900
2018-05-14,84,24.610001,24.820000,24.490000,24.570000,24.037771,2880600
2018-05-15,85,24.450001,24.570000,23.740000,23.790001,23.274668,3813400
2018-05-16,86,23.750000,23.790001,23.299999,23.500000,22.990950,3085700
2018-05-17,87,23.490000,23.629999,23.440001,23.440001,22.932251,1841000
2018-05-18,88,23.490000,23.490000,23.100000,23.100000,22.599617,1667800
2018-05-21,89,23.219999,23.389999,23.180000,23.230000,22.726797,1698400
2018-05-22,90,23.250000,23.639999,23.250000,23.510000,23.000732,2341300
2018-05-23,91,23.410000,23.490000,23.270000,23.469999,22.961599,1820600
2018-05-24,92,23.350000,23.639999,23.010000,23.080000,22.580048,1175300
2018-05-25,93,23.000000,23.270000,23.000000,23.240000,22.736582,1389100
2018-05-29,94,22.920000,22.959999,22.049999,22.190001,21.709328,2194600
2018-05-30,95,22.420000,22.469999,22.200001,22.209999,21.728893,1739900
2018-05-31,96,22.230000,22.389999,21.860001,21.879999,21.406042,3281700
2018-06-01,97,22.160000,22.160000,21.980000,22.080000,21.601709,1590600
2018-06-04,98,22.170000,22.240000,21.870001,21.940001,21.464743,1531800
2018-06-05,99,21.930000,22.000000,21.629999,21.950001,21.474527,1397500
2018-06-06,100,21.950001,22.870001,21.950001,22.799999,22.306110,2771700
2018-06-07,101,22.930000,23.209999,22.780001,23.000000,22.501783,2047500
2018-06-08,102,23.000000,23.110001,22.799999,23.070000,22.570263,1730800
2018-06-11,103,23.110001,23.260000,23.020000,23.100000,22.599617,1455900
2018-06-12,104,23.230000,23.299999,22.930000,23.120001,22.619183,1637500
2018-06-13,105,23.110001,23.120001,22.510000,22.559999,22.071312,1885300
