Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,138.050003,139.000000,137.610001,138.130005,120.967369,3052100
2014-01-03,1,138.369995,138.880005,138.029999,138.449997,121.247650,2133300
2014-01-06,2,138.750000,139.289993,137.479996,137.630005,120.529526,2712100
2014-01-07,3,137.449997,138.199997,137.130005,137.649994,120.547012,2525500
2014-01-08,4,137.479996,137.750000,136.339996,136.630005,119.653763,3122700
2014-01-09,5,137.020004,137.429993,136.199997,136.449997,119.496124,2539900
2014-01-10,6,136.949997,137.190002,135.679993,136.179993,119.259689,3254300
2014-01-13,7,135.809998,137.059998,134.570007,134.679993,117.946053,2633400
2014-01-14,8,135.110001,137.410004,134.740005,137.410004,120.336853,2479700
2014-01-15,9,137.770004,138.820007,137.559998,138.440002,121.238869,3025900
2014-01-16,10,137.740005,138.500000,137.630005,138.160004,120.993675,1792700
2014-01-17,11,137.979996,138.750000,136.979996,137.309998,120.249290,2327900
2014-01-21,12,138.449997,138.949997,136.300003,136.990005,119.969070,2705700
2014-01-22,13,137.350006,137.490005,136.330002,136.479996,119.522408,2118800
2014-01-23,14,135.639999,135.660004,133.949997,134.710007,117.972359,2720300
2014-01-24,15,133.729996,133.729996,130.220001,130.220001,114.040192,3776100
2014-01-27,16,130.020004,130.589996,128.660004,128.960007,112.936760,3312800
2014-01-28,17,129.429993,130.009995,129.100006,129.809998,113.681137,2734200
2014-01-29,18,130.100006,131.270004,129.000000,130.250000,114.066467,3584000
2014-01-30,19,129.960007,129.960007,126.529999,128.050003,112.139809,4102600
2014-01-31,20,126.599998,129.199997,126.419998,128.190002,112.262444,3715400
2014-02-03,21,128.220001,128.589996,123.610001,123.900002,108.505470,4245100
2014-02-04,22,126.089996,127.639999,124.120003,126.720001,110.975075,7412500
2014-02-05,23,128.009995,128.759995,125.919998,127.360001,111.535576,4960000
2014-02-06,24,127.599998,129.199997,127.099998,128.899994,112.884193,3828400
2014-02-07,25,129.570007,130.389999,128.809998,130.330002,114.136543,3263200
2014-02-10,26,129.649994,130.410004,129.020004,129.699997,113.584816,3317400
2014-02-11,27,129.699997,131.490005,129.649994,130.979996,114.705780,2604000
2014-02-12,28,130.339996,131.000000,130.009995,130.440002,114.983459,2100600
2014-02-13,29,129.289993,130.380005,128.660004,130.139999,114.719002,2850600
2014-02-14,30,129.770004,132.190002,129.500000,132.119995,116.464371,3030000
2014-02-18,31,132.309998,132.750000,131.639999,131.800003,116.182289,2876500
2014-02-19,32,131.330002,132.710007,130.460007,130.559998,115.089226,2719400
2014-02-20,33,130.649994,132.029999,130.050003,131.559998,115.970726,2155800
2014-02-21,34,131.559998,132.330002,131.300003,131.570007,115.979576,2574300
2014-02-24,35,131.889999,133.460007,131.440002,132.199997,116.534927,2454300
2014-02-25,36,132.270004,133.429993,131.860001,132.929993,117.178398,2863100
2014-02-26,37,133.130005,133.460007,132.279999,132.860001,117.116684,2771100
2014-02-27,38,132.630005,134.580002,132.000000,134.339996,118.421303,3124000
2014-02-28,39,134.190002,135.199997,133.919998,134.729996,118.765106,3179400
2014-03-03,40,133.070007,133.809998,131.669998,132.210007,116.543716,2814400
2014-03-04,41,131.919998,133.080002,131.580002,132.679993,116.958023,6975500
2014-03-05,42,132.660004,134.029999,132.190002,133.850006,117.989395,3551400
2014-03-06,43,134.369995,134.740005,134.020004,134.080002,118.192154,2236800
2014-03-07,44,134.880005,135.000000,133.710007,134.110001,118.218597,2381400
2014-03-10,45,133.979996,134.080002,133.100006,133.559998,117.733742,1966100
2014-03-11,46,133.729996,133.839996,132.229996,132.509995,116.808144,1928900
2014-03-12,47,132.070007,132.759995,131.589996,132.570007,116.861046,2637000
2014-03-13,48,133.190002,133.669998,130.639999,130.809998,115.309616,2520700
2014-03-14,49,130.080002,131.110001,129.699997,129.830002,114.445724,2975100
2014-03-17,50,130.660004,132.690002,130.660004,132.270004,116.596603,2529400
2014-03-18,51,132.490005,133.229996,132.250000,132.740005,117.010910,2032800
2014-03-19,52,132.750000,132.850006,130.580002,131.229996,115.679825,2141000
2014-03-20,53,131.149994,132.850006,130.860001,132.429993,116.737617,2577500
2014-03-21,54,133.580002,134.240005,132.899994,133.119995,117.345856,5920400
2014-03-24,55,133.320007,133.699997,131.880005,132.419998,116.728844,2793600
2014-03-25,56,133.660004,134.529999,132.899994,134.059998,118.174484,2897600
2014-03-26,57,134.660004,134.889999,133.089996,133.089996,117.319427,2318900
2014-03-27,58,132.820007,133.490005,132.179993,132.839996,117.099060,2402500
2014-03-28,59,133.580002,134.970001,133.179993,134.199997,118.297913,1906500
2014-03-31,60,134.610001,135.869995,134.580002,135.660004,119.584930,2711800
