Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,45.744999,45.910000,44.415001,44.740002,37.697144,6062800
2014-01-03,1,44.895000,45.125000,43.889999,44.130001,37.183170,4357400
2014-01-06,2,44.279999,45.005001,44.064999,44.355000,37.372757,4191600
2014-01-07,3,44.369999,44.724998,43.255001,44.500000,37.494926,7553600
2014-01-08,4,44.619999,44.619999,43.560001,44.340000,37.360111,8400400
2014-01-09,5,44.514999,45.930000,44.355000,45.520000,38.354366,10654000
2014-01-10,6,45.500000,45.930000,44.619999,45.485001,38.324879,5297800
2014-01-13,7,45.485001,45.779999,43.825001,44.080002,37.141048,6903000
2014-01-14,8,44.695000,45.220001,44.200001,44.549999,37.537056,6102000
2014-01-15,9,44.794998,44.805000,42.485001,43.325001,36.504894,11636600
2014-01-16,10,43.134998,43.400002,42.340000,42.849998,36.104664,7891600
2014-01-17,11,42.750000,43.325001,42.514999,42.639999,35.927727,7060200
2014-01-21,12,43.139999,43.759998,42.910000,43.165001,36.370083,5157400
2014-01-22,13,43.384998,43.455002,42.240002,42.790001,36.054111,5239000
2014-01-23,14,43.130001,43.430000,41.884998,42.720001,35.995125,8390800
2014-01-24,15,42.169998,42.250000,41.025002,41.490002,34.958759,5447800
2014-01-27,16,41.490002,41.994999,40.685001,41.750000,35.177826,8472600
2014-01-28,17,41.669998,41.759998,41.000000,41.584999,35.038799,5305600
2014-01-29,18,42.189999,44.099998,41.005001,43.259998,36.450123,15525800
2014-01-30,19,43.930000,44.470001,42.889999,43.750000,36.862988,6661800
2014-01-31,20,43.369999,44.380001,43.099998,43.525002,36.673409,8399200
2014-02-03,21,43.540001,43.549999,41.790001,42.169998,35.531704,9162400
2014-02-04,22,42.305000,42.334999,40.599998,41.625000,35.072498,10087200
2014-02-05,23,41.299999,41.470001,40.340000,41.154999,34.676495,10008800
2014-02-06,24,41.165001,41.740002,40.825001,41.665001,35.106209,5257800
2014-02-07,25,41.875000,42.759998,41.779999,42.235001,35.586479,5116800
2014-02-10,26,42.230000,42.250000,41.014999,41.259998,34.764954,6327000
2014-02-11,27,41.250000,42.450001,41.174999,42.230000,35.582260,7002800
2014-02-12,28,42.290001,42.810001,41.930000,42.099998,35.472729,5166200
2014-02-13,29,41.974998,42.924999,41.950001,42.790001,36.054111,6113400
2014-02-14,30,42.785000,44.330002,42.439999,43.855000,37.317757,5999600
2014-02-18,31,43.994999,44.570000,43.514999,43.849998,37.313492,5360000
2014-02-19,32,43.744999,44.544998,43.410000,43.509998,37.024166,6390000
2014-02-20,33,43.689999,44.369999,43.195000,43.974998,37.419865,5420800
2014-02-21,34,43.959999,44.244999,43.584999,43.654999,37.147560,4939600
2014-02-24,35,44.005001,44.770000,44.005001,44.060001,37.492191,5835800
2014-02-25,36,44.064999,45.540001,43.860001,44.945000,38.245266,9419000
2014-02-26,37,44.865002,45.459999,43.775002,44.020000,37.458157,6570400
2014-02-27,38,44.000000,44.000000,41.680000,42.075001,35.803093,14367600
2014-02-28,39,41.994999,42.584999,41.764999,42.000000,35.739258,6485800
2014-03-03,40,41.880001,42.744999,41.435001,41.685001,35.471222,6215200
2014-03-04,41,42.049999,42.455002,41.450001,42.345001,36.032837,7198400
2014-03-05,42,42.105000,43.380001,42.049999,43.090000,36.666786,6024200
2014-03-06,43,43.255001,45.000000,43.255001,44.740002,38.070831,9341000
2014-03-07,44,45.000000,45.299999,44.595001,45.000000,38.292072,8229800
2014-03-10,45,45.000000,45.955002,44.930000,45.540001,38.751575,8210000
2014-03-11,46,45.619999,45.865002,44.889999,45.645000,38.840919,7221600
2014-03-12,47,45.590000,47.340000,45.560001,47.250000,40.206673,10844000
2014-03-13,48,47.185001,47.264999,46.064999,46.275002,39.377018,8558800
2014-03-14,49,46.259998,47.340000,46.205002,46.990002,39.985435,6533400
2014-03-17,50,47.139999,47.439999,46.654999,46.785000,39.810989,7592200
2014-03-18,51,46.794998,47.330002,46.380001,47.070000,40.053505,6144000
2014-03-19,52,46.945000,47.000000,45.634998,45.825001,38.994102,5648400
2014-03-20,53,45.750000,46.279999,45.369999,45.955002,39.104717,5188400
2014-03-21,54,46.334999,46.790001,45.160000,45.345001,38.585651,9785400
2014-03-24,55,45.494999,45.919998,44.535000,44.805000,38.126133,7325000
2014-03-25,56,45.009998,45.869999,44.994999,45.320000,38.564373,5048400
2014-03-26,57,45.424999,45.790001,44.505001,44.549999,37.909142,5223400
2014-03-27,58,44.380001,44.470001,43.369999,43.645000,37.139061,6870400
2014-03-28,59,43.880001,44.189999,43.564999,43.834999,37.300732,4366200
2014-03-31,60,44.000000,44.220001,43.400002,43.520000,37.032681,5580000
2014-04-01,61,43.575001,44.799999,43.535000,44.770000,38.096355,8849800
2014-04-02,62,44.325001,44.325001,43.375000,43.580002,37.083748,7907800
2014-04-03,63,43.779999,43.884998,43.540001,43.584999,37.088005,5124400
2014-04-04,64,43.939999,44.195000,43.244999,43.549999,37.058220,5920600
2014-04-07,65,43.395000,43.560001,42.080002,42.540001,36.198769,5032000
2014-04-08,66,42.595001,42.744999,41.404999,41.950001,35.696716,7488200
2014-04-09,67,41.950001,43.185001,41.650002,42.560001,36.215782,6291400
2014-04-10,68,42.480000,43.369999,41.970001,42.264999,35.964756,6598400
2014-04-11,69,42.169998,42.610001,41.330002,41.645000,35.437187,7891400
2014-04-14,70,41.970001,42.419998,41.654999,42.285000,35.981785,5615200
2014-04-15,71,42.400002,43.325001,42.305000,43.290001,36.836975,7725000
2014-04-16,72,43.584999,44.465000,43.215000,44.389999,37.773003,6155400
2014-04-17,73,44.270000,45.209999,44.230000,44.955002,38.253780,5593800
2014-04-21,74,44.439999,45.270000,44.299999,45.070000,38.351639,3252200
2014-04-22,75,44.759998,45.634998,43.900002,45.195000,38.458000,6409800
2014-04-23,76,45.189999,45.735001,45.150002,45.419998,38.649460,4273800
2014-04-24,77,45.514999,45.775002,44.930000,45.369999,38.606915,4380400
2014-04-25,78,45.244999,45.825001,45.224998,45.365002,38.602661,4442400
2014-04-28,79,45.544998,47.075001,45.070000,46.459999,39.534431,7105600
2014-04-29,80,46.860001,47.294998,46.535000,46.689999,39.730145,4785400
2014-04-30,81,46.654999,47.139999,46.400002,46.474998,39.547195,9770800
2014-05-01,82,44.500000,48.639999,44.365002,47.720001,40.606621,11076200
2014-05-02,83,47.814999,48.500000,47.209999,47.875000,40.738510,5491600
2014-05-05,84,47.669998,48.369999,47.215000,47.904999,40.764038,6481600
2014-05-06,85,47.794998,48.849998,47.665001,48.345001,41.138447,7757400
2014-05-07,86,48.235001,48.404999,47.325001,47.599998,40.504505,5786000
2014-05-08,87,47.599998,48.064999,46.160000,46.395000,39.479122,6225000
2014-05-09,88,46.590000,46.590000,45.349998,45.645000,38.840919,4853400
2014-05-12,89,45.985001,46.580002,45.790001,46.009998,39.151520,4840800
2014-05-13,90,46.244999,46.779999,43.020000,45.880001,39.040886,5439600
2014-05-14,91,45.834999,46.500000,44.965000,45.910000,39.066422,5395400
2014-05-15,92,45.595001,45.610001,44.564999,44.950001,38.249523,5937400
2014-05-16,93,44.924999,45.020000,44.279999,44.525002,37.887878,4317600
2014-05-19,94,44.145000,44.790001,44.049999,44.439999,38.175655,4882200
2014-05-20,95,44.310001,45.160000,44.169998,44.314999,38.068275,4671600
2014-05-21,96,44.400002,44.650002,43.355000,43.845001,37.664536,5646400
2014-05-22,97,43.775002,44.924999,43.384998,43.455002,37.329494,7462200
2014-05-23,98,43.435001,43.794998,43.099998,43.570000,37.428295,4626000
2014-05-27,99,43.599998,43.865002,43.275002,43.474998,37.346680,5095000
2014-05-28,100,43.685001,44.584999,43.485001,43.685001,37.527088,7548400
2014-05-29,101,44.224998,44.990002,43.514999,44.904999,38.575115,5173200
2014-05-30,102,44.755001,45.000000,44.375000,44.695000,38.394707,4274200
2014-06-02,103,44.935001,45.014999,44.325001,44.860001,38.536453,3391800
2014-06-03,104,44.880001,44.904999,44.000000,44.044998,37.836323,4737400
2014-06-04,105,44.000000,44.485001,43.625000,43.919998,37.728951,5623800
2014-06-05,106,44.060001,44.380001,43.605000,43.950001,37.754730,8724600
2014-06-06,107,44.195000,44.195000,43.424999,43.845001,37.664536,4150400
2014-06-09,108,43.735001,44.305000,43.485001,43.750000,37.582920,4777200
2014-06-10,109,43.750000,43.775002,42.580002,42.845001,36.805492,8261200
2014-06-11,110,42.549999,42.950001,42.505001,42.845001,36.805492,4279000
2014-06-12,111,43.055000,43.419998,42.424999,43.325001,37.217827,8324400
2014-06-13,112,43.404999,43.580002,43.075001,43.209999,37.119038,4127400
2014-06-16,113,43.195000,43.349998,42.869999,42.935001,36.882809,3916200
2014-06-17,114,42.869999,43.334999,42.415001,43.290001,37.187763,7714600
2014-06-18,115,43.320000,44.439999,42.889999,44.320000,38.072571,6750000
2014-06-19,116,44.485001,44.875000,44.380001,44.810001,38.493500,5882600
2014-06-20,117,44.985001,45.105000,44.494999,44.805000,38.489197,7134000
2014-06-23,118,44.900002,45.080002,44.375000,44.490002,38.218609,3866200
2014-06-24,119,44.529999,44.685001,43.154999,43.224998,37.131920,6239800
2014-06-25,120,40.375000,41.049999,38.980000,40.485001,34.778156,27575000
2014-06-26,121,40.325001,40.820000,40.044998,40.465000,34.760983,9658200
2014-06-27,122,40.514999,40.625000,39.580002,39.700001,34.103817,14643600
2014-06-30,123,39.674999,39.759998,38.970001,39.035000,33.532555,7769600
2014-07-01,124,39.134998,39.485001,38.935001,39.305000,33.764496,5785400
2014-07-02,125,39.130001,40.169998,39.095001,39.939999,34.309978,6280200
2014-07-03,126,40.005001,40.500000,39.764999,40.450001,34.748096,4323400
2014-07-07,127,40.220001,40.500000,39.540001,39.735001,34.133881,5309400
2014-07-08,128,39.790001,39.834999,38.900002,38.915001,33.429474,6528800
2014-07-09,129,39.040001,39.310001,38.590000,39.044998,33.541142,5026800
2014-07-10,130,38.639999,38.945000,38.360001,38.705002,33.249073,6558600
2014-07-11,131,39.360001,39.785000,38.965000,39.430000,33.871872,5679600
2014-07-14,132,39.610001,39.645000,38.884998,39.040001,33.536850,4876800
2014-07-15,133,38.730000,39.820000,38.625000,39.509998,33.940598,6494600
2014-07-16,134,39.615002,39.834999,39.000000,39.215000,33.687180,5106600
2014-07-17,135,39.009998,39.275002,38.325001,38.375000,32.965580,5251400
2014-07-18,136,38.660000,38.834999,38.389999,38.455002,33.034313,5385800
2014-07-21,137,38.525002,38.584999,37.924999,37.965000,32.613380,5123200
2014-07-22,138,38.189999,38.500000,37.840000,37.895000,32.553257,5201600
2014-07-23,139,38.145000,38.660000,37.935001,38.305000,32.905457,4275000
2014-07-24,140,38.410000,39.115002,38.375000,38.715000,33.257652,5539800
2014-07-25,141,38.750000,39.334999,38.580002,39.290001,33.751610,6114600
2014-07-28,142,39.415001,39.674999,38.820000,38.895000,33.412281,5551600
2014-07-29,143,39.255001,40.244999,39.180000,39.814999,34.202599,8096600
2014-07-30,144,39.790001,40.064999,39.230000,39.490002,33.923420,6335200
2014-07-31,145,40.680000,42.490002,40.639999,41.740002,35.856255,15821400
2014-08-01,146,41.845001,43.044998,41.415001,41.785000,35.894913,13103200
2014-08-04,147,41.750000,42.439999,41.395000,42.235001,36.281479,6394000
2014-08-05,148,41.770000,42.900002,41.639999,42.514999,36.522007,7867000
2014-08-06,149,42.334999,43.660000,42.334999,43.375000,37.260773,7819200
2014-08-07,150,43.549999,43.779999,42.825001,43.250000,37.153397,4041200
2014-08-08,151,43.419998,43.849998,43.095001,43.750000,37.582920,3274400
