Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,27.700001,27.940001,27.590000,27.860001,23.538183,3148900
2014-01-03,1,28.500000,28.860001,28.040001,28.730000,24.273222,6138200
2014-01-06,2,28.840000,28.990000,28.490000,28.959999,24.467541,4692300
2014-01-07,3,28.990000,29.059999,28.750000,28.780001,24.315466,3163900
2014-01-08,4,28.889999,29.040001,28.780001,28.780001,24.315466,2094900
2014-01-09,5,28.809999,28.940001,28.440001,28.440001,24.028210,2148900
2014-01-10,6,28.110001,28.540001,28.100000,28.150000,23.783194,3927600
2014-01-13,7,28.270000,28.430000,27.920000,27.959999,23.622665,2888300
2014-01-14,8,28.080000,28.570000,28.080000,28.240000,23.859230,3638100
2014-01-15,9,28.370001,28.639999,28.240000,28.420000,24.011311,5248400
2014-01-16,10,28.200001,28.530001,27.719999,28.510000,24.087349,6087000
2014-01-17,11,28.450001,28.900000,28.450001,28.549999,24.121147,3290600
2014-01-21,12,28.799999,28.889999,28.590000,28.700001,24.247879,3086600
2014-01-22,13,28.780001,29.049999,28.590000,28.870001,24.391506,2989300
2014-01-23,14,28.709999,28.879999,28.500000,28.879999,24.399954,3508800
2014-01-24,15,29.620001,30.200001,29.010000,29.200001,24.670311,6722700
2014-01-27,16,29.400000,29.400000,28.580000,28.590000,24.154938,3848200
2014-01-28,17,29.340000,30.090000,29.000000,29.920000,25.278616,7564800
2014-01-29,18,29.760000,30.120001,29.469999,29.670000,25.067402,4434200
2014-01-30,19,30.000000,30.250000,29.620001,30.180000,25.498289,3746100
2014-01-31,20,30.040001,30.360001,29.809999,30.260000,25.565882,4752100
2014-02-03,21,30.040001,30.340000,29.770000,29.860001,25.227930,5208700
2014-02-04,22,30.000000,30.129999,29.320000,29.480000,24.906876,3266200
2014-02-05,23,29.330000,29.559999,29.100000,29.450001,24.881533,2223600
2014-02-06,24,29.559999,29.620001,29.389999,29.440001,24.873087,1970500
2014-02-07,25,29.629999,29.740000,29.379999,29.639999,25.042053,2432600
2014-02-10,26,30.209999,30.400000,29.950001,30.270000,25.574333,2793300
2014-02-11,27,30.350000,30.549999,30.250000,30.389999,25.675709,1504600
2014-02-12,28,30.430000,30.799999,30.410000,30.639999,25.886929,2905800
2014-02-13,29,30.600000,31.290001,30.530001,31.250000,26.402306,2375200
2014-02-14,30,31.059999,31.670000,31.020000,31.490000,26.605074,3106400
2014-02-18,31,31.490000,31.500000,31.049999,31.110001,26.502842,3152500
2014-02-19,32,30.940001,31.490000,30.910000,31.280001,26.647673,1931600
2014-02-20,33,31.350000,31.420000,30.840000,31.299999,26.664701,2461600
