Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,23.469999,24.270000,23.410000,23.959999,22.797867,12162400
2014-01-03,1,24.170000,24.290001,23.879999,23.920000,22.759806,10233600
2014-01-06,2,24.250000,24.540001,24.000000,24.080000,22.912046,9276100
2014-01-07,3,23.850000,23.980000,23.510000,23.950001,22.788351,8783800
2014-01-08,4,23.690001,23.730000,23.330000,23.400000,22.265028,8027400
2014-01-09,5,23.290001,23.410000,23.120001,23.200001,22.074728,7136000
2014-01-10,6,23.680000,24.040001,23.559999,23.799999,22.645628,8471900
2014-01-13,7,23.959999,23.959999,23.530001,23.879999,22.721748,8471700
2014-01-14,8,23.760000,24.120001,23.250000,23.410000,22.274542,9800500
2014-01-15,9,23.270000,23.809999,23.219999,23.580000,22.436298,6889500
2014-01-16,10,23.850000,23.959999,23.549999,23.950001,22.788351,6367800
2014-01-17,11,24.180000,24.879999,24.170000,24.549999,23.359253,12786900
2014-01-21,12,24.350000,25.120001,24.290001,24.820000,23.616156,10718900
2014-01-22,13,24.680000,24.700001,24.090000,24.389999,23.207010,8278800
2014-01-23,14,24.809999,25.500000,24.750000,25.170000,23.949173,10906700
2014-01-24,15,25.459999,25.650000,24.459999,24.879999,23.673244,10538500
2014-01-27,16,24.670000,24.709999,24.160000,24.180000,23.007195,9801600
2014-01-28,17,24.340000,24.760000,24.080000,24.660000,23.463917,6615700
2014-01-29,18,25.080000,25.219999,24.320000,24.870001,23.663731,10610400
2014-01-30,19,23.840000,24.389999,23.799999,24.100000,22.931076,10652900
2014-01-31,20,23.700001,23.740000,21.270000,21.600000,20.552330,35120000
2014-02-03,21,21.700001,21.850000,21.000000,21.020000,20.000460,18057400
2014-02-04,22,20.920000,21.309999,20.900000,21.180000,20.152702,13731400
2014-02-05,23,21.400000,21.459999,20.860001,20.870001,19.857744,10105900
2014-02-06,24,20.900000,21.260000,20.790001,21.010000,19.990953,9252400
2014-02-07,25,21.100000,21.650000,21.020000,21.520000,20.476215,10569100
2014-02-10,26,21.790001,22.430000,21.750000,22.200001,21.123236,12039500
2014-02-11,27,22.309999,23.030001,22.309999,22.900000,21.789282,13940600
2014-02-12,28,22.870001,22.940001,22.299999,22.510000,21.418198,11854300
2014-02-13,29,22.660000,23.559999,22.459999,23.530001,22.388721,11128800
2014-02-14,30,24.110001,24.230000,23.410000,23.830000,22.674170,13663900
2014-02-18,31,24.260000,24.330000,23.750000,24.209999,23.035740,11650600
2014-02-19,32,24.110001,24.320000,23.680000,23.770000,22.617085,9775000
2014-02-20,33,23.719999,24.549999,23.639999,24.459999,23.273609,9989000
2014-02-21,34,24.030001,24.090000,22.709999,23.379999,22.245995,23007300
2014-02-24,35,23.459999,23.820000,23.290001,23.670000,22.521931,10767300
2014-02-25,36,23.600000,24.080000,23.559999,23.750000,22.598055,10137900
2014-02-26,37,23.660000,23.910000,23.400000,23.559999,22.417271,9645600
2014-02-27,38,23.610001,24.080000,23.370001,23.590000,22.445816,8345300
2014-02-28,39,23.559999,23.600000,23.020000,23.260000,22.131823,11152800
2014-03-03,40,23.910000,24.250000,23.440001,23.629999,22.483868,9904400
2014-03-04,41,23.430000,24.200001,23.280001,24.139999,22.969133,8861600
2014-03-05,42,24.200001,24.660000,24.080000,24.580000,23.387796,8442200
2014-03-06,43,24.670000,25.080000,24.530001,24.930000,23.720821,6717000
2014-03-07,44,24.580000,24.639999,23.879999,24.600000,23.406826,9691100
2014-03-10,45,24.559999,24.650000,23.940001,24.309999,23.130892,6126400
2014-03-11,46,24.389999,24.549999,24.090000,24.350000,23.312794,8690800
2014-03-12,47,24.680000,25.120001,24.590000,25.010000,23.944681,7971800
2014-03-13,48,25.070000,25.530001,24.879999,25.480000,24.394665,8367300
2014-03-14,49,25.770000,26.200001,25.719999,26.180000,25.064846,15073600
2014-03-17,50,25.930000,26.370001,25.570000,25.770000,24.672314,11182900
2014-03-18,51,25.440001,25.620001,25.200001,25.270000,24.193611,8310400
2014-03-19,52,24.980000,25.340000,24.440001,24.500000,23.456408,8475400
2014-03-20,53,24.260000,24.980000,24.190001,24.580000,23.533001,10636100
2014-03-21,54,24.900000,24.900000,24.360001,24.549999,23.504278,12369300
2014-03-24,55,24.450001,24.600000,23.750000,23.889999,22.872393,7845800
2014-03-25,56,24.000000,24.190001,23.799999,23.920000,22.901114,5266400
2014-03-26,57,23.889999,24.020000,23.000000,23.070000,22.087318,8926600
2014-03-27,58,22.969999,23.150000,22.660000,22.940001,21.962858,12025500
2014-03-28,59,23.010000,24.129999,22.920000,23.920000,22.901114,11288800
2014-03-31,60,23.900000,24.100000,23.309999,23.440001,22.441555,7717300
2014-04-01,61,23.520000,23.740000,23.400000,23.450001,22.451136,7455800
2014-04-02,62,23.809999,24.459999,23.730000,24.240000,23.207483,7225200
2014-04-03,63,24.059999,24.180000,23.830000,24.100000,23.073448,5475600
2014-04-04,64,24.420000,24.650000,24.049999,24.110001,23.083021,6420000
2014-04-07,65,24.270000,24.850000,24.209999,24.440001,23.398964,6916400
2014-04-08,66,24.820000,25.059999,24.670000,24.950001,23.887239,6538100
2014-04-09,67,24.830000,25.360001,24.570000,24.990000,23.925537,6965400
2014-04-10,68,25.190001,25.510000,24.670000,24.790001,23.734055,6729000
2014-04-11,69,24.740000,24.780001,24.100000,24.230000,23.197908,6458000
2014-04-14,70,24.559999,24.740000,24.290001,24.410000,23.370237,6516200
2014-04-15,71,23.799999,23.940001,23.280001,23.840000,22.824522,9240500
2014-04-16,72,23.860001,24.020000,23.510000,23.750000,22.738356,5348200
2014-04-17,73,23.740000,23.900000,23.500000,23.540001,22.537300,5468600
2014-04-21,74,25.450001,25.459999,24.600000,25.049999,23.982979,16057500
2014-04-22,75,24.980000,25.200001,24.320000,25.040001,23.973404,13739800
2014-04-23,76,25.000000,26.260000,24.969999,25.920000,24.815924,12694800
2014-04-24,77,25.620001,25.799999,25.270000,25.490000,24.404238,11984900
2014-04-25,78,25.690001,26.500000,25.610001,26.450001,25.323353,11559300
2014-04-28,79,25.180000,25.389999,24.610001,24.670000,23.619165,16927700
2014-04-29,80,24.690001,25.270000,24.690001,25.020000,23.954258,10763100
2014-04-30,81,24.860001,25.059999,24.559999,24.830000,23.772348,6504900
2014-05-01,82,24.690001,24.889999,24.330000,24.530001,23.485128,6982900
2014-05-02,83,24.570000,24.940001,24.400000,24.719999,23.667030,5708400
2014-05-05,84,25.020000,25.020000,24.709999,24.850000,23.791496,3882000
2014-05-06,85,24.820000,24.820000,24.500000,24.600000,23.552145,3488900
2014-05-07,86,24.270000,24.290001,23.780001,24.010000,22.987282,8356600
2014-05-08,87,23.990000,24.190001,23.780001,24.000000,22.977705,4286800
2014-05-09,88,24.030001,24.120001,23.709999,24.020000,22.996857,3506000
2014-05-12,89,24.320000,24.670000,24.320000,24.510000,23.465981,4430800
2014-05-13,90,24.490000,24.969999,24.490000,24.680000,23.628738,3201300
2014-05-14,91,24.910000,24.990000,24.590000,24.629999,23.580868,3563600
2014-05-15,92,24.379999,24.549999,24.139999,24.290001,23.255352,4184200
