Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,15.920000,15.980000,15.720000,15.860000,15.065533,6502300
2014-01-03,1,15.890000,15.920000,15.620000,15.670000,14.885054,6483300
2014-01-06,2,15.830000,16.000000,15.680000,15.880000,15.084535,10237300
2014-01-07,3,16.040001,16.200001,15.930000,16.139999,15.331511,8332200
2014-01-08,4,16.200001,16.440001,16.139999,16.360001,15.540489,7704800
2014-01-09,5,16.110001,16.139999,15.700000,15.750000,14.961042,7304300
2014-01-10,6,15.800000,15.910000,15.590000,15.730000,14.942046,5462300
2014-01-13,7,15.730000,15.830000,15.330000,15.360000,14.590581,6083300
2014-01-14,8,15.440000,15.870000,15.370000,15.840000,15.046535,6045700
2014-01-15,9,15.910000,16.070000,15.840000,16.010000,15.208019,4376100
2014-01-16,10,16.010000,16.090000,15.940000,16.059999,15.255515,5516300
2014-01-17,11,16.059999,16.250000,15.890000,15.990000,15.189022,8510000
2014-01-21,12,16.010000,16.150000,15.880000,16.049999,15.246016,6151900
2014-01-22,13,16.080000,16.100000,15.840000,16.030001,15.227023,8448500
2014-01-23,14,15.980000,16.150000,15.850000,15.970000,15.170025,4625700
2014-01-24,15,15.840000,15.900000,15.560000,15.560000,14.780560,6167400
2014-01-27,16,15.560000,15.780000,15.370000,15.460000,14.685572,5845300
2014-01-28,17,15.430000,15.620000,15.370000,15.610000,14.828058,4199900
2014-01-29,18,15.550000,15.640000,15.450000,15.460000,14.685572,4073600
2014-01-30,19,15.550000,15.750000,15.500000,15.720000,14.932548,5072400
2014-01-31,20,15.500000,15.790000,15.490000,15.700000,14.913549,8383700
2014-02-03,21,15.810000,15.830000,15.430000,15.490000,14.714069,10793200
2014-02-04,22,15.480000,15.610000,15.400000,15.580000,14.799560,7017300
2014-02-05,23,15.470000,15.520000,15.320000,15.440000,14.666572,5366900
2014-02-06,24,15.460000,15.680000,15.440000,15.640000,14.856553,4209500
2014-02-07,25,15.680000,15.890000,15.540000,15.870000,15.075033,3931200
2014-02-10,26,15.850000,16.129999,15.840000,15.920000,15.122527,8109300
2014-02-11,27,16.010000,16.290001,15.930000,16.250000,15.435998,5884600
2014-02-12,28,16.299999,16.950001,16.299999,16.830000,15.986947,18613200
2014-02-13,29,17.250000,17.459999,16.950001,17.360001,16.490398,22570900
2014-02-14,30,17.200001,17.950001,17.190001,17.910000,17.012844,20438400
2014-02-18,31,17.920000,17.980000,17.750000,17.900000,17.003349,10724700
2014-02-19,32,17.900000,18.299999,17.820000,18.139999,17.231321,11258500
2014-02-20,33,18.180000,18.820000,18.150000,18.780001,17.839268,9952200
2014-02-21,34,18.750000,18.990000,18.520000,18.639999,17.706280,11276300
2014-02-24,35,18.600000,19.049999,18.430000,18.910000,17.962753,10077800
2014-02-25,36,18.799999,18.879999,18.540001,18.740000,17.881649,6054600
2014-02-26,37,18.700001,18.980000,18.650000,18.709999,17.853016,9022100
2014-02-27,38,18.709999,18.900000,18.450001,18.500000,17.652643,9721200
2014-02-28,39,18.400000,18.580000,18.110001,18.379999,17.538136,8042300
2014-03-03,40,17.969999,18.290001,17.809999,18.290001,17.452255,9398700
2014-03-04,41,18.379999,18.600000,18.350000,18.480000,17.633551,6508600
2014-03-05,42,18.459999,18.650000,18.379999,18.639999,17.786224,6036800
2014-03-06,43,18.670000,18.770000,18.350000,18.379999,17.538136,7253600
2014-03-07,44,18.459999,18.490000,18.219999,18.360001,17.519053,6711300
2014-03-10,45,18.299999,18.379999,18.010000,18.090000,17.261415,7522200
2014-03-11,46,18.180000,18.430000,18.120001,18.270000,17.433172,7430500
2014-03-12,47,18.180000,18.430000,18.110001,18.320000,17.480881,5985700
