Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,37.779999,38.029999,37.549999,37.840000,35.027382,18162100
2014-01-03,1,37.650002,37.860001,37.560001,37.619999,34.934536,11693900
2014-01-06,2,37.639999,37.799999,37.419998,37.470001,34.795242,15329400
2014-01-07,3,37.660000,37.930000,37.500000,37.849998,35.148109,16792200
2014-01-08,4,37.790001,37.910000,37.560001,37.720001,35.027397,16111600
2014-01-09,5,37.849998,37.849998,37.459999,37.650002,34.962395,13623500
2014-01-10,6,37.750000,38.139999,37.590000,38.110001,35.389553,15402900
2014-01-13,7,37.950001,38.200001,37.700001,37.750000,35.055260,20848300
2014-01-14,8,37.779999,38.250000,37.709999,38.209999,35.482418,13486400
2014-01-15,9,38.200001,38.570000,38.119999,38.410000,35.668140,17010900
2014-01-16,10,38.389999,38.770000,38.169998,38.290001,35.556705,13463000
2014-01-17,11,38.119999,38.470001,38.029999,38.209999,35.482418,14051100
2014-01-21,12,38.520000,38.520000,37.799999,38.110001,35.389553,13540000
2014-01-22,13,38.029999,38.279999,37.950001,37.980000,35.268841,14006300
2014-01-23,14,38.169998,38.259998,37.930000,38.150002,35.426697,14174200
2014-01-24,15,37.919998,37.959999,37.110001,37.110001,34.460945,26815600
2014-01-27,16,37.259998,37.369999,36.490002,36.490002,33.885197,19073800
2014-01-28,17,36.599998,37.130001,36.580002,37.099998,34.451645,13899900
2014-01-29,18,37.180000,37.250000,36.709999,36.970001,34.330940,16553600
2014-01-30,19,37.189999,37.560001,37.080002,37.400002,34.730240,12975500
2014-01-31,20,37.029999,37.200001,36.680000,36.900002,34.265926,17039700
2014-02-03,21,37.090000,37.090000,35.820000,35.840000,33.281597,21272600
2014-02-04,22,35.650002,36.020000,35.439999,35.959999,33.393021,16228000
2014-02-05,23,35.520000,36.250000,35.470001,35.950001,33.383739,11458400
2014-02-06,24,36.119999,36.830002,36.110001,36.720001,34.098782,14762200
2014-02-07,25,36.880001,37.230000,36.709999,37.189999,34.535229,13114700
2014-02-10,26,37.240002,37.439999,37.070000,37.299999,34.637375,10976900
2014-02-11,27,37.500000,37.900002,37.389999,37.840000,35.138817,12066100
2014-02-12,28,37.799999,38.250000,37.660000,38.070000,35.352413,12343200
2014-02-13,29,37.840000,38.490002,37.779999,38.419998,35.677425,11683200
2014-02-14,30,38.330002,38.330002,37.919998,37.980000,35.268841,15641400
2014-02-18,31,38.060001,38.119999,37.730000,37.970001,35.259548,10560300
2014-02-19,32,37.830002,38.299999,37.799999,37.869999,35.166687,12491400
2014-02-20,33,37.840000,38.349998,37.700001,38.270000,35.538136,11786000
2014-02-21,34,38.330002,38.490002,38.080002,38.099998,35.380268,13243600
2014-02-24,35,38.160000,38.459999,38.040001,38.139999,35.417419,10388100
2014-02-25,36,38.110001,38.430000,37.889999,38.250000,35.519566,11766400
2014-02-26,37,38.419998,38.830002,38.349998,38.500000,35.751713,11482900
2014-02-27,38,38.500000,39.099998,38.360001,38.950001,36.169598,14055700
2014-02-28,39,38.950001,39.369999,38.650002,39.110001,36.318165,19257800
2014-03-03,40,38.720001,38.990002,38.380001,38.509998,35.760998,13293700
2014-03-04,41,39.139999,39.500000,39.060001,39.410000,36.596752,13682100
2014-03-05,42,39.410000,39.700001,39.299999,39.500000,36.680332,11929200
2014-03-06,43,39.680000,39.849998,39.419998,39.459999,36.643177,13081900
2014-03-07,44,39.570000,39.590000,38.599998,38.830002,36.058155,13821500
2014-03-10,45,38.820000,38.950001,38.650002,38.860001,36.086021,8670300
2014-03-11,46,39.000000,39.020000,38.619999,38.900002,36.123169,12841500
2014-03-12,47,38.820000,38.820000,38.279999,38.520000,35.770283,13226200
2014-03-13,48,38.619999,38.660000,37.520000,37.650002,34.962395,15361200
2014-03-14,49,37.689999,38.000000,37.500000,37.599998,34.915962,14308300
2014-03-17,50,37.799999,38.480000,37.799999,38.220001,35.491707,14981300
2014-03-18,51,38.369999,38.939999,38.160000,38.840000,36.067444,29707200
2014-03-19,52,37.799999,38.959999,37.400002,38.549999,35.798145,45154900
2014-03-20,53,38.500000,38.689999,38.009998,38.369999,35.630993,18960200
2014-03-21,54,38.700001,38.849998,37.500000,37.500000,34.823093,33897900
2014-03-24,55,37.490002,38.340000,37.380001,38.180000,35.454563,22539000
2014-03-25,56,38.130001,38.500000,38.099998,38.400002,35.658859,19750600
2014-03-26,57,38.400002,39.459999,38.360001,39.080002,36.290318,31357500
2014-03-27,58,38.990002,39.560001,38.799999,39.240002,36.438896,26283600
2014-03-28,59,39.520000,39.860001,39.189999,39.570000,36.745335,18405100
2014-03-31,60,39.750000,41.430000,39.630001,40.910000,37.989677,48340300
2014-04-01,61,41.040001,42.000000,40.959999,41.490002,38.528286,35431800
2014-04-02,62,41.369999,41.619999,40.849998,41.130001,38.193977,22754900
2014-04-03,63,41.040001,41.139999,40.340000,40.369999,37.488224,22497000
2014-04-04,64,40.599998,40.730000,39.660000,39.980000,37.236752,23836200
2014-04-07,65,39.799999,39.919998,39.040001,39.470001,36.761749,27311900
2014-04-08,66,39.439999,40.349998,39.360001,40.240002,37.478912,22197600
2014-04-09,67,40.470001,40.919998,40.180000,40.880001,38.074997,20314000
2014-04-10,68,40.889999,41.049999,39.480000,39.790001,37.059792,26397800
2014-04-11,69,39.509998,39.880001,38.970001,38.980000,36.305370,18655800
2014-04-14,70,39.080002,39.750000,39.080002,39.570000,36.854885,16022000
2014-04-15,71,39.700001,39.980000,39.240002,39.730000,37.003906,14553400
2014-04-16,72,39.939999,40.150002,39.509998,40.130001,37.376465,13614800
2014-04-17,73,39.959999,40.180000,39.389999,40.080002,37.329895,14644100
2014-04-21,74,40.240002,40.439999,40.060001,40.240002,37.478912,8593600
