Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,63.529999,64.169998,63.139999,63.180000,53.017353,7400100
2014-01-03,1,63.619999,63.889999,63.400002,63.490002,53.277493,4589400
2014-01-06,2,63.680000,63.689999,62.669998,63.060001,52.916653,4609600
2014-01-07,3,63.029999,63.290001,62.599998,62.910000,52.790779,5398300
2014-01-08,4,62.810001,62.820000,62.430000,62.689999,52.606167,5529900
2014-01-09,5,62.889999,63.590000,62.770000,63.340000,53.151627,7264600
2014-01-10,6,62.889999,63.630001,62.160000,62.619999,52.547436,12949700
2014-01-13,7,62.119999,62.230000,61.490002,61.500000,51.607597,8031200
2014-01-14,8,61.509998,61.759998,61.270000,61.709999,51.783810,5519900
2014-01-15,9,61.860001,61.869999,61.500000,61.560001,51.657936,4233700
2014-01-16,10,61.439999,61.549999,60.599998,60.810001,51.028576,5288400
2014-01-17,11,60.930000,60.930000,59.869999,60.240002,50.550262,8132100
2014-01-21,12,59.799999,59.810001,58.799999,59.200001,49.677544,10595500
2014-01-22,13,59.779999,59.820000,58.750000,58.980000,49.492935,7185100
2014-01-23,14,58.500000,58.720001,58.259998,58.650002,49.216015,7029900
2014-01-24,15,58.560001,58.599998,57.689999,57.720001,48.435612,7467500
2014-01-27,16,57.730000,57.959999,57.380001,57.709999,48.427212,6013100
2014-01-28,17,57.849998,58.290001,57.759998,57.889999,48.578266,4907300
2014-01-29,18,57.669998,57.860001,56.830002,56.889999,47.739117,5928000
2014-01-30,19,57.110001,57.200001,56.650002,56.669998,47.554497,6207900
2014-01-31,20,56.410000,56.980000,55.959999,56.639999,47.529320,6326300
2014-02-03,21,56.860001,56.869999,55.279999,55.410000,46.497173,6733600
2014-02-04,22,55.869999,55.869999,55.099998,55.119999,46.253826,5969600
2014-02-05,23,55.060001,55.189999,54.660000,55.070000,46.211876,8176000
2014-02-06,24,55.130001,56.000000,55.090000,55.860001,46.874802,8886800
2014-02-07,25,56.110001,56.410000,55.540001,56.330002,47.269199,6344700
2014-02-10,26,56.340000,56.689999,56.169998,56.509998,47.420238,6017900
2014-02-11,27,56.660000,57.380001,56.549999,57.139999,47.948910,8170900
2014-02-12,28,57.169998,57.169998,56.619999,56.950001,47.789463,7010800
2014-02-13,29,56.970001,57.360001,56.450001,56.860001,47.713940,7564500
2014-02-14,30,56.660000,56.689999,55.759998,56.060001,47.401093,8586200
2014-02-18,31,56.419998,56.639999,56.169998,56.389999,47.680119,6094900
2014-02-19,32,56.360001,57.820000,56.320000,57.310001,48.458027,8838300
2014-02-20,33,57.400002,57.400002,56.410000,56.619999,47.874592,8790200
2014-02-21,34,56.720001,56.799999,56.150002,56.240002,47.553291,6596600
2014-02-24,35,56.189999,56.639999,55.439999,56.139999,47.468731,9151600
2014-02-25,36,55.959999,56.610001,55.810001,56.509998,47.781586,8030600
2014-02-26,37,58.580002,61.180000,58.099998,60.490002,51.146839,24180800
2014-02-27,38,60.419998,60.779999,59.750000,60.660000,51.290585,9453700
2014-02-28,39,60.610001,62.880001,60.400002,62.540001,52.880211,14246300
2014-03-03,40,61.939999,62.410000,61.700001,61.959999,52.389790,6813300
2014-03-04,41,62.509998,62.549999,61.250000,61.330002,51.857101,6400100
2014-03-05,42,61.650002,61.660000,60.360001,60.599998,51.239857,7421100
2014-03-06,43,60.610001,61.090000,60.520000,60.740002,51.358231,4835100
2014-03-07,44,60.840000,60.980000,60.570000,60.750000,51.366692,3817500
2014-03-10,45,60.820000,61.240002,60.700001,61.160000,51.713356,3663700
2014-03-11,46,61.250000,61.520000,60.869999,60.939999,51.527340,4485100
2014-03-12,47,60.540001,61.220001,60.520000,61.099998,51.662621,3851500
2014-03-13,48,61.080002,61.619999,59.709999,59.730000,50.504234,6142600
2014-03-14,49,59.599998,59.990002,59.270000,59.360001,50.191383,5631200
2014-03-17,50,59.590000,59.959999,59.299999,59.669998,50.453499,3424500
2014-03-18,51,59.799999,59.939999,59.560001,59.720001,50.495781,3129000
2014-03-19,52,59.759998,60.209999,59.060001,59.480000,50.292847,4280700
2014-03-20,53,59.529999,59.900002,59.259998,59.700001,50.478870,3332100
2014-03-21,54,60.119999,60.180000,59.360001,59.450001,50.267479,5995400
2014-03-24,55,59.880001,60.040001,59.160000,59.459999,50.275940,4543700
2014-03-25,56,59.590000,59.599998,58.599998,59.060001,49.937717,5216800
2014-03-26,57,59.220001,59.990002,59.060001,59.200001,50.056091,4438900
2014-03-27,58,59.570000,60.139999,59.020000,59.740002,50.512695,4416400
2014-03-28,59,59.740002,60.119999,59.700001,59.980000,50.715614,3063900
2014-03-31,60,60.240002,60.779999,59.950001,60.509998,51.163757,4255900
2014-04-01,61,60.740002,60.810001,60.299999,60.570000,51.214478,4246000
2014-04-02,62,60.500000,61.139999,60.450001,60.889999,51.485062,3970400
