Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,31.680000,32.165001,31.594999,31.740000,27.644056,4197000
2014-01-03,1,31.629999,32.070000,31.625000,31.799999,27.696312,3302600
2014-01-06,2,31.910000,32.009998,31.434999,31.455000,27.395832,6277000
2014-01-07,3,31.500000,32.000000,31.475000,31.590000,27.513412,6293800
2014-01-08,4,31.639999,31.780001,31.455000,31.750000,27.652763,6096000
2014-01-09,5,31.795000,31.895000,31.615000,31.660000,27.574385,5041000
2014-01-10,6,31.830000,32.035000,31.750000,32.025002,27.892279,5760400
2014-01-13,7,31.955000,32.189999,31.379999,31.455000,27.395832,7287400
2014-01-14,8,31.500000,31.600000,31.195000,31.430000,27.374062,6885800
2014-01-15,9,31.459999,31.525000,31.195000,31.275000,27.239061,5226200
2014-01-16,10,31.240000,31.360001,31.014999,31.065001,27.056162,6137200
2014-01-17,11,31.110001,31.209999,30.875000,30.930000,26.938583,9637600
2014-01-21,12,30.684999,30.915001,29.750000,30.105000,26.220045,14196600
2014-01-22,13,30.150000,30.155001,29.565001,29.594999,25.775860,14671000
2014-01-23,14,29.434999,29.540001,29.145000,29.200001,25.431829,10951400
2014-01-24,15,29.025000,29.235001,28.875000,28.875000,25.148775,7863800
2014-01-27,16,28.815001,29.174999,28.309999,29.049999,25.301191,11261200
2014-01-28,17,29.084999,29.379999,29.030001,29.075001,25.322964,8299200
2014-01-29,18,28.754999,29.004999,28.555000,28.625000,24.931036,9020000
2014-01-30,19,28.850000,28.915001,28.590000,28.754999,25.044260,7107200
2014-01-31,20,28.400000,28.860001,28.235001,28.680000,24.978941,8625600
2014-02-03,21,28.674999,28.674999,28.020000,28.120001,24.491207,11441200
2014-02-04,22,28.264999,28.290001,27.965000,28.014999,24.399755,7023400
2014-02-05,23,28.000000,28.969999,27.910000,28.895000,25.166191,15306600
2014-02-06,24,28.980000,29.750000,28.830000,29.695000,25.862957,12073400
2014-02-07,25,29.805000,30.014999,29.530001,29.715000,25.880379,7683600
2014-02-10,26,29.770000,29.775000,29.350000,29.629999,25.806343,6070600
2014-02-11,27,29.639999,30.075001,29.540001,29.980000,26.239588,6794200
2014-02-12,28,30.045000,30.315001,29.955000,30.065001,26.313980,5275000
2014-02-13,29,29.945000,30.260000,29.860001,30.084999,26.331482,6521400
2014-02-14,30,29.955000,30.084999,29.740000,29.895000,26.165190,6807000
2014-02-18,31,30.000000,30.195000,29.885000,30.115000,26.357740,7622600
2014-02-19,32,30.094999,30.330000,29.895000,29.924999,26.191444,6237800
2014-02-20,33,30.014999,30.165001,29.660000,30.010000,26.265842,6859400
2014-02-21,34,30.070000,30.240000,29.875000,30.040001,26.292099,8188000
2014-02-24,35,30.055000,30.500000,29.990000,30.195000,26.427765,7880200
2014-02-25,36,30.180000,30.629999,29.955000,30.495001,26.690334,11732200
2014-02-26,37,30.770000,31.110001,30.084999,30.145000,26.384005,16109400
2014-02-27,38,30.129999,30.500000,30.004999,30.365000,26.576550,12394000
2014-02-28,39,30.400000,30.775000,30.200001,30.730000,26.896013,10411600
2014-03-03,40,30.415001,30.615000,30.225000,30.445000,26.646572,7380400
2014-03-04,41,30.655001,30.865000,30.655001,30.770000,26.931026,4886600
2014-03-05,42,30.815001,31.000000,30.760000,30.865000,27.014170,6283600
2014-03-06,43,30.879999,30.879999,30.340000,30.565001,26.751600,7691400
2014-03-07,44,30.660000,30.905001,30.575001,30.855000,27.005415,5317200
2014-03-10,45,30.764999,31.145000,30.730000,31.115000,27.232975,6081200
2014-03-11,46,31.139999,31.184999,30.840000,30.920000,27.062307,4999000
