Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,43.439999,43.500000,42.880001,43.099998,37.569206,6959200
2014-01-03,1,43.119999,43.459999,42.970001,43.290001,37.734825,4693300
2014-01-06,2,43.250000,43.279999,42.849998,42.930000,37.421021,4446300
2014-01-07,3,42.980000,43.110001,42.639999,42.700001,37.220539,5078900
2014-01-08,4,42.959999,43.320000,42.619999,43.290001,37.734825,6353500
2014-01-09,5,43.279999,43.389999,42.900002,43.060001,37.534340,3383800
2014-01-10,6,43.150002,43.250000,42.740002,43.110001,37.577923,5330900
2014-01-13,7,42.959999,43.099998,42.119999,42.240002,36.819561,6759100
2014-01-14,8,42.500000,43.400002,42.349998,43.340000,37.778404,6892700
2014-01-15,9,43.450001,43.650002,43.099998,43.540001,37.952736,6605400
2014-01-16,10,43.520000,43.599998,43.240002,43.369999,37.804554,4086900
2014-01-17,11,43.200001,43.849998,43.009998,43.450001,37.874290,6614200
2014-01-21,12,43.750000,43.930000,43.369999,43.849998,38.222954,7413800
2014-01-22,13,43.700001,44.820000,43.549999,44.610001,38.885429,9822000
2014-01-23,14,44.119999,44.549999,43.950001,44.090000,38.432163,8236400
2014-01-24,15,43.790001,44.029999,42.880001,42.950001,37.438465,10676700
2014-01-27,16,42.950001,43.270000,42.549999,42.639999,37.168232,7360000
2014-01-28,17,42.580002,42.930000,42.299999,42.900002,37.394875,6356100
2014-01-29,18,42.320000,42.750000,42.240002,42.400002,37.219307,8619600
2014-01-30,19,42.610001,42.930000,42.430000,42.689999,37.473873,6703000
2014-01-31,20,41.349998,42.650002,41.259998,42.400002,37.219307,12821700
2014-02-03,21,42.419998,42.500000,41.380001,41.500000,36.429272,12669400
2014-02-04,22,41.599998,41.700001,40.849998,40.889999,35.893806,10529900
2014-02-05,23,40.630001,41.130001,40.330002,40.970001,35.964039,9254300
2014-02-06,24,41.189999,41.439999,41.000000,41.230000,36.192257,4734500
2014-02-07,25,41.560001,42.000000,41.290001,41.950001,36.824291,6005000
2014-02-10,26,41.970001,42.369999,41.889999,42.360001,37.184193,4666000
2014-02-11,27,42.759998,43.290001,42.310001,43.130001,37.860115,7149900
2014-02-12,28,43.240002,43.439999,43.009998,43.299999,38.009342,5041200
2014-02-13,29,43.049999,43.750000,43.049999,43.740002,38.395580,5029100
2014-02-14,30,43.520000,43.939999,43.400002,43.860001,38.500912,4907400
2014-02-18,31,43.750000,44.070000,43.240002,44.009998,38.632580,5826100
2014-02-19,32,43.830002,44.150002,43.669998,43.930000,38.562363,5346600
2014-02-20,33,43.849998,44.259998,43.799999,44.200001,38.799381,5371100
2014-02-21,34,44.400002,44.430000,44.020000,44.150002,38.755493,5669500
2014-02-24,35,44.220001,44.830002,44.200001,44.450001,39.018822,5311800
2014-02-25,36,44.490002,44.709999,44.070000,44.470001,39.036377,5303900
2014-02-26,37,44.500000,44.939999,44.490002,44.630001,39.176826,4532100
2014-02-27,38,44.529999,44.820000,44.480000,44.779999,39.308506,4343500
