Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,84.199997,84.910004,83.320000,83.555000,74.067177,4692200
2014-01-03,1,83.709999,84.379997,83.125000,83.425003,73.951942,2411600
2014-01-06,2,83.584999,83.805000,82.485001,82.580002,73.202873,3741200
2014-01-07,3,82.690002,83.445000,82.610001,83.309998,73.849998,3135200
2014-01-08,4,83.930000,84.500000,83.250000,83.464996,73.987389,4462600
2014-01-09,5,83.595001,84.665001,83.459999,84.635002,75.024536,4533800
2014-01-10,6,84.419998,85.440002,84.285004,85.190002,75.516510,5088000
2014-01-13,7,85.169998,85.345001,83.775002,84.025002,74.483795,4530200
2014-01-14,8,84.110001,84.735001,83.769997,84.410004,74.825081,3145200
2014-01-15,9,84.445000,85.690002,84.415001,85.074997,75.414558,4351800
2014-01-16,10,83.785004,84.214996,83.279999,83.980003,74.443909,4837200
2014-01-17,11,83.964996,84.404999,83.559998,83.919998,74.390717,4756400
2014-01-21,12,84.790001,84.790001,83.589996,84.059998,74.514809,3098600
2014-01-22,13,84.540001,85.000000,84.050003,84.250000,74.683243,5254600
2014-01-23,14,86.195000,87.410004,86.025002,87.059998,77.174164,7353200
2014-01-24,15,86.074997,87.500000,85.250000,85.820000,76.074997,7066200
2014-01-27,16,86.029999,86.264999,85.150002,85.605003,75.884384,5458800
2014-01-28,17,85.709999,86.989998,85.660004,86.400002,76.589119,4187200
2014-01-29,18,86.080002,86.589996,85.595001,85.974998,76.212387,5525600
2014-01-30,19,87.375000,88.500000,87.165001,88.114998,78.109352,5357400
2014-01-31,20,87.339996,87.910004,86.589996,87.120003,77.227348,5034000
2014-02-03,21,87.300003,87.904999,85.559998,85.870003,76.119293,6805000
2014-02-04,22,86.535004,86.830002,85.720001,86.625000,76.788567,4055000
2014-02-05,23,86.294998,86.680000,85.599998,86.315002,76.513748,4348800
2014-02-06,24,86.449997,87.805000,86.360001,87.559998,77.617401,3998200
2014-02-07,25,87.894997,88.790001,87.739998,88.449997,78.406326,4627200
2014-02-10,26,88.324997,88.389999,87.279999,87.389999,77.466713,5165400
2014-02-11,27,87.614998,89.389999,87.529999,88.849998,78.760902,5403200
2014-02-12,28,88.945000,89.690002,88.665001,89.425003,79.270630,3269000
2014-02-13,29,88.839996,89.595001,88.724998,89.320000,79.177536,2874000
2014-02-14,30,89.139999,90.245003,89.099998,90.070000,79.842377,3817200
2014-02-18,31,90.120003,90.199997,88.665001,89.150002,79.026848,5751200
