Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,55.384998,55.507500,54.875000,55.252499,51.636612,10654000
2014-01-03,1,55.437500,55.622501,55.057499,55.290001,51.671650,7809600
2014-01-06,2,55.294998,55.577499,54.897499,54.957500,51.360905,8577600
2014-01-07,3,55.187500,55.527500,55.115002,55.377499,51.753426,8178000
2014-01-08,4,55.355000,55.750000,55.160000,55.555000,51.919312,8487200
2014-01-09,5,55.887501,56.130001,55.415001,55.477501,51.846886,8386400
2014-01-10,6,55.459999,55.685001,55.002499,55.282501,51.664646,6429600
2014-01-13,7,55.505001,56.047501,54.652500,54.724998,51.143620,13554400
2014-01-14,8,54.685001,55.662498,54.582500,55.662498,52.019775,10851600
2014-01-15,9,55.712502,56.224998,55.457500,55.939999,52.279110,11288000
2014-01-16,10,55.797501,55.939999,55.322498,55.442501,51.814171,13514000
2014-01-17,11,55.512501,58.064999,55.509998,58.044998,54.246357,38344400
2014-01-21,12,58.597500,58.875000,57.705002,57.982498,54.187946,19752400
2014-01-22,13,58.099998,58.455002,57.919998,58.247501,54.435604,7254400
2014-01-23,14,57.915001,58.082500,56.915001,57.062500,53.328152,13662400
2014-01-24,15,56.599998,56.740002,55.312500,55.312500,51.692688,16043200
2014-01-27,16,55.517502,55.517502,53.779999,54.055000,50.517467,19470800
2014-01-28,17,54.404999,55.590000,54.349998,55.240002,51.624920,17852400
2014-01-29,18,54.775002,55.185001,54.125000,54.279999,50.727741,16800000
2014-01-30,19,56.437500,56.500000,54.077499,55.220001,51.606232,20040400
2014-01-31,20,54.032501,54.724998,53.777500,53.857498,50.332897,24457200
2014-02-03,21,54.127499,54.459999,53.017502,53.367500,49.874969,21662400
2014-02-04,22,53.540001,53.970001,52.845001,53.634998,50.124962,14913600
2014-02-05,23,53.310001,54.185001,53.279999,53.902500,50.374950,13520800
2014-02-06,24,54.020000,54.752499,53.945000,54.752499,51.169323,12721600
2014-02-07,25,55.047501,55.500000,54.615002,55.445000,51.816505,12537200
2014-02-10,26,55.472500,55.532501,54.997501,55.137501,51.529137,10316800
2014-02-11,27,55.282501,55.722500,55.012501,55.582500,51.945011,9809600
2014-02-12,28,55.860001,56.224998,55.722500,56.042500,52.754559,14650800
2014-02-13,29,55.712502,56.187500,55.615002,56.012501,52.726315,13158800
2014-02-14,30,56.067501,56.560001,55.877499,56.500000,53.185207,12682000
2014-02-18,31,56.619999,57.119999,56.404999,56.514999,53.199341,13427200
2014-02-19,32,56.467499,56.947498,55.919998,55.970001,52.686302,9322000
2014-02-20,33,56.040001,56.242500,55.647499,55.865002,52.587467,8810000
