Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,63.020000,63.450001,62.000000,62.380001,55.006111,1769600
2014-01-03,1,62.139999,62.490002,61.740002,62.110001,54.768021,1771500
2014-01-06,2,62.220001,62.419998,61.410000,61.709999,54.415306,2184600
2014-01-07,3,62.000000,62.290001,61.610001,61.840000,54.529934,1806100
2014-01-08,4,61.750000,61.799999,61.080002,61.669998,54.380032,2122600
2014-01-09,5,61.930000,62.369999,61.459999,62.290001,54.926739,1610100
2014-01-10,6,62.299999,62.480000,61.799999,62.470001,55.085472,1175400
2014-01-13,7,62.049999,62.200001,59.970001,60.230000,53.110256,2917200
2014-01-14,8,60.419998,61.049999,60.029999,60.439999,53.295437,2052200
2014-01-15,9,60.500000,60.880001,60.160000,60.220001,53.101437,1824800
2014-01-16,10,59.970001,60.200001,58.799999,59.209999,52.210835,3274800
2014-01-17,11,61.380001,61.380001,58.790001,58.790001,51.840473,3762600
2014-01-21,12,59.369999,59.369999,58.020000,58.779999,51.831661,2831700
2014-01-22,13,59.040001,59.169998,58.810001,59.000000,52.025658,1921800
2014-01-23,14,58.540001,58.770000,57.910000,58.150002,51.276134,2232400
2014-01-24,15,57.759998,58.439999,57.709999,57.770000,50.941055,2136000
2014-01-27,16,57.730000,58.290001,57.599998,57.910000,51.064507,2322900
2014-01-28,17,58.000000,58.959999,57.860001,58.680000,51.743477,1840700
2014-01-29,18,58.380001,58.799999,57.480000,57.580002,50.773514,2297200
2014-01-30,19,58.689999,59.959999,58.689999,59.410000,52.387184,2294000
2014-01-31,20,58.660000,58.799999,58.290001,58.450001,51.540672,2619200
2014-02-03,21,58.439999,58.450001,56.360001,56.490002,49.812363,2373100
2014-02-04,22,56.910000,57.049999,56.180000,56.369999,49.706535,2317000
2014-02-05,23,56.349998,56.540001,55.320000,55.990002,49.371468,3550100
2014-02-06,24,56.230000,57.610001,55.430000,57.430000,50.641243,2160600
2014-02-07,25,57.770000,58.830002,57.770000,58.750000,51.805202,1782500
2014-02-10,26,58.580002,59.270000,58.509998,59.099998,52.113823,1819200
2014-02-11,27,59.040001,60.439999,58.910000,60.410000,53.268982,2603000
2014-02-12,28,60.619999,60.820000,59.189999,59.330002,52.316654,3174800
2014-02-13,29,59.060001,60.000000,58.950001,59.889999,52.810452,3297300
2014-02-14,30,56.220001,57.110001,55.139999,56.849998,50.129795,8273200
2014-02-18,31,56.840000,56.939999,56.099998,56.459999,49.785904,4086600
2014-02-19,32,56.419998,57.200001,56.380001,56.669998,49.971081,2918600
2014-02-20,33,56.770000,58.110001,56.770000,58.029999,51.170307,2664300
2014-02-21,34,57.990002,58.770000,57.990002,58.490002,51.575943,3552300
2014-02-24,35,58.459999,59.180000,58.459999,58.840000,51.884571,2761400
2014-02-25,36,59.000000,59.230000,58.639999,59.000000,52.025658,2117700
2014-02-26,37,59.270000,60.240002,59.070000,59.830002,52.757549,3378500
2014-02-27,38,58.830002,59.419998,58.509998,58.990002,52.016838,3010400
2014-02-28,39,58.830002,58.939999,58.209999,58.590000,51.664116,3371400
2014-03-03,40,57.900002,58.639999,57.880001,58.560001,51.637665,1690200
2014-03-04,41,59.150002,59.980000,59.150002,59.759998,52.695816,1776900
2014-03-05,42,59.860001,60.169998,59.540001,59.860001,52.783989,1732400
2014-03-06,43,59.759998,60.160000,59.480000,60.009998,53.149330,1572000
2014-03-07,44,60.320000,61.990002,60.230000,61.380001,54.362713,3807000
2014-03-10,45,61.310001,61.910000,61.299999,61.790001,54.725834,2833000
2014-03-11,46,61.790001,61.950001,61.250000,61.450001,54.424709,2240600
2014-03-12,47,61.060001,61.389999,60.830002,61.330002,54.318428,1854300
2014-03-13,48,61.459999,61.970001,60.889999,61.110001,54.123573,3130300
2014-03-14,49,60.790001,61.709999,60.660000,60.720001,53.778164,2642800
2014-03-17,50,61.169998,62.490002,61.169998,62.330002,55.204102,2007300
2014-03-18,51,62.349998,63.040001,62.119999,62.139999,55.035816,2745600
2014-03-19,52,62.220001,62.439999,61.189999,61.689999,54.637272,2152700
2014-03-20,53,61.490002,62.480000,61.209999,62.279999,55.159821,2016300
2014-03-21,54,62.799999,63.209999,62.220001,62.299999,55.177528,3172600
2014-03-24,55,62.430000,62.849998,61.590000,61.900002,54.823261,1383600
2014-03-25,56,62.169998,62.250000,60.830002,60.980000,54.008434,1962700
2014-03-26,57,60.919998,61.590000,60.610001,60.630001,53.698452,1461900
2014-03-27,58,60.700001,61.180000,60.410000,60.860001,53.902157,1406200
2014-03-28,59,61.049999,61.700001,60.759998,61.369999,54.353855,1196300
2014-03-31,60,61.950001,62.209999,61.700001,61.880001,54.805546,1728900
2014-04-01,61,62.070000,62.830002,61.939999,62.180000,55.071243,1589600
2014-04-02,62,62.250000,62.970001,62.130001,62.630001,55.469807,1515000
2014-04-03,63,62.660000,62.880001,61.389999,61.599998,54.557552,2257100
2014-04-04,64,61.959999,62.009998,60.150002,60.360001,53.459309,3086900
2014-04-07,65,60.299999,60.520000,59.259998,59.500000,52.697643,1930100
2014-04-08,66,59.279999,60.180000,59.029999,59.810001,52.972210,1768500
2014-04-09,67,59.290001,59.389999,58.200001,59.020000,52.272511,4493800
2014-04-10,68,59.110001,59.910000,58.299999,58.430000,51.749966,2498600
2014-04-11,69,58.000000,58.529999,57.570000,57.700001,51.103428,2488000
2014-04-14,70,58.040001,58.570000,57.889999,58.369999,51.696827,1869200
2014-04-15,71,58.500000,59.250000,58.180000,59.169998,52.405369,1763800
2014-04-16,72,59.630001,60.139999,59.520000,60.130001,53.255611,1784400
2014-04-17,73,60.110001,60.470001,59.759998,59.849998,53.007622,1105300
2014-04-21,74,60.060001,60.650002,59.750000,60.070000,53.202473,1295200
2014-04-22,75,60.220001,60.490002,59.680000,59.990002,53.131618,2351900
2014-04-23,76,60.130001,60.750000,60.070000,60.509998,53.592163,1392600
2014-04-24,77,60.570000,60.610001,59.570000,60.110001,53.237904,1948300
2014-04-25,78,60.500000,62.220001,60.459999,61.439999,54.415852,2993300
2014-04-28,79,61.919998,62.250000,59.680000,60.820000,53.866734,2980300
2014-04-29,80,60.910000,61.520000,60.810001,61.299999,54.291847,1525900
2014-04-30,81,61.189999,61.330002,60.689999,61.090000,54.105862,2181700
2014-05-01,82,61.099998,61.529999,60.570000,61.180000,54.185577,1442000
2014-05-02,83,61.369999,61.939999,61.029999,61.160000,54.167854,1420400
2014-05-05,84,60.959999,61.500000,60.480000,61.320000,54.309574,1110700
2014-05-06,85,61.250000,61.560001,60.860001,61.130001,54.141277,1425000
2014-05-07,86,61.320000,61.380001,60.180000,60.950001,53.981873,1205100
2014-05-08,87,60.980000,62.139999,60.700001,61.759998,54.699265,2056700
2014-05-09,88,61.439999,61.880001,60.560001,61.759998,54.699265,1800600
2014-05-12,89,62.040001,63.040001,61.759998,62.810001,55.629227,1634700
2014-05-13,90,63.360001,63.990002,63.360001,63.540001,56.275764,1776200
2014-05-14,91,63.709999,63.759998,62.959999,63.080002,55.868362,1377600
2014-05-15,92,62.869999,62.869999,61.799999,62.360001,55.230659,1180300
2014-05-16,93,62.290001,62.790001,61.990002,62.770000,55.593800,1331000
2014-05-19,94,62.680000,63.360001,62.680000,63.090000,55.877216,1031600
2014-05-20,95,62.790001,62.910000,61.810001,62.000000,54.911823,1962700
2014-05-21,96,62.099998,62.410000,61.810001,62.119999,55.018105,980500
2014-05-22,97,62.189999,62.560001,61.900002,62.419998,55.283810,1028100
2014-05-23,98,62.529999,62.810001,62.410000,62.720001,55.549511,911700
2014-05-27,99,63.090000,63.480000,62.790001,62.889999,55.700077,953900
2014-05-28,100,63.000000,63.049999,62.279999,62.680000,55.514084,1344500
2014-05-29,101,62.939999,62.939999,62.480000,62.680000,55.514084,761500
2014-05-30,102,62.790001,63.419998,62.650002,63.020000,55.815212,1376700
2014-06-02,103,63.099998,63.580002,62.820000,63.419998,56.169479,881100
2014-06-03,104,63.410000,63.549999,63.080002,63.480000,56.222622,1104300
2014-06-04,105,63.400002,63.849998,63.060001,63.700001,56.417477,912200
2014-06-05,106,63.419998,64.050003,62.799999,63.980000,56.665470,1862300
2014-06-06,107,63.990002,64.080002,63.330002,63.369999,56.356419,1348000
2014-06-09,108,63.400002,63.709999,63.369999,63.540001,56.507610,1007600
2014-06-10,109,63.490002,63.639999,63.150002,63.189999,56.196335,900700
2014-06-11,110,62.939999,63.070000,62.599998,62.860001,55.902866,1326500
2014-06-12,111,62.590000,62.750000,61.790001,61.919998,55.066891,1258700
