Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,65.230232,65.325340,64.249878,64.849800,54.055065,1071300
2014-01-03,1,64.849800,65.859421,64.586418,65.530197,54.622208,879000
2014-01-06,2,65.654564,65.756996,64.996117,65.288765,54.420959,967700
2014-01-07,3,65.288765,66.334961,65.222916,66.210587,55.189335,1008700
2014-01-08,4,65.925262,66.247169,65.310715,65.764305,54.817345,860200
2014-01-09,5,65.822838,66.210587,64.842484,66.174011,55.158844,929800
2014-01-10,6,66.430069,67.293373,66.320328,67.088524,55.921139,1317000
2014-01-13,7,66.737350,67.403114,66.291069,66.532501,55.457664,957500
2014-01-14,8,66.605659,67.161682,66.466652,66.956833,55.811359,840000
2014-01-15,9,66.890984,67.600647,66.890984,67.315323,56.110188,864000
2014-01-16,10,67.300690,67.849396,67.212891,67.725021,56.451683,663800
2014-01-17,11,67.951820,67.966454,66.912933,67.147049,55.969917,1082300
2014-01-21,12,67.447006,67.820129,67.073891,67.512856,56.274834,1334700
2014-01-22,13,67.805496,68.661476,67.725021,68.259094,56.896854,854800
2014-01-23,14,67.168999,67.439690,66.861725,67.110466,56.544144,865500
2014-01-24,15,66.649559,66.927567,65.676514,66.020370,55.625687,1255600
2014-01-27,16,65.639938,66.627609,65.361923,66.056953,55.656502,1580500
2014-01-28,17,66.130112,67.066574,66.130112,66.832458,56.309895,952300
2014-01-29,18,66.122795,67.000725,65.771622,66.313019,55.872246,1662600
2014-01-30,19,66.890984,67.410431,66.730034,66.854408,56.328388,2202100
2014-01-31,20,66.466652,67.600647,66.152061,67.183632,56.605782,1596800
2014-02-03,21,67.249474,67.425064,65.735046,65.991104,55.601013,1484000
2014-02-04,22,66.203278,67.366531,65.983795,67.125099,56.556461,1171300
2014-02-05,23,66.956833,67.183632,66.283752,66.686134,56.186615,1255400
2014-02-06,24,66.737350,68.032295,66.605659,67.966454,57.265347,1474700
2014-02-07,25,68.193253,68.617584,67.022675,67.586014,56.944817,1318500
2014-02-10,26,67.622597,68.954124,67.403114,68.763908,57.937256,1067400
2014-02-11,27,68.617584,69.773521,68.420052,69.422356,58.492031,957300
2014-02-12,28,69.495514,69.861320,69.078499,69.678413,58.707775,891300
2014-02-13,29,69.290665,70.373444,69.158974,69.817421,58.824902,1144100
2014-02-14,30,69.744263,70.439285,69.663780,70.014954,58.991329,810400
2014-02-18,31,70.146645,70.278336,69.510147,70.271019,59.207069,844100
