Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,118.701988,118.860924,116.503311,117.033112,108.969246,185000
2014-01-03,1,116.927155,117.350990,115.814568,115.973511,107.982658,269100
2014-01-06,2,115.973511,116.264900,115.205299,116.000000,108.007332,386100
2014-01-07,3,116.185432,117.350990,115.867546,116.344368,108.327995,341000
2014-01-08,4,116.132454,116.874168,115.761589,116.529800,108.500641,217800
2014-01-09,5,116.317879,117.986755,112.476822,117.350990,109.265251,279500
2014-01-10,6,117.695366,117.774834,116.476822,117.112579,109.043259,343600
2014-01-13,7,117.059601,117.642387,116.317879,116.741722,108.697945,261200
2014-01-14,8,116.821190,117.695366,116.688744,117.483444,109.388573,190800
2014-01-15,9,117.880798,118.039734,117.271523,117.960266,109.832535,189700
2014-01-16,10,117.880798,117.880798,117.033112,117.350990,109.265251,339100
2014-01-17,11,117.721855,117.721855,117.006622,117.509933,109.413239,105200
2014-01-21,12,117.774834,118.675499,117.589401,118.675499,110.498474,173500
2014-01-22,13,119.125832,120.211922,118.622513,120.052979,111.781059,193100
2014-01-23,14,119.708611,119.708611,118.066223,118.834435,110.646454,188400
2014-01-24,15,118.278145,118.278145,115.682121,115.735100,107.760696,222400
2014-01-27,16,115.735100,115.814568,114.304634,114.569534,106.675446,152800
2014-01-28,17,114.622513,116.158943,114.172188,115.629143,107.662025,156800
2014-01-29,18,114.649010,115.602646,113.245033,114.596024,106.700089,107700
2014-01-30,19,115.178810,116.397354,114.834435,115.337746,107.390717,256600
2014-01-31,20,114.225166,114.781456,113.271523,114.066223,106.206825,198000
2014-02-03,21,113.880798,114.966888,111.470200,111.549667,103.863640,117500
2014-02-04,22,111.814568,112.609268,110.649010,110.860924,103.222343,157400
2014-02-05,23,110.807945,111.761589,110.278145,111.470200,103.789658,125400
2014-02-06,24,111.576157,112.238411,110.543045,110.622513,103.000359,124100
2014-02-07,25,110.781456,112.980133,110.781456,112.927155,105.146202,146700
2014-02-10,26,113.139076,114.251656,112.980133,113.933777,106.083496,141300
2014-02-11,27,114.463577,115.920532,114.066223,115.364235,107.415367,133600
2014-02-12,28,111.046356,113.139076,110.119202,110.357613,102.753708,559100
2014-02-13,29,109.721855,110.516556,109.403976,109.668877,102.112434,562400
2014-02-14,30,109.748344,110.649010,109.642387,109.827812,102.260445,376500
2014-02-18,31,109.562912,110.384109,109.377487,109.933777,102.359100,281300
2014-02-19,32,109.748344,111.019867,109.403976,110.675499,103.049721,164000
2014-02-20,33,110.596024,112.847679,110.119202,112.715233,104.948906,268000
2014-02-21,34,112.794701,113.086090,111.867546,111.973511,104.258286,182100
2014-02-24,35,112.000000,112.423843,111.761589,111.761589,104.060966,215300
2014-02-25,36,111.655632,111.682121,110.463577,111.258278,103.592323,250200
