Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,44.790001,44.799999,44.099998,44.200001,38.510296,1503800
2014-01-03,1,44.250000,44.459999,44.000000,44.189999,38.501587,1463400
2014-01-06,2,44.380001,44.389999,43.709999,43.759998,38.126938,1907200
2014-01-07,3,44.040001,44.180000,43.840000,44.080002,38.405743,2136700
2014-01-08,4,44.090000,44.139999,43.779999,43.990002,38.327332,1761800
2014-01-09,5,44.099998,44.169998,43.599998,43.730000,38.100792,1637100
2014-01-10,6,44.060001,44.139999,43.430000,43.610001,37.996250,2015400
2014-01-13,7,43.340000,43.470001,42.930000,43.029999,37.490910,2471900
2014-01-14,8,43.090000,43.430000,43.049999,43.299999,37.726151,1794200
2014-01-15,9,43.439999,43.480000,43.160000,43.189999,37.630310,1831900
2014-01-16,10,43.110001,43.189999,42.750000,42.860001,37.342785,2193200
2014-01-17,11,42.959999,43.330002,42.840000,43.119999,37.569317,2450800
2014-01-21,12,43.410000,43.450001,42.750000,42.910000,37.386353,1949300
2014-01-22,13,43.040001,43.049999,42.680000,42.750000,37.246952,1743800
2014-01-23,14,42.490002,42.509998,41.910000,42.310001,36.863586,3057400
2014-01-24,15,42.049999,42.119999,41.610001,41.639999,36.279835,3029400
2014-01-27,16,41.610001,41.840000,41.369999,41.540001,36.192707,2464800
2014-01-28,17,41.630001,41.779999,41.230000,41.439999,36.105583,2139800
2014-01-29,18,41.150002,41.459999,40.860001,41.070000,35.783215,3043600
2014-01-30,19,41.369999,41.919998,41.310001,41.790001,36.410530,1863800
2014-01-31,20,41.340000,41.840000,41.160000,41.779999,36.401810,2745500
2014-02-03,21,41.720001,41.860001,40.889999,41.000000,35.722229,3098500
2014-02-04,22,41.150002,41.369999,41.080002,41.290001,35.974899,1764600
2014-02-05,23,41.130001,41.660000,41.119999,41.500000,36.157856,2167300
2014-02-06,24,41.500000,42.250000,41.389999,42.070000,36.654480,2090600
2014-02-07,25,42.310001,43.000000,42.310001,42.840000,37.325367,2407800
2014-02-10,26,42.840000,42.849998,42.369999,42.639999,37.151104,2498300
2014-02-11,27,42.540001,43.070000,42.500000,42.849998,37.334076,1643900
2014-02-12,28,42.860001,43.060001,42.799999,42.880001,37.360214,1208800
2014-02-13,29,42.720001,43.369999,42.619999,43.330002,37.752289,1134800
2014-02-14,30,43.220001,43.779999,43.009998,43.669998,38.048519,1715900
2014-02-18,31,42.689999,43.450001,41.400002,41.720001,36.349548,6161100
2014-02-19,32,41.169998,41.680000,40.669998,41.189999,35.887764,4958800
2014-02-20,33,41.130001,41.410000,40.840000,40.980000,35.704792,3454600
2014-02-21,34,41.080002,41.290001,40.830002,40.990002,35.713512,2672200
2014-02-24,35,41.040001,41.310001,40.900002,41.060001,35.774502,3222400
2014-02-25,36,41.000000,41.160000,40.599998,40.759998,35.513119,2978300
2014-02-26,37,40.740002,41.099998,40.650002,40.849998,35.591526,2813700
2014-02-27,38,40.830002,41.090000,40.450001,40.580002,35.356289,2166400
2014-02-28,39,40.549999,41.520000,40.549999,41.500000,36.157856,3542400
2014-03-03,40,40.880001,41.419998,40.880001,41.279999,35.966183,2574300
