Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,31.379999,31.580000,31.170000,31.270000,25.537327,2749500
2014-01-03,1,31.180000,31.590000,31.180000,31.340000,25.594494,1945900
2014-01-06,2,31.410000,31.430000,30.799999,31.020000,25.333157,3340600
2014-01-07,3,30.990000,31.280001,30.490000,31.110001,25.406662,4501200
2014-01-08,4,31.000000,31.040001,30.570000,30.820000,25.169823,4590100
2014-01-09,5,30.980000,31.049999,30.670000,31.000000,25.316824,2776000
2014-01-10,6,31.110001,31.320000,30.980000,31.059999,25.365824,2137500
2014-01-13,7,30.910000,31.040001,30.480000,30.580000,24.973820,2062700
2014-01-14,8,30.690001,31.080000,30.620001,30.940001,25.267822,2140800
2014-01-15,9,30.990000,31.209999,30.840000,31.049999,25.357656,2083300
2014-01-16,10,31.010000,31.299999,31.000000,31.170000,25.455660,2552600
2014-01-17,11,31.230000,31.250000,30.900000,30.969999,25.292322,2515700
2014-01-21,12,31.040001,31.230000,30.900000,31.150000,25.439325,2417100
2014-01-22,13,31.170000,31.360001,31.059999,31.110001,25.406662,2194200
2014-01-23,14,30.900000,31.059999,30.530001,30.559999,24.957493,4261700
2014-01-24,15,30.410000,30.620001,30.160000,30.190001,24.655319,4900300
2014-01-27,16,30.219999,30.680000,30.110001,30.330000,24.769653,4263600
2014-01-28,17,30.459999,31.049999,30.450001,30.730000,25.096323,3821600
2014-01-29,18,30.520000,30.840000,30.400000,30.540001,24.941153,2868500
2014-01-30,19,30.750000,30.889999,30.580000,30.770000,25.128990,2776700
2014-01-31,20,29.930000,30.270000,29.660000,29.879999,24.402155,6995700
2014-02-03,21,29.879999,30.120001,29.190001,29.389999,24.001984,4851600
2014-02-04,22,29.440001,29.650000,29.219999,29.410000,24.018320,3551100
2014-02-05,23,29.320000,29.330000,28.840000,29.070000,23.740648,5450700
2014-02-06,24,29.120001,29.610001,29.059999,29.510000,24.099983,2923500
2014-02-07,25,29.639999,29.900000,29.350000,29.879999,24.402155,3376600
2014-02-10,26,29.840000,30.030001,29.600000,30.010000,24.508318,2944200
2014-02-11,27,29.969999,30.240000,29.840000,30.190001,24.655319,2528200
2014-02-12,28,30.230000,30.309999,30.010000,30.280001,24.728821,2673300
2014-02-13,29,30.110001,30.450001,30.080000,30.389999,24.818659,2301600
2014-02-14,30,30.320000,30.530001,30.270000,30.450001,24.867659,2158800
2014-02-18,31,30.440001,30.549999,30.299999,30.510000,24.916656,2122700
2014-02-19,32,30.400000,30.590000,30.250000,30.350000,24.785988,3485100
2014-02-20,33,30.350000,30.600000,30.290001,30.450001,24.867659,2719500
2014-02-21,34,30.420000,30.430000,30.129999,30.180000,24.647154,2989500
2014-02-24,35,30.190001,30.430000,30.180000,30.209999,24.671650,3287000
2014-02-25,36,30.219999,30.230000,29.860001,29.920000,24.434818,4589000
2014-02-26,37,29.780001,30.070000,29.700001,29.850000,24.558231,3814400
2014-02-27,38,29.889999,29.980000,29.379999,29.510000,24.278502,4603300
2014-02-28,39,29.549999,29.650000,29.320000,29.510000,24.278502,5391600
2014-03-03,40,29.370001,29.530001,29.190001,29.280001,24.089277,4772000
2014-03-04,41,29.600000,29.639999,29.430000,29.620001,24.369005,5296100
2014-03-05,42,29.590000,29.860001,29.389999,29.820000,24.533545,5059300
2014-03-06,43,29.840000,30.290001,29.840000,30.160000,24.813271,2912000
2014-03-07,44,30.230000,30.280001,29.780001,29.790001,24.508863,3323400
2014-03-10,45,29.790001,29.850000,29.600000,29.670000,24.410139,3561500
2014-03-11,46,29.760000,29.760000,29.480000,29.600000,24.352545,2474300
2014-03-12,47,29.490000,29.750000,29.490000,29.600000,24.352545,2549300
2014-03-13,48,29.680000,29.860001,29.370001,29.780001,24.500639,5842600
2014-03-14,49,29.750000,30.049999,29.750000,29.860001,24.566452,3710000
2014-03-17,50,29.969999,30.020000,29.299999,29.330000,24.130411,4801600
2014-03-18,51,29.370001,29.620001,29.270000,29.610001,24.360773,4133500
2014-03-19,52,29.680000,29.680000,29.010000,29.170000,23.998774,4369600
2014-03-20,53,29.110001,29.280001,28.889999,29.280001,24.089277,3591400
2014-03-21,54,29.469999,29.629999,29.180000,29.290001,24.097507,4288200
2014-03-24,55,29.330000,29.350000,29.100000,29.230000,24.048140,2511100
2014-03-25,56,29.370001,29.469999,29.059999,29.250000,24.064592,2475500
2014-03-26,57,29.309999,29.370001,28.879999,28.889999,23.768414,2459800
2014-03-27,58,28.969999,28.969999,28.629999,28.840000,23.727278,4611500
2014-03-28,59,28.990000,29.270000,28.930000,29.180000,24.007004,2596800
2014-03-31,60,29.360001,29.480000,29.070000,29.350000,24.146868,2350600
2014-04-01,61,29.240000,29.790001,29.040001,29.790001,24.508863,3754600
2014-04-02,62,29.790001,29.799999,29.440001,29.469999,24.245592,3046400
2014-04-03,63,29.500000,29.799999,29.350000,29.750000,24.475954,4277700
2014-04-04,64,29.799999,29.889999,29.549999,29.600000,24.352545,3598500
2014-04-07,65,29.570000,29.650000,28.990000,29.010000,23.867140,4037900
2014-04-08,66,28.950001,29.160000,28.500000,28.549999,23.488688,7066000
2014-04-09,67,28.580000,28.910000,28.209999,28.670000,23.587414,5372500
2014-04-10,68,28.629999,28.840000,28.090000,28.190001,23.192513,3402700
2014-04-11,69,28.090000,28.209999,27.680000,27.719999,22.805834,4001100
2014-04-14,70,27.910000,27.940001,27.600000,27.889999,22.945690,2676400
2014-04-15,71,27.870001,27.959999,27.480000,27.760000,22.838743,3801000
2014-04-16,72,27.990000,28.000000,27.660000,27.900000,22.953920,3417400
2014-04-17,73,27.790001,27.950001,27.670000,27.870001,22.929239,4481900
2014-04-21,74,27.900000,28.219999,27.840000,28.200001,23.200737,2254300
2014-04-22,75,28.200001,28.500000,28.000000,28.450001,23.406420,3032500
2014-04-23,76,28.430000,28.750000,28.180000,28.600000,23.529831,4220200
2014-04-24,77,28.639999,28.799999,28.500000,28.740000,23.645008,3611700
2014-04-25,78,28.850000,29.650000,28.760000,29.520000,24.286730,4606600
2014-04-28,79,29.629999,29.900000,29.469999,29.809999,24.525316,3843400
2014-04-29,80,29.860001,29.930000,29.709999,29.920000,24.615818,2857500
2014-04-30,81,29.889999,30.000000,29.709999,29.850000,24.558231,3385900
2014-05-01,82,29.760000,29.950001,29.540001,29.930000,24.624044,3442300
2014-05-02,83,29.870001,30.139999,29.780001,29.940001,24.632273,2722400
2014-05-05,84,29.850000,30.290001,29.820000,30.260000,24.895546,3228500
2014-05-06,85,30.190001,30.379999,29.980000,30.260000,24.895546,3828100
2014-05-07,86,30.120001,30.440001,30.010000,30.420000,25.210468,2500300
2014-05-08,87,30.350000,30.600000,30.070000,30.170000,25.003281,2930500
2014-05-09,88,30.160000,30.340000,29.969999,30.299999,25.111015,2570200
2014-05-12,89,30.440001,30.549999,30.280001,30.330000,25.135874,2256500
2014-05-13,90,30.480000,30.690001,30.250000,30.280001,25.094440,2679700
2014-05-14,91,30.360001,30.740000,30.250000,30.480000,25.260189,3700800
2014-05-15,92,30.440001,30.450001,29.830000,30.070000,24.920408,2330700
2014-05-16,93,30.110001,30.450001,30.080000,30.309999,25.119303,2831700
2014-05-19,94,30.299999,30.330000,30.030001,30.209999,25.036428,2628600
2014-05-20,95,30.080000,30.240000,29.760000,29.889999,24.771229,2270900
2014-05-21,96,29.959999,30.299999,29.920000,30.250000,25.069576,3153600
2014-05-22,97,30.230000,30.530001,30.120001,30.350000,25.152452,22033700
2014-05-23,98,30.400000,30.969999,30.150000,30.870001,25.583403,11135700
2014-05-27,99,30.870001,31.110001,30.760000,30.900000,25.608265,6102000
2014-05-28,100,30.900000,31.200001,30.709999,31.110001,25.782303,5376500
2014-05-29,101,31.190001,31.480000,31.070000,31.270000,25.914907,6095500
2014-05-30,102,31.230000,31.459999,31.170000,31.420000,26.039211,3969800
2014-06-02,103,31.459999,31.500000,31.360001,31.450001,26.064075,3485200
2014-06-03,104,31.270000,31.320000,30.969999,31.080000,25.757437,6597700
2014-06-04,105,31.030001,31.059999,30.709999,30.980000,25.674561,12129200
2014-06-05,106,30.969999,31.350000,30.840000,31.290001,25.931482,16633300
2014-06-06,107,31.340000,31.590000,31.299999,31.340000,25.972916,10570800
2014-06-09,108,31.320000,31.469999,31.200001,31.320000,25.956339,7108000
2014-06-10,109,31.250000,31.400000,31.110001,31.240000,25.890041,7185000
2014-06-11,110,31.100000,31.209999,30.879999,31.139999,25.807161,8965500
2014-06-12,111,31.010000,31.070000,30.770000,30.889999,25.599977,6729100
2014-06-13,112,30.900000,30.950001,30.590000,30.840000,25.558538,3508500
2014-06-16,113,30.760000,30.879999,30.500000,30.860001,25.575111,6107400
2014-06-17,114,30.770000,30.950001,30.709999,30.930000,25.633125,3608100
2014-06-18,115,30.910000,30.940001,30.530001,30.860001,25.575111,5437400
2014-06-19,116,30.820000,30.940001,30.709999,30.870001,25.583403,4391500
2014-06-20,117,30.830000,31.120001,30.629999,31.080000,25.757437,7489700
2014-06-23,118,31.080000,31.410000,31.010000,31.230000,25.881754,7839300
2014-06-24,119,31.150000,32.400002,31.150000,32.169998,26.660770,15597500
2014-06-25,120,32.130001,32.360001,31.780001,32.320000,26.785088,18857600
2014-06-26,121,32.330002,32.750000,32.310001,32.700001,27.100012,17516300
2014-06-27,122,32.660000,32.869999,32.200001,32.580002,27.000559,27737900
2014-06-30,123,32.709999,33.259998,32.480000,33.090000,27.423223,21265300
2014-07-01,124,33.070000,33.090000,32.400002,32.450001,26.892824,22728500
2014-07-02,125,32.669998,33.150002,32.549999,32.900002,27.265759,13178100
2014-07-03,126,32.790001,33.750000,32.639999,33.220001,27.530956,57594700
2014-07-07,127,33.090000,33.230000,32.849998,33.180000,27.497807,11445600
2014-07-08,128,33.230000,33.599998,33.040001,33.349998,27.638695,11892100
2014-07-09,129,33.360001,33.480000,33.049999,33.099998,27.431505,8624600
2014-07-10,130,32.810001,33.000000,32.540001,32.570000,26.992271,11816300
2014-07-11,131,32.570000,32.720001,32.160000,32.380001,26.834808,9856000
2014-07-14,132,32.389999,32.450001,32.169998,32.240002,26.718786,9145200
2014-07-15,133,32.410000,32.630001,32.279999,32.290001,26.760223,9120600
2014-07-16,134,32.430000,32.500000,32.189999,32.419998,26.867958,6652200
2014-07-17,135,32.250000,32.580002,32.169998,32.250000,26.727072,7772700
2014-07-18,136,32.330002,32.630001,32.250000,32.580002,27.000559,6425700
2014-07-21,137,32.520000,32.529999,32.189999,32.259998,26.735355,3997500
2014-07-22,138,32.470001,32.529999,32.270000,32.270000,26.743649,3673400
2014-07-23,139,32.279999,32.380001,32.090000,32.119999,26.619337,3078300
2014-07-24,140,32.180000,32.259998,31.950001,32.049999,26.561323,3152400
2014-07-25,141,31.930000,32.099998,31.840000,31.920000,26.453585,2034100
2014-07-28,142,31.940001,32.299999,31.850000,32.270000,26.743649,4861300
2014-07-29,143,32.270000,32.279999,31.950001,31.959999,26.486736,3622000
2014-07-30,144,32.090000,32.209999,31.620001,31.820000,26.370710,3784000
2014-07-31,145,31.730000,31.799999,31.299999,31.320000,25.956339,5407000
2014-08-01,146,31.889999,32.000000,31.090000,31.230000,25.881754,5706900
2014-08-04,147,31.570000,31.730000,31.340000,31.610001,26.196682,2917900
2014-08-05,148,31.520000,31.709999,31.309999,31.420000,26.039211,2677700
2014-08-06,149,31.270000,31.690001,31.160000,31.610001,26.196682,2161200
2014-08-07,150,31.660000,31.730000,31.469999,31.549999,26.146950,1653100
