Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,46.680000,46.700001,45.900002,45.970001,40.558640,3436800
2014-01-03,1,45.910000,46.000000,45.459999,45.619999,40.249844,1982700
2014-01-06,2,45.779999,45.840000,45.270000,45.419998,40.073395,1970800
2014-01-07,3,45.459999,45.779999,45.349998,45.520000,40.161621,1581200
2014-01-08,4,45.330002,45.959999,45.250000,45.910000,40.505695,2318900
2014-01-09,5,46.000000,46.040001,45.430000,45.779999,40.391014,1842200
2014-01-10,6,45.939999,46.099998,45.470001,45.759998,40.373360,1710300
2014-01-13,7,45.520000,45.880001,45.049999,45.180000,39.861637,1762700
2014-01-14,8,45.520000,46.090000,45.310001,46.049999,40.629230,2275000
2014-01-15,9,46.599998,47.779999,46.490002,47.369999,41.793842,4902100
2014-01-16,10,47.270000,47.459999,46.860001,47.259998,41.696789,2280200
2014-01-17,11,47.189999,47.799999,47.020000,47.220001,41.661503,3070600
2014-01-21,12,47.290001,47.990002,47.180000,47.540001,41.943844,3764700
2014-01-22,13,46.450001,48.910000,46.099998,48.619999,42.896698,12202000
2014-01-23,14,48.259998,48.430000,47.360001,48.029999,42.376148,8995100
2014-01-24,15,47.700001,47.849998,46.849998,46.860001,41.343887,3530000
2014-01-27,16,46.939999,47.150002,46.220001,46.480000,41.008614,2727200
2014-01-28,17,46.540001,46.990002,46.250000,46.410000,40.946854,2795300
2014-01-29,18,46.169998,46.570000,46.090000,46.330002,40.876274,2598500
2014-01-30,19,46.880001,46.970001,46.290001,46.779999,41.273300,6958600
2014-01-31,20,46.150002,46.779999,46.070000,46.419998,40.955669,2460300
2014-02-03,21,46.180000,46.400002,44.930000,45.020000,39.720490,3278700
2014-02-04,22,45.220001,45.220001,44.630001,45.200001,40.101974,2945200
2014-02-05,23,44.700001,45.419998,44.689999,45.209999,40.110847,3327700
2014-02-06,24,45.200001,45.970001,45.180000,45.389999,40.270546,3268700
2014-02-07,25,45.669998,46.160000,45.330002,46.099998,40.900463,3415700
2014-02-10,26,46.240002,46.689999,46.020000,46.480000,41.237606,3834800
2014-02-11,27,46.580002,47.980000,46.400002,47.959999,42.550671,7944500
2014-02-12,28,48.049999,49.189999,48.049999,48.900002,43.384663,7500200
2014-02-13,29,48.709999,49.990002,48.590000,49.980000,44.342834,5898500
2014-02-14,30,49.900002,49.939999,49.410000,49.889999,44.262989,3801600
2014-02-18,31,49.560001,50.369999,49.529999,50.320000,44.644505,4311100
2014-02-19,32,50.180000,51.060001,50.180000,50.869999,45.132465,4765300
2014-02-20,33,50.869999,51.090000,50.270000,50.740002,45.017132,3660400
2014-02-21,34,51.430000,51.430000,50.599998,50.810001,45.079239,4136400
2014-02-24,35,51.000000,51.900002,51.000000,51.340000,45.549458,3907400
2014-02-25,36,51.480000,51.680000,51.049999,51.500000,45.691406,3894100
2014-02-26,37,51.570000,52.389999,51.570000,52.180000,46.294716,6102600
2014-02-27,38,51.919998,52.279999,51.740002,52.029999,46.161629,4411600
2014-02-28,39,52.099998,52.389999,51.660000,52.200001,46.312462,4048400
2014-03-03,40,51.759998,51.970001,51.240002,51.900002,46.046291,3815200
2014-03-04,41,52.400002,53.009998,52.320000,52.900002,46.933514,3408300
2014-03-05,42,52.740002,53.110001,52.680000,53.049999,47.066593,2748100
2014-03-06,43,53.250000,53.639999,53.130001,53.470001,47.439220,3835100
2014-03-07,44,53.779999,53.810001,52.840000,53.029999,47.048843,4862700
2014-03-10,45,53.130001,53.639999,52.820000,53.119999,47.128689,3561000
2014-03-11,46,53.340000,53.639999,52.680000,52.889999,46.924637,3693100
2014-03-12,47,52.509998,53.000000,51.990002,52.549999,46.622982,6158700
2014-03-13,48,52.689999,52.970001,51.630001,52.090000,46.214863,5176200
2014-03-14,49,51.939999,52.430000,51.889999,51.900002,46.046291,3042400
2014-03-17,50,52.389999,53.049999,52.230000,52.910000,46.942383,2511500
2014-03-18,51,52.889999,53.750000,52.689999,53.689999,47.634407,2675600
2014-03-19,52,53.689999,54.150002,53.270000,53.580002,47.536812,2527000
2014-03-20,53,53.529999,55.189999,53.340000,55.070000,48.858753,4556300
2014-03-21,54,54.810001,55.590000,54.220001,54.500000,48.353050,4209600
2014-03-24,55,54.590000,54.959999,54.220001,54.500000,48.353050,3740500
2014-03-25,56,54.900002,55.540001,54.570000,54.799999,48.619205,3718100
2014-03-26,57,54.950001,55.349998,54.230000,54.270000,48.148991,2556000
2014-03-27,58,54.290001,54.360001,53.270000,53.660000,47.607780,3254800
2014-03-28,59,53.730000,54.369999,53.549999,53.840000,47.767475,2593700
2014-03-31,60,54.220001,54.639999,54.070000,54.270000,48.148991,2856000
2014-04-01,61,54.959999,55.000000,54.250000,54.980000,48.778904,3658000
2014-04-02,62,54.950001,55.150002,54.480000,54.549999,48.397408,3258400
2014-04-03,63,54.810001,55.220001,54.290001,54.560001,48.406284,3898000
